sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
chaos	n::混乱，纷乱	in chaos::混乱；纷乱¦chaos theory::混沌理论¦chaos and confusion::混乱与浑沌¦deterministic chaos::[数]决定性混沌；命定混沌（等于chaos）
pine	v::消瘦，衰弱¦n::松树	pine tree::松树¦korean pine::红松；海松¦pine wood::松木¦pine pollen::松花粉¦pine nut::松子；松仁¦pine needle::松针¦red pine::赤松¦white pine::美国五针松¦scotch pine::[生]苏格兰松树¦pine bark::松树皮¦pine oil::松树油¦pine for::渴望¦pine cone::n. 松果；松球¦loblolly pine::火炬松，厚皮刺果松¦pine resin::松木树脂¦pine tar::松焦油
transfuse	v::给输血	
comic	adj::喜剧的，滑稽的n连环漫画杂志；喜剧演员	comic book::连环漫画册¦comic strip::连载漫画；四格漫画¦comic relief::n. 喜剧性穿插；喜剧性调剂¦comic and animation::动漫¦comic opera::喜歌剧
infectious	adj::传染的；感染性的	infectious disease::传染病¦infectious mononucleosis::传染性单核细胞增多¦infectious disease hospital::传染病院
liable	adj::有倾向的；可能遭受的；有责任的	liable for::adj. 对……有责任¦liable to tax::应纳税；应课税
composite	adj::合成的，复合的	composite material::复合材料¦composite structure::组合结构；复合机构；混合结构¦composite index::复合指标；财经综合指数¦fiber composite::复合材料，混合纤维¦composite beam::复合梁；合成梁；混合梁¦composite plate::[冶]复合板；[冶]复合镀层¦composite fiber::复合纤维；混合纤维¦composite board::复合板；合成板；多层纸板；复合纸板¦composite steel::复合钢¦composite pile::复合桩；组合桩；混合桩¦composite wall::组合墙，复合墙¦composite family::[植]菊科；牧草科¦central composite design::中心合成设计¦composite paper::复合纸¦nasdaq composite index::纳斯达克综合指数¦composite construction::组合构造¦composite function::复合函数¦composite force::合力¦composite indicator::综合指标¦composite action::混合作用
moustache	n::(嘴唇上面的)胡子	
acquaint	v::使认识；使熟悉	acquaint with::熟悉；使认识，使了解
adjoin	v::贴近，与毗连	
sphere	n::球，球面；天体；(兴趣,活动,势力等)范围 "	
anecdote	n::轶事，趣闻	
compartment	n::分隔间；火车车厢的分隔间	compartment syndrome::筋膜室综合征；间室症候群¦passenger compartment::乘客舱；客厢；包房¦engine compartment::机舱；发动机室；机器间¦fire compartment::防火分区；隔火间¦luggage compartment::行李舱架¦battery compartment::蓄电池箱；电池盒/舱¦glove compartment::n. （汽车仪表板上的）贮物箱
durable	adj::耐用的¦n::耐用品	durable goods::耐用品¦durable press::耐久压烫¦durable material::耐久物料；耐用材料¦durable in use::经久耐用¦durable consumer goods::耐用消费品¦attractive and durable::美观耐用¦consumer durable::耐用消费品
growl	v&n::嗥叫；轰鸣；咆哮着说	
submit	v::(使)服从；提交	submit registration::提交登记表；提交注册¦submit applications::提交申请
arrogant	adj::傲慢的，自负的	
persecute	v::迫害；烦扰	
slot	n::狭缝；槽沟	time slot::时间空档；（电视或广播电台的）播放时段¦slot machine::自动售贷机¦slot antenna::缝隙天线；槽孔天线¦key slot::n. 键槽¦single slot::单插槽；单翼缝¦slot width::齿缝宽度¦stator slot::定子槽¦card slot::板槽，插卡槽¦slot wedge::槽楔；槽边缘¦expansion slot::扩充槽，扩充插槽¦rotor slot::转子线槽
access	n::通路	access control::访问控制¦have access to::使用；接近；可以利用¦internet access::互联网接入¦easy access::便于检修；容易接近¦market access::市场准入；进入市场；开放市场¦data access::数据存取¦multiple access::[电脑]多路存取；多路访问¦open access::开放存取；开架阅览¦direct access::[计]直接存取¦access network::接入网；接取网络¦broadband access::宽带接入；宽频存取；宽带通信¦network access::网络接入；网络访问¦gain access::获得访问权限¦free access::自由访问；自由存取；自由入口¦remote access::[计]远程访问；远程存取¦get access to::获得；接近；可以使用¦code division multiple access::码分多址联接方式¦random access::随机存取¦public access::公共存取¦database access::数据库存取
terrestrial	adj::地球上的，陆地的	terrestrial ecosystem::陆地生态系统¦terrestrial heat::地热¦terrestrial stress::地应力¦terrestrial facies::陆相¦terrestrial globe::n. 地球；地球仪¦terrestrial animals::陆栖动物；陆生动物¦terrestrial plant::陆生植物
crater	n::火山口; 弹坑	crater lake::n. 火山口形成的深湖¦explosion crater::爆裂火口；爆破漏斗
charge	v::指控；控告；冲锋；要价；充电	in charge::负责，主管；在…看管下¦in charge of::负责；主管¦charge of::负责；管理¦free of charge::免费¦take charge::掌管，负责；主持；不受控制¦charge for::索价，要价；为…收费¦take charge of::接管，负责¦person in charge::负责人¦service charge::服务费¦electric charge::n. 电荷（等于charge，electricity）；电费¦charge for trouble::手续费¦space charge::空间电荷¦charge density::[化]电荷密度¦no charge::免费；不需付钱¦charge transfer::[物]电荷转移¦charge with::vt. 装；控告¦take in charge::逮捕；负责照料；引为己责¦extra charge::附加费；附加负载¦charge distribution::电荷分布¦charge at::冲击；猛攻
nurture	n&vt::养育，培育，教养	nature and nurture::先天与后天，遗传与环境；先天遗传说和后天培养说
splash	v&n::溅水，泼水；显示，鼓吹	splash zone::浪溅区，飞溅区；干湿交替段¦splash into::溅入；滴入¦make a splash::引起轰动；发出溅泼声¦splash screen::启动画面（等于版权页）；飞溅屏幕¦splash down::溅落
modest	adj::谦让的，适度的；有礼貌的	
inspiration	n::灵感，鼓舞人心的人或事，好主意	
doubtless	adv::无疑地	
version	n::描述，译文；说法	english version::英文版本；英译本¦latest version::最新版本¦original version::原始著作，原始版本¦current version::当前版本¦version control::版本控制¦trial version::试用版¦version number::版本号¦updated version::更新方案，升级版¦special version::特别说明¦release version::发布版本；发行版本¦basic version::基本版本
slack	adj::懈怠的；萧条的；呆滞的；松驰的；不紧的	slack off::偷懒；懈怠¦slack season::淡季¦slack wax::疏松石蜡；粗蜡¦slack adjuster::松紧调整器；空隙调整器；拉紧螺钉¦slack water::静水；缓慢流动的水；憩流¦slack coal::粉煤；煤屑
correlate	v::(使)相关联	correlate with::找出一一对应的关系；使…与…发生关系
subside	v::洪水退落；土地下沉；建筑物沉降	
donation	n::捐款，捐赠	blood donation::献血；捐血；供血¦charitable donation::慈善捐款
feel	v&n::感觉，摸，感知；同情	feel oneself::镇定；感觉很好；觉得身体正常¦feel like::想要；感到好似¦feel free::随便，轻松¦feel better::感觉好点了¦feel about::摸索¦how do you feel::你感觉如何¦feel at::用手摸摸看¦feel lonely::感到孤独，感到寂寞¦how it feels::是什么滋味；是什么感觉；意味着什么¦feel tired::感到疲劳¦feel bad::不舒服；为…感到难过¦feel for::同情；摸索¦feel sorry::感到遗憾，觉得难过¦feel sad::感到悲伤；心酸¦feel at home::在家中般轻松自在；感觉自在¦feel as if::觉得，仿佛¦feel sorry for::..难过；为...感到可惜¦feel sorry for oneself::垂头丧气¦look and feel::外观和感觉¦feel guilty::感到内疚
piracy	n::海上掠夺；侵犯版权	software piracy::软件盗版
oscillate	v::摆动，振动；踌躇，犹豫	
norm	n::标准，规范	social norm::社会规范¦matrix norm::矩阵范数
trample	v::踩，践踏；蔑视，粗暴对待	trample on::v. 践踏；蹂躏¦trample down::践踏
compliment	n::敬意，赞扬；问候¦v::恭维；称赞	compliment someone on::称赞某人的…¦left-handed compliment::言不由衷(或挖苦人)的恭维话
genuine	adj::真正的，名副其实的	genuine leather::真皮¦genuine gold::纯金，赤金¦genuine diamond::真钻石的¦genuine partnership::真正的合作伙伴
fancy	adj::颜色鲜艳的;奇特的n&v想象力,设想,爱好	take a fancy to::喜欢；爱上¦fancy yarn::花式纱¦fancy dress::n. 化装舞会所穿着的服装¦have a fancy for::喜欢， 想要；热衷于…；爱好¦fancy oneself as::认为自己（可以成为..）；自以为是（某种人材）¦fancy for sth::喜欢某物¦fancy style::花哨的风格¦fancy dress ball::化装舞会；假面舞会¦after one's fancy::中意的，合意的¦fancy soap::香皂¦fancy paper::热门股票
augment	v::增大，增加	
smart	adj::漂亮的；聪明的；轻快的	smart card::智能卡¦smart phone::智能电话¦little smart::小灵通（中国网通和中国电信联合推出的移动通信产品）¦smart money::抚恤金；罚款；因掌握内情而下的赌注；（英）伤兵抚恤¦smart for::v. 受罚¦a smart guy::精明的家伙¦play it smart::干得好，做得对¦street smart::n. 熟悉都市生活方式和世态的；街头智慧
gaudy	adj::绚丽的	
generalize	v::概括，归纳	
carpenter	n::木工，木匠	
sincere	adj::真挚的；诚恳的	sincere desire::诚心诚意
glimmer	vi&n::(发)微光；少许，微量	
muster	v::集合，检阅，集中	pass muster::符合要求；合格
gene	n::基因	gene expression::[化]基因表达；基因表现¦gene therapy::n. 基因治疗¦gene engineering::基因工程；遗传工程¦gene transfer::基因导入，转基因；基因转移¦gene mutation::基因突变¦gene cloning::基因克隆；基因选殖¦gene pool::基因库¦gene mapping::[遗]基因图谱¦major gene::主要基因；知基因；柱因¦gene flow::基因流，基因流动；基因怜¦foreign gene::外源基因；异体基因¦reporter gene::[生物]报告基因¦suicide gene::自杀基因¦gene recombination::基因重组；基因重组现象¦recessive gene::隐性基因¦dominant gene::显性基因¦gene bank::基因库，基因文库¦gene deletion::基因缺失；基因删除（多余基因的除去）¦gene library::基因库；基因文库¦gene clone::基因克隆
devastating	adj::破坏性的，毁灭性的	
decree	v&n::法令，判决	
reservoir	n::水库；蓄水池	gas reservoir::气藏；气田；煤气存储器；天然气储层¦oil reservoir::油箱；储油器¦reservoir engineering::油藏工程¦carbonate reservoir::碳酸盐岩储层；碳酸盐岩油储¦reservoir rock::n. 储集岩；贮油岩；储油岩石¦reservoir pressure::[地]储层压力（等于bottom-hole pressure）¦water reservoir::贮水池；蓄水池¦reservoir fluid::[地质]储层流体¦reservoir conditions::储层条件¦conglomerate reservoir::砾岩储集层¦petroleum reservoir::油贮；石油储集层；贮油柜¦clastic reservoir::碎屑岩储集层；碎屑油储¦heat reservoir::热源；热库；储热器¦storage reservoir::蓄水库，贮水池¦regulating reservoir::[土木工程]调节水库；调整池¦reservoir engineer::油藏工程师¦reservoir volume::储集层体积；贮气容积¦pressure reservoir::蓄压器
jeopardize	v::使受危害，使陷险境	
sterilize	v::使不结果实；使绝育；使无效；杀菌	
deadlock	n::僵局，僵局	break the deadlock::打破僵局
chant	n::圣歌，赞美诗¦v::唱，歌颂	gregorian chant::格列高利圣咏（教皇格列高利一世采用，常无伴奏）
rupture	n&v::破裂	rupture strength::抗裂强度；断裂强度¦creep rupture::蠕变断裂¦rupture of membranes::胎膜破裂；羊水破裂¦tendon rupture::肌腱破裂¦fatigue rupture::疲劳破坏¦modulus of rupture::断裂模量；破裂模数；弯曲极限强度；抗裂系数¦stress rupture::应力破坏，应力破断¦premature rupture of membrane::胎膜早破¦rupture disk::爆破片；防爆膜
ritual	n::宗教仪式，典礼；仪式的程序¦adj::仪式的	ritual dance::仪式之舞；祭祀之舞
gaol	n&vt::监狱，监禁	
leaflet	n::散页的印刷品，传单	
subsequent	adj::接着的，然后的	subsequent events::财务报表编制后发生的事项¦subsequent handling::后续工序
aviation	n::航空(学)	civil aviation::民用航空¦aviation industry::航空工业；飞机制造业¦aviation safety::航空安全，飞行安全¦aviation authority::民航当局¦general aviation::通用航空；专用航空；普通航空业¦aviation kerosene::喷气机用煤油，航空煤油¦aviation fuel::航空燃料¦commercial aviation::商用航空事业¦federal aviation administration::[运输工程]联邦航空管理局¦international civil aviation organization::国际民航组织¦aviation accident::航空事故；飞机失事；飞行事故¦aviation insurance::航空保险¦aviation medicine::n. 航空医学；空间医学
fraud	n::诈骗，骗子	accounting fraud::假帐；做假账¦click fraud::点击欺诈¦credit fraud::信用欺诈
initial	adj::最初的¦n::人名的首字母¦v::签名首字母于	initial stage::原始期¦initial value::初始值；原始价值；基础资料¦initial period::初始期¦initial state::初态；起始状态，开始状态¦initial investment::最初投资，期初投资¦initial condition::初始条件¦initial stress::初始应力¦initial design::原设计，初步设计；初始设计¦initial phase::初始阶段；初始相位¦initial data::n. 原始数据¦initial temperature::初始温度¦initial public offering::初始公开发行；首次公募¦initial concentration::起始浓度；初浓度¦initial position::初始位置¦initial velocity::初速度¦initial cost::最初成本，开办成本¦initial population::起始粒子数反转；原始群体¦initial time::初始时间；出发时间¦initial model::原始模型，初始模型¦initial point::初始点
erase	v::擦掉，抹掉	
readily	adv::迅速地；容易地	readily accessible::易接近的；易达到的；可存取的
limb	n::肢；翼；翅膀；大树枝	lower limb::[医]下肢；腿¦out on a limb::孤立无援；处于危险的境地¦upper limb::上肢；上翼；上边缘¦artificial limb::n. 假肢¦life and limb::生命(危险) [常用于 risk 之后]¦hind limb::后肢¦phantom limb::[医]幻肢
mint	n::薄荷；造币厂	mint condition::崭新的¦mint julep::（美）薄荷朱利酒¦in mint condition::adj. 崭新的；完全的¦mint tea::薄荷茶；薄荷锡兰茶
pitch	n::球场；声音的高低度；沥青；程度v投掷	pitch in::投入；作出贡献¦tar pitch::焦油沥青¦coal tar pitch::沥青；煤焦油沥青；硬煤沥青¦pitch on::选中；决定¦pitch angle::节面角（锥齿轮的）；螺旋角¦variable pitch::可变螺距；可变节距；变斜度¦pitch diameter::节圆直径¦pitch control::树脂障碍控制；行距控制；节距控制；音调控制¦screw pitch::螺纹距，螺距¦pitch point::节点；齿轮啮合节点¦sales pitch::推销商品的言辞¦petroleum pitch::石油沥青¦football pitch::足球场¦pitch period::齿节周期；音高周期¦at fever pitch::处于狂热状态；处于非常激动(或兴奋)状态¦pitch circle::齿节圆，节距圆¦pitch curve::啮合曲线；分度曲线¦fixed pitch::固定字宽¦fever pitch::n. 狂热；极度兴奋¦thread pitch::螺距
counter	n::柜台¦v::反对，反击	counter measure::对策；防范措施；反措施¦particle counter::粒子计数器；粒子计数管；颗粒测量计数器¦over the counter::成药；直接交易¦counter attack::反攻，逆袭¦under the counter::私下出售的；暗中作成的；违法的；走后门¦service counter::服务台¦counter current::反流，逆流；反向电流¦check-in counter::入口检查处；报到处¦counter top::案台，柜台面¦counter flow::逆流¦counter party::对应方¦counter offer::买方还价，还盘¦ticket counter::售票台；售票柜台；票务处¦counter trade::补偿贸易；相向贸易；反信风¦program counter::程序计数器¦counter pressure::背压，反压¦counter sample::相对样品；对等货样¦bar counter::吧台；酒吧台¦electronic counter::电子计算器¦frequency counter::计频器
dedicate	v::奉献，供奉，题献(著作)	
vindicate	v::为辩白；证明正确	
current	adj::当前的；通用的；流行的¦n::水流；气流	current situation::现状，目前形势；现况¦current status::当前状态；目前状况¦current state::现行状态；初速电流状态¦electric current::电流¦direct current::直流；[电]直流电¦current density::电流密度；扩散（弥漫）流密度¦eddy current::涡流；[电学]涡电流¦alternating current (AC)::交流电¦current account::经常帐；活期存款帐户¦alternating current (ac)::交流电¦alternating current::交流电¦tidal current::潮流¦constant current::恒定电流¦current transformer::n. 电流变换器¦current production::流水作业；流水生产¦leakage current::[电]泄漏电流¦high current::电流过高；高强度电流¦current job::现职，当前的工作¦current control::电流控制；日常检查¦welding current::焊接电流
flaunt	v::夸耀，夸饰	
parliament	n::议会，国会	european parliament::欧洲议会（缩写为EP）¦member of parliament::国会议员；下院议员；下议院议员¦houses of parliament::n. 英国的国会大厦¦house of parliament::国会大厦¦parliament building::国会大厦（加拿大标志建筑）¦parliament house::国会大厦
specification	n::载明，详述；规格，清单，说明书	technical specification::技术规范；技术说明¦product specification::产品规格；制品技术规格¦design specification::设计规范；设计规格；设计任务书；设计细节¦standard specification::标准规范¦quality specification::质量标准；质量说明书¦specification language::规范语言，规约语言¦process specification::加工标准；工艺说明书¦requirements specification::需求规格说明；要求说明¦performance specification::性能说明；性能规格¦material specification::材料规格；原材料明细表¦test specification::测试规范¦job specification::工作规范；工作要求¦general specification::一般技术要求；总说明书；通用技术条件government specification（s）国定技术规范¦detailed specification::详细说明¦model specification::模型设定；模式定式¦equipment specification::设备说明书¦specification sheet::规格单；职责明细表¦technological specification::技术规范¦functional specification::功能规格¦specification limit::技术说明规范；规格界限
anniversary	n::周年纪念	wedding anniversary::结婚纪念日；结婚周年纪念日¦happy anniversary::周年纪念快乐¦silver anniversary::二十五周年纪念日
homestay	n::在当地居民家居住	
scan	v::细看；浏览	ct scan::电脑断层扫描¦line scan::[计]行扫描¦scan rate::扫描速率；扫描率¦scan line::扫描线¦bone scan::骨骼扫描¦brain scan::脑部扫描¦scan conversion::扫描转换¦full scan::全扫描¦pet scan::abbr. 检验胴体尤其是脑部新陈代谢的断层扫描（Positron Emission Tomography Scan）；正电子发射层析扫描（pet scanning）¦raster scan::光栅扫描¦cat scan::计算机X射线轴向分层造影扫描图¦scan code::n. 扫描码¦progressive scan::逐行扫描
grace	n::恩惠；优美；善意；饭前后祷告¦v::使优美	
cite	v::引用，传讯；举例	cite an example::举例；引用一个例子
tranquility	n::安静，平静	
severe	adj::严重的；严厉的，剧烈的	severe test::严格试验，严格检验¦severe acute respiratory syndrome::严重急性呼吸系统综合症¦severe punishment::严厉惩罚；从重处罚¦severe cold::n. 严寒；大寒¦severe weather::恶劣天气；风雨交加的天气；剧烈天气¦severe winter::n. 严冬；寒冬腊月¦severe pain::激痛，剧痛¦severe environment::恶劣环境¦severe stress::危险应力¦severe condition::苛刻条件；深度反应条件¦severe storm::暴风；强烈风暴¦severe strain::危险应变¦severe frost::严霜¦severe discipline::严格的纪律
excess	n::超越；超过；暴行¦adj::额外的，附加的	in excess::过度；过量地¦in excess of::超过；较…为多¦excess capacity::超额生产能力；过剩设备¦excess liquidity::过剩流动性¦excess water::过剩水量；过度水分¦excess air::（超过理论所需的）过量空气¦excess sludge::剩余污泥¦excess heat::[物]余热；[机械]过剩热¦excess baggage::n. 超重行李；累赘¦excess load::过负荷，超荷载；逾量荷载¦excess demand::超额需求¦excess profit::超额利润；过分利得¦excess air coefficient::过剩空气系数，过量空气系数¦excess pore pressure::超孔隙压力¦excess inventory::过量库存；积压商品¦excess cash::[经]超额现金；过剩现金¦excess risk::超额危险度；过分危险¦excess voltage::过压，过电压；超额电压
considerate	adj::考虑周到的；体谅别人的	be considerate of::体谅¦considerate towards::体谅；体贴
distort	v::歪曲，弄歪，曲解	
corpse	n::尸体；被废弃的东西	
entity	n::实体；存在	legal entity::法人实体¦economic entity::经济实体；经济单位¦business entity::营业单位；企业单位¦accounting entity::会计主体；会计单位¦entity type::实体类型¦separate legal entity::独立法人；独立法定单位实体¦separate entity::单独实体；独立单位
wander	v::漫游；迷路；离题	wander off::漫步；漫游；离群走散¦wander about::徘徊；流浪；漫步¦wander from::离题¦baseline wander::基线漂移
acute	adj::厉害的，敏锐的，(疾病等)急性的	acute myocardial infarction::急性心肌梗塞¦acute pancreatitis::胰腺炎；急性胰腺炎¦acute toxicity::急性毒性，急性中毒¦acute leukemia::急性白血病¦severe acute respiratory syndrome::严重急性呼吸系统综合症¦acute appendicitis::急性阑尾炎¦acute phase::急性期¦acute abdomen::[医]急腹症¦acute angle::锐角¦acute disease::急性病¦acute pain::急性痛；剧烈的疼痛¦acute gastroenteritis::急性胃肠炎¦acute bronchitis::急性支气管炎¦acute infection::急性感染；急性传染¦acute lymphocytic leukemia::急性淋巴细胞白血病；急性淋巴细菌性白血病¦acute care::急性照护；急症护理¦acute pyelonephritis::急性肾盂肾炎¦acute gastritis::[医]急性胃炎¦acute tonsillitis::急性扁桃体炎；急乳蛾¦acute exposure::[核]急性照射
delectable	adj::使人愉快的；美味的	
context	n::上下文，(事情)来龙去脉	in the context of::在…情况下；在…背景下¦in this context::关于这点；由此而论；由于这个原因；在这个背景下¦cultural context::文化环境，文化脉络¦social context::社会背景；社会环境；社会情境¦context menu::上下文菜单；右键菜单；快显功能表；快捷菜单¦linguistic context::语言语境；语言的前后关系¦out of context::断章取义；脱离上下文¦device context::设备描述表¦context of situation::语言环境；情景上下文¦context switch::上下文切换；环境切换；关联转换
dominate	v::统治，支配，俯瞰，俯视	dominate the market::欺行霸市
flyover	n::公路上的陆桥	
quaint	adj::古雅的；离奇的	
dispose	v::处理，处置，除去	dispose of::处理；转让；解决；吃光；除掉；卖掉
regulate	v::管理，控制；调整	
antibiotic	n&a::抗生素；抗菌的	antibiotic resistance::抗生素抗性；抗菌素耐药性¦broad spectrum antibiotic::广谱抗菌素
influence	n&vt::影响(力)，感化(力)，有影响的人或事	influence on::对…的影响¦under the influence::酒醉的¦influence in::干涉；介入¦under the influence of::在…的影响之下¦influence factor::n. 影响因素；电话干扰系数¦negative influence::不利影响；消极作用；负影响¦direct influence::直接影响¦bad influence::坏影响¦positive influence::正面影响，积极影响¦have influence on::对...有影响¦social influence::社会影响¦environmental influence::环境影响¦influence coefficient::影响系数¦sphere of influence::势力范围；影响范围¦influence area::影响区域¦undue influence::n. 不正当影响；[律]不正当压力¦external influence::外部影响；外来因素；外界影响¦influence line::[物]影响线¦exert an influence on::对……产生影响¦influence matrix::影响线矩阵
vein	n::静脉，叶脉；(石头)纹理；矿脉	portal vein::n. 门静脉¦quartz vein::石英脉¦saphenous vein::n. [医]隐静脉¦umbilical vein::脐静脉¦deep vein thrombosis::[心脏病学]深静脉血栓形成¦jugular vein::颈静脉¦femoral vein::股静脉¦hepatic vein::肝静脉；肝门静脉¦great saphenous vein::大隐静脉¦varicose vein::n. 静脉曲张，静脉瘤¦pulmonary vein::肺静脉¦renal vein::[人体]肾静脉¦subclavian vein::锁骨下静脉¦vein deposit::脉矿床¦caudal vein::臀脉，尾静脉¦axillary vein::腋静脉；腋脉¦hepatic portal vein::肝门静脉
obsession	n::缠住，被困扰；观念固执，死脑筋	
capital	n::资本，大写字母；首都¦adj::可处死刑的	capital market::资本市场¦foreign capital::外国资本，外资¦human capital::人力资本，技能资本¦venture capital::风险资本，风险投资¦capital investment::资本投资¦capital structure::资本结构¦social capital::n. 社会资本（指交通、卫生、通信等基本设施）¦capital construction::基本建设¦capital city::首都¦provincial capital::省会¦registered capital::注册资本；登记资本额¦capital fund::资本基金¦private capital::私人资本¦capital flow::资本流动；资金流量¦working capital::营运资本；运用资本¦capital account::资本性帐户；固定资产帐户¦intellectual capital::知识资本；智慧资本¦national capital::国家资本¦capital cost::[经]资本成本¦financial capital::[经]金融资本
swerve	vt&vi::突然转向	
remnant	n::残(剩)余	supernova remnant::超新星遗迹，超新星残骸
tilt	vt&vi::(使)倾斜¦n::倾斜，斜坡	tilt angle::倾斜角¦tilt table::倾斜台；摆动升降台¦at full tilt::全速地；全力以赴地
pass	n&v::穿过；经过	pass through::穿过…；通过…¦come to pass::实现；发生¦pass on::传递；继续；去世¦pass by::经过；走过；逝去¦pass the time::打发时间；消磨时光¦pass away::去世；停止；度过时间¦pass judgment::(与 on， upon 连用) 下判决；定案¦pass the buck::推卸责任¦pass over::越过；忽略；宽恕；回避¦pass for::冒充，假扮；被认为¦pass muster::符合要求；合格¦pass filter::过滤器¦low pass::低通；低通量；低传球¦pass between::二人之间交换（言语，手势，暗号等）¦boarding pass::n. 登机证¦pass the test::通过测试；经受住考验；试验合格¦percent of pass::合格率，通过率¦pass water::小便¦mountain pass::隘口，山口¦pass into::逐渐变成；考进
opaque	adj::不透光的，不透明的	opaque glass::不透明玻璃
prestige	n::威信，声望；(由于成功等而产生)显赫	
precipice	n::悬崖，峭壁	
outskirts	n::(尤指城市)郊区	
refusal	n::拒绝	first refusal::优先取舍权；优先取决运务
patrol	vt&vi::巡逻，巡查	on patrol::在巡逻；巡逻中¦highway patrol::（美）高速公路巡警¦police patrol::公安巡逻艇；[法]警察巡逻¦patrol car::巡逻警车¦patrol boat::巡逻船¦night patrol::夜间巡逻¦patrol inspection::巡回检查¦patrol ship::巡逻舰，巡逻船
ambassador	rn::大使；授权代表	an ambassador::大使¦goodwill ambassador::亲善大使，友好大使¦image ambassador::形象大使；商品代言人
shower	n::阵雨；淋浴	shower room::浴室¦take a shower::洗淋浴¦meteor shower::[天]流星雨¦shower with::大量给予¦shower gel::沐浴露；胶状沐浴乳¦shower curtain::浴帘；浴盆帘¦air shower::风淋室；[机]空气射丛；空气簇射¦shower bath::淋浴，淋湿¦shower head::喷头；淋浴头¦cold shower::洗冷水澡，冷水浴¦baby shower::宝宝派对（在孩子出生前举办的特殊派对）¦rain shower::阵雨¦have a shower::冲凉，淋浴；洗淋浴¦shower cap::n. 淋浴时用的塑胶浴帽¦heavy shower::大阵雨；暴雨¦shower nozzle::喷头；淋浴莲蓬头¦shower enclosure::浴室隔板；淋浴房；淋浴间¦bridal shower::新娘送礼会
dilapidated	adj::破旧的，坍坏的	dilapidated building::破烂建筑物；危房
description	n::描写，描绘，叙述	detailed description::详细描述；详细说明¦job description::工作说明¦brief description::简要说明；简介¦general description::一般说明，总则¦product description::产品描述；产品说明；产品介绍¦physical description::物理描述；外形著录¦formal description::形式描述¦full description::完整叙述，充分的描述¦beyond description::无法形容，难以形容¦vivid description::生动的描述；生动的报导¦complete description::完整的叙述，圆满的描述¦problem description::问题描述，问题说明¦short description::简短说明；简要说明；短注释¦functional description::[计]功能性说明¦technical description::技术说明¦give a description of::描写，描述；对…进行描述¦item description::项目描述¦description of goods::货物摘要；货物名称
ignorance	n::无知，愚昧	
corps	n::技术兵种；军团	corps of engineers::陆军工兵部队
amphibian	n::两栖动物；水陆两用飞机和车辆	
patriotism	n::爱国主义，民族主义	patriotism education::爱国主义教育
periodical	adj::周期的；定期的¦n::期刊；杂志	periodical inspection::定期检查
energetic	adj::精力充沛的；精力旺盛的	
promising	adj::有希望的；有出息的	promising future::n. 发展前景；光明的前途¦promising market::发展潜力大的市场；有销路的市场
rim	n::边；边缘，轮辋	pacific rim::太平洋沿岸地区；泛太平洋¦wheel rim::轮辋；钢圈；轮箍；轮缘
put	v::放	put forward::v. 提出；拿出；放出；推举出¦put in::提出，提交；放入；种植；使就职¦put on::穿上；上演；增加；假装；使…上场¦put into::使进入；把...放进；在……上种植¦put up::提供；建造；举起；推举，提名；供给…住宿¦put together::..放在一起；组合；装配¦put out::熄灭；伸出；出版；使不方便，打扰¦put it on::夸张；要高价；[俚]装腔作势¦put forth::提出；发表；启航；（植物等）长出；放出¦put for::以……为目标前进¦put down::镇压；记下；贬低；制止¦put off::推迟；扔掉；阻止¦put into practice::实行，实施；落实¦put into operation::使生效；使运转，使开动¦put into production::把…投入生产¦put into use::使用，应用；投入使用¦put away::放好；抛弃；储存¦put up with::v. 忍受；容忍¦put emphasis on::重视，强调；把重点放在……¦put in place::到位；落实到位；正在实施
artery	n::动脉，干线	coronary artery::[解]冠状动脉¦coronary artery disease::冠状动脉疾病¦carotid artery::颈动脉¦pulmonary artery::n. [解]肺动脉¦coronary artery bypass::冠状动脉旁路；冠状动脉绕道手术；冠状动脉分流术¦hepatic artery::肝动脉¦vertebral artery::椎动脉；脊椎动脉¦radial artery::桡动脉；桡骨动脉¦renal artery::肾动脉¦femoral artery::股动脉；股骨动脉¦mesenteric artery::肠系膜动脉¦iliac artery::髂动脉¦superior mesenteric artery::肠系膜上动脉¦brachial artery::肱动脉；臂动脉¦subclavian artery::锁骨下动脉¦splenic artery::脾动脉；睥动脉¦umbilical artery::n. 脐动脉¦popliteal artery::腘动脉¦maxillary artery::上颌动脉
resort	vi&n::求助	last resort::最后手段¦tourist resort::观光胜地¦summer resort::避暑地；避暑圣地¦holiday resort::度假胜地¦resort hotel::度假酒店；度假村¦ski resort::滑雪胜地¦as a last resort::万不得已（作为最后手段）¦beach resort::海滩度假村¦lender of last resort::最后贷款者¦seaside resort::海滨疗养地¦scenic resort::风景区；旅游胜地¦health resort::休养地，疗养胜地¦in the last resort::作为最后一着¦resort city::游览城市
petal	n::花瓣	
deficiency	n::缺乏，不足，不足之数	iron deficiency::缺铁；铁缺乏¦iron deficiency anemia::缺铁性贫血¦mental deficiency::心智缺陷；智力缺陷；精神不健全¦acquired immune deficiency syndrome::艾滋病；获得性免疫缺陷综合症¦deficiency disease::营养缺乏病¦oxygen deficiency::缺氧¦nutrient deficiency::营养不足；养分缺乏¦vitamin deficiency::维生素缺乏；维生素缺乏症¦nutritional deficiency::营养不良
locality	n::地区，地方	
