internship	n::<美>实习医师	internship programs::实习计划；实习课程
lunge	n::刺；跃进；刺进；套马索¦v::刺；戳；使前冲	
lurch	n::突然倾斜；蹒跚；挫折¦v::倾斜；蹒跚	
lure	n::诱惑；饵；诱惑物¦v::诱惑；引诱	
lurk	v::潜伏；潜藏；埋伏¦n::潜伏；埋伏	
luscious	adj::甘美的；满足感官的	
lush	adj::丰富的，豪华的；苍翠繁茂的¦vi::喝酒¦n::酒；酒鬼¦vt::饮	
lust	n::性欲；强烈的欲望¦v::贪求，渴望	lust for::贪求
luster	n::[光] 光泽；光彩¦vi::有光泽；发亮¦vt::使有光泽	metallic luster::金属光泽；金属闪光料¦pearly luster::珍珠光泽¦bright luster::镜面光泽
lute	n::琵琶¦vi::弹诗琴¦vt::弹诗琴表达；用封泥封	
luxuriant	adj::繁茂的；丰富的；奢华的；肥沃的	luxuriant growth::旺盛生长，繁茂生长；植物生长茂盛
luxurious	adj::奢侈的；丰富的；放纵的；特级的	
luxury	n::奢侈，奢华；奢侈品；享受¦adj::奢侈的	luxury hotel::豪华饭店¦luxury goods::奢侈品¦luxury car::豪华车¦luxury tax::n. 奢侈品税
lychee	n::[园艺] 荔枝（等于litchi）	
lynch	n::私刑；私刑处死；（英）田埂¦v::处以私刑；以私刑处死	merrill lynch::美林证券公司（财富500强公司之一，总部所在地美国，主要经营证券经纪）¦david lynch::大卫·林奇（美国导演）
lyric	adj::抒情的；吟唱的¦n::抒情诗；歌词	lyric poetry::抒情诗
lyrical	adj::抒情诗调的；感情丰富的；充满愉悦的	
macabre	adj::可怕的；以死亡为主题的；令人毛骨悚然的（等于macaber）	
macaroni	n::通心粉；通心面条；纨绔子弟	
machine	n::机械，机器；机构；机械般工作的人¦v::用机器制造	machine tool::机床¦cutting machine::[建]切削机，切割机；裁切机，裁剪机；截煤机；下料压力机¦washing machine::洗衣机，洗涤机¦milling machine::铣床¦welding machine::焊机；焊接机¦molding machine::造型机；铸模机¦grinding machine::磨床；研磨机；砂轮机¦nc machine::数控机床¦sewing machine::缝纫机；锁线装订机¦printing machine::n. 印刷机¦machine learning::机器学习（能力）；机器改进（能力）¦injection molding machine::注模机；注压机¦paper machine::造纸机¦testing machine::试验机¦casting machine::熔铸机，铸造设备¦machine vision::机器视觉；计算机视觉¦packaging machine::包装机，包装机械；打包机；封装机¦drilling machine::钻床；钻孔机¦packing machine::包装机；打包机¦knitting machine::针织机；编织机
machinery	n::机械；机器；机构；机械装置	machinery and equipment::机器及设备¦construction machinery::建筑机械；施工机械¦agricultural machinery::农业机械¦textile machinery::纺织机械¦machinery parts::机件，零件¦processing machinery::加工机械¦machinery plant::机器制造厂¦machinery equipment::机器设备¦electrical machinery::电力机械¦precision machinery::精密机械；精密机械学¦mining machinery::矿山机械；采矿机械¦heavy machinery::重型机械¦woodworking machinery::木工机械¦industrial machinery::工业机械¦electric machinery::电机机械，电机¦plastics machinery::塑料机械¦hydraulic machinery::水力机械¦chemical machinery::化工机械¦farm machinery::农业机械¦rotating machinery::旋转机械；旋转电机
macho	adj::大男子气概的¦n::强壮男子；大丈夫	
mackerel	n::鲭（产于北大西洋）；马鲛鱼	spanish mackerel::n. 马加鱼¦horse mackerel::竹荚鱼；鲹鱼
mackintosh	n::橡皮布防水衣；橡皮布	
macroeconomic	adj::宏观经济的，总体经济的¦n::整体经济	macroeconomic policy::宏观经济政策；总体经济政策¦macroeconomic control::宏观调控¦macroeconomic management::宏观经济管理¦macroeconomic analysis::宏观经济分析
mad	adj::疯狂的；发疯的；愚蠢的；着迷的¦n::狂怒	mad at::生气；恼火¦mad dog::疯狗¦mad cow disease::n. 疯牛病；牛绵状脑病¦mad with::因...发狂¦get mad::变的恼怒，发火；变得着迷¦mad money::n. 自备的零钱；女子备急用的钱¦mad on::对…入迷，狂热地喜欢(某人)； 渴望，为…生气¦go mad::发疯；失去理智¦mad idea::狂妄的想法¦mad with joy::欣喜若狂¦mad as a hatter::疯疯癫癫，非常疯狂；狂怒
madam	n::夫人；女士；鸨母	dear sir or madam::尊敬的先生或女士（信笺的开头语）
madame	n::（法语）夫人；太太	madame curie::居里夫人（波兰科学家）
madden	v::使疯狂；激怒¦n::(Madden)人名；(英、意、捷)马登	
Mafia	n::（意）秘密政党；黑手党	
magazine	n::杂志；弹药库；胶卷盒	weekly magazine::周刊¦fortune magazine::财富杂志¦trade magazine::商业类杂志；行业性杂志；专业杂志¦read a magazine::阅读杂志¦tool magazine::工具库，刀具库；工具盒¦school magazine::校刊¦magazine rack::杂志架；期刊架；书报杂志架
maggot	n::[无脊椎] 蛆；空想，狂想	
magic	n::巫术；魔法；戏法¦adj::不可思议的；有魔力的；魔术的	black magic::n. 魔法；巫术¦magic art::魔术；妖术；巫术¦as if by magic::adv. 不可思议地¦magic wand::魔杖，魔术棒¦magic words::咒语¦orlando magic::n. 奥兰多魔术队（美国篮球队名称）¦magic tricks::魔术¦magic mirror::魔镜；半透玫；幻境¦magic square::幻方，纵横图¦magic bullet::魔弹¦magic cube::[计]魔方¦magic number::幻数，魔术数字¦magic box::魔法箱子；魔术盒；百宝箱（一种软件）¦magic realism::魔幻现实主义¦magic carpet::n. （《一千零一夜》中载人飞行的）魔毯；幻想中的神奇无比的交通工具¦magic touch::魔术手法，魔力¦magic lamp::幻灯¦magic eye::n. [电]电眼；电子射线管；调谐指示器¦magic circle::魔法阵；幻圆；魔术圈¦magic hand::机械手，人造手
magical	adj::魔术的；有魔力的	
magician	n::魔术师，变戏法的人	
magnanimous	adj::宽宏大量的；有雅量的；宽大的	
magnate	n::巨头；大资本家；要人；富豪；……大王	
magnesium	n::[化学] 镁	magnesium alloy::镁合金¦magnesium hydroxide::[化]氢氧化镁¦magnesium oxide::[化]氧化镁¦magnesium sulfate::[化]硫酸镁¦magnesium stearate::硬脂酸镁¦magnesium chloride::氯化镁¦magnesium carbonate::碳酸镁¦magnesium salt::镁盐¦magnesium phosphate::磷酸镁¦magnesium silicate::硅酸镁¦magnesium powder::镁细粉，镁粉¦magnesium acetate::醋酸镁¦magnesium sulphate::硫酸镁¦light magnesium carbonate::碱式碳酸镁¦magnesium fluoride::[化]氟化镁¦magnesium anode::[电工]镁阳极¦magnesium ingot::镁锭¦magnesium nitrate::硝酸镁
magnet	n::磁铁；[电磁] 磁体；磁石	permanent magnet::永久磁铁¦superconducting magnet::超导磁体；超导磁铁¦bar magnet::棒磁铁；条形磁铁¦magnet wire::磁铁线；线圈线¦permanent magnet generator::永磁发电机¦magnet steel::[电]磁钢；磁性钢
magnetic	adj::地磁的；有磁性的；有吸引力的	magnetic field::磁场¦magnetic resonance::磁共振；磁谐振¦magnetic separation::磁选；磁性分离；磁力分离；磁力选矿¦magnetic resonance imaging::磁共振成象¦nuclear magnetic resonance::核磁共振¦magnetic flux::磁通量¦magnetic force::[物]磁力¦magnetic material::磁性材料¦magnetic circuit::磁路¦magnetic induction::磁感应，磁感应强度¦magnetic bearing::（电）磁向位¦magnetic separator::磁力分离器¦magnetic tape::磁带，录音带¦magnetic particle::磁粉；磁粒子，磁秽¦magnetic suspension::磁悬浮，悬磁性¦magnetic powder::磁粉¦magnetic levitation::磁悬浮¦external magnetic field::外部磁场，外磁场¦magnetic flux density::磁感应强度；磁通密度¦magnetic susceptibility::磁化率
magnetism	n::磁性，磁力；磁学；吸引力	permanent magnetism::永磁；永久磁性¦residual magnetism::[物]残余磁性
magnificent	adj::高尚的；壮丽的；华丽的；宏伟的	
magnify	v::放大；赞美；夸大	
magnitude	n::大小；量级；[地震] 震级；重要；光度	order of magnitude::数量级¦earthquake magnitude::地震震级，地震等级；地震规模¦absolute magnitude::绝对星等；绝对量级¦signal magnitude::信号幅度
magnolia	n::[植] 木兰；玉兰类的植物¦adj::木兰科的	magnolia grandiflora::大山朴；洋玉兰
magpie	n::鹊，喜鹊；饶舌的人；有收集零碎东西癖好的人¦adj::鹊的；有收集癖的；斑驳的，混杂的	
mahogany	n::桃花心木，红木；红褐色	
maid	n::女仆；少女¦vt::侍候；做新娘的女傧相¦vi::当女仆	old maid::老处女；谨小慎微的人¦an old maid::n. 老处女；[口]谨小慎微的人¦maid of honor::女傧相；宫女¦maid of all work::◎女仆，杂役
maiden	adj::未婚的，处女的；初次的¦n::少女；处女	maiden name::（女子的）婚前姓；娘家姓¦iron maiden::铁娘子；铁处女（英国伦敦的重金属乐队）
mail	n::邮件；邮政，邮递；盔甲¦v::邮寄；给…穿盔甲	by mail::邮寄；通过写信，通过邮递；按信件¦daily mail::每日邮报（英国伦敦的报刊）¦voice mail::语音邮件¦express mail::快信¦send mail::发送邮件¦mail order::邮购，函购；邮购订单¦mail box::邮箱；信箱区¦air mail::n. 航空邮件；航空邮政¦electronic mail::n. 电子邮件¦mail server::电子邮件服务器¦junk mail::n. （美）垃圾邮件；邮寄宣传品¦mail service::邮政服务¦direct mail::n. 直接邮件；直接邮寄广告¦mail delivery::邮递¦registered mail::挂号信（邮件）¦mail system::电子邮件系统；信件系统¦mail address::邮件地址；信件地址¦snail mail::蜗牛邮件；邮寄信件¦by air mail::寄航空邮件¦priority mail::优先邮件（美国邮政的邮件类型之一，在邮件分检系统内享有优先处理的特权）
mailbox	n::邮箱；邮筒	electronic mailbox::电子信箱
maim	v::使残废¦n::(Maim)人名；(意、罗)马伊姆	
main	n::主要部分，要点；体力；总管道¦adj::主要的，最重要的；全力的	main products::主要产品¦main body::主体，主要部分；主船体；机身¦main reason::主要原因¦main content::主要内容¦main effect::主效应¦main task::主任务¦in the main::基本上¦main purpose::主要目的¦main part::主要部分，主体；主要零件¦main idea::主要意思，主旨¦main feature::主要特征；主要特点；主景；功能特点¦main force::主力；主力军；主力部队¦main line::干线；[俚]大静脉¦main material::[经]主要材料¦main point::主点，主穴；大纲¦main structure::主要结构¦main street::大街¦main character::主要人物；主要角色¦main shaft::n. 主轴；总轴¦main circuit::主电路；主回路；昼路
mainland	n::大陆；本土¦adj::大陆的；本土的	mainland china::中国大陆；中国内地¦chinese mainland::中国大陆
mainspring	n::主要动力；（钟表）主发条；主要原因；主要动机	
mainstay	n::支柱；中流砥柱；主要的依靠；主桅支索	
mainstream	n::主流	
maintain	v::维持；继续；维修；主张；供养	maintain in::维持…；保持…¦maintain order::维持秩序¦maintain world peace::维护世界和平¦maintain contact with::与...保持联系¦maintain discipline::维持纪律
maintenance	n::维护，维修；保持；生活费用	operation and maintenance::使用和维护¦equipment maintenance::设备维修；设备保养¦maintenance cost::维护费用¦preventive maintenance::预防性维修；定期检修¦maintenance work::维修工作¦system maintenance::系统维护，系统维修¦maintenance and repair::保养和修理¦maintenance management::维修管理¦maintenance service::维护服务；技术维修，技术维护¦repair and maintenance::检修；修理和维护¦vehicle maintenance::汽车维护，车辆保养¦daily maintenance::日常保养，日常维护¦routine maintenance::日常维修；例行维护¦maintenance personnel::维修人员¦maintenance plan::技术维护计划¦low maintenance::少量维护保养；维修费用低；工作量不大的技术维护¦network maintenance::网络维护¦maintenance department::维修部；保养部¦machine maintenance::n. 机器保养¦software maintenance::软件维护；软件服务
maize	adj::黄色的，玉米色的¦n::玉米；黄色，玉米色	maize starch::玉米淀粉；玉蜀黍淀粉¦maize straw::玉米秸秆；玉米秆¦maize yellow::玉米黄¦maize meal::玉米粉，玉米面
majestic	adj::庄严的；宏伟的	
majesty	n::威严；最高权威，王权；雄伟；权威	your majesty::陛下
major	adj::主要的；重要的；主修的；较多的¦n::[人类] 成年人；主修科目；陆军少校¦v::主修	major in::主修¦major factor::主要因素¦major part::主要部分；重要部件¦english major::英语专业¦major component::主要部件；主要元件¦major equipment::主要设备¦major product::主要产品¦major event::重大事件；主要事件¦major function::主要功能；优函数¦major industry::重点工业；大型工业¦major subject::专业；主科¦major key::大调；主键值¦major earthquake::大地震，主震¦major league::职业体协；职业性运动联盟¦major operation::[医]大手术¦major general::[军]少将¦major element::主要元素¦major gene::主要基因；知基因；柱因¦major axis::长轴；主轴；长径；强轴¦pectoralis major::n. [解]大胸肌
majority	n::多数；成年	majority of::大多数；大部分¦overwhelming majority::压倒性多数¦vast majority::绝大多数，大部份¦the great majority::很大一部分¦in the majority::占多数¦majority leader::多数党领袖¦majority vote::多数票决¦majority shareholder::大股东；多数股东¦absolute majority::绝对多数¦simple majority::过半数；一般多数， 简单多数¦narrow majority::勉强多数¦silent majority::沉默的大多数（持温和观点并很少发表意见者）¦majority owner::多数份数拥有人¦majority of votes::多数票；表决多数¦majority control::过半数控制权
make	v::使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成¦n::制造；构造；性情	make sure::确信；证实¦make up::弥补；组成；化妆；整理¦make full use of::充分利用¦make friends with::与…交友¦make up for::补偿，弥补¦make a difference::有影响，有关系¦make good use of::充分利用；很好地使用¦make out::理解；辨认出；说明；填写；设法应付¦make a decision::作决定¦make for::导致；有助于；走向¦make of::了解；用…制造¦make it possible::使它变成可能¦make in::加入，进入；干涉别人¦make a living::谋生，维持生活¦make life::求活；创造人生；有意义的活¦make an appointment::约会，预约¦make a mistake::犯错误¦make contribution::贡献¦make decision::作决定；下决心¦make friend::交朋友；建立友谊
makeshift	n::权宜之计；凑合；临时措施；将就¦adj::临时的；权宜之计的；凑合的	
making	n::发展；制造；形成¦v::制作（make的现在分词）	decision making::判定，决策¦paper making::n. 造纸¦making up::装配；缝制¦policy making::制定政策¦in the making::在形成中¦steel making::炼钢¦plate making::制版¦mold making::机械模具¦making out::理解出；辨别出；列出¦group decision making::群体决策；团体决策¦decision making process::决议过程，决策过程；决定过程¦making time::闭合时间；投入时间；接通时间¦coke making::炼焦¦decision making system::决策系统；表决系统¦core making::型芯制造¦block making machine::压块机¦die making::模具制造；制模法¦acid making::制酸¦making way::[航]正在航行；让路¦money making::牟利
maladjusted	adj::失调的；不适应环境的	
maladministration	n::管理不善；弊政	
malady	n::弊病；疾病；腐败	
malaria	n::[内科] 疟疾；瘴气	falciparum malaria::[医]恶性疟；热带疟
male	adj::男性的；雄性的；有力的¦n::男人；雄性动物	male and female::雌雄；[化]凹凸面¦male sterility::雄性不育；男性不育；雄性不育性；男性不育症¦male parent::父本；父亲¦male friend::男性朋友¦male sterile line::雄性不育系¦male chauvinism::大男子主义¦male hormone::n. [化]雄性激素；男性荷尔蒙¦male chauvinist::大男人主义者；歧视女性的人¦male die::凸模；内螺模；公模¦male nurse::男护士¦alpha male::大男子主义者¦male thread::外螺纹；阳螺纹¦male sex hormone::雄性激素；男性激素¦male line::雄性系，父系
malformed	adj::畸形的，难看的	
malfunction	v::发生故障；不起作用¦n::故障；失灵；疾病	
malice	n::恶意；怨恨；预谋	
malicious	adj::恶意的；恶毒的；蓄意的；怀恨的	malicious damage::蓄意损害所造成的损失
malign	v::诽谤，污蔑；中伤，说坏话¦adj::恶意的，恶性的；有害的	
malignancy	n::恶性（肿瘤等）；恶意	
malignant	adj::[医] 恶性的；有害的；有恶意的¦n::保王党员；怀恶意的人	malignant tumor::[医]恶性肿瘤；[医]恶瘤¦malignant lymphoma::恶性淋巴瘤¦malignant melanoma::[医]恶性黑色素瘤¦malignant hypertension::恶性高血压
mall	n::购物商场；林荫路；铁圈球场	shopping mall::大商场，大型购物中心¦pedestrian mall::步行街¦national mall::国家广场¦mall rat::逛商厦迷；爱逛商店的年轻人
malnutrition	n::营养失调，营养不良	
malpractice	n::玩忽职守；不法行为；治疗不当	malpractice insurance::医疗事故保险
malt	n::麦芽；麦芽酒¦adj::麦芽的；含麦芽的，用麦芽作的¦v::用麦芽处理	barley malt::大麦芽¦malt extract::麦精，麦芽膏¦malt sugar::麦芽糖¦malt beer::麦牙啤酒；黑啤酒
maltreat	v::虐待；滥用；粗暴对待	
mammal	n::[脊椎] 哺乳动物	marine mammal::海产哺乳动物
mammoth	n::长毛象；猛犸象；庞然大物¦adj::巨大的，庞大的；猛犸似的	woolly mammoth::猛犸象；长毛象
man	n::人；男人；人类；丈夫；雇工¦v::操纵；给…配置人员；使增强勇气；在…就位	old man::情人；丈夫；老头子；父亲¦young man::n. 青年；未婚夫；男友¦no man::没有人；[口]老喜欢唱反调的人（等于no-man）¦wise man::n. 哲人；魔术师¦strong man::强人；大力士¦one man::一个人¦good man::好男人；善男子¦great man::伟人；大人物¦little man::小鬼，小伙计¦big man::大个子；大人物；大家伙¦rich man::富翁；财主；阔佬¦poor man::可怜的人，穷人¦honest man::诚实的人；正直的人¦son of man::人子；耶稣基督¦many a man::许多人¦real man::真正的男人（电视剧名称）；大丈夫¦second man::火车司机的助手¦right-hand man::得力助手，不可或缺的帮手¦man of god::n. 先知，圣人¦new man::新派男子（分担家务及照顾子女的工作）
manacle	n::束缚；手铐¦v::束缚；给…上手铐	
manage	v::管理；经营；控制；设法	manage with::用…设法对付¦manage to do::挣扎做某事；设法完成某事¦can manage it::可以设法帮这个忙¦manage without::没有…而仍设法对付过去
manageable	adj::易管理的；易控制的；易办的	
management	n::管理；管理人员；管理部门；操纵；经营手段	management system::管理系统；经营责任制¦quality management::质量管理¦project management::项目管理；专案管理¦information management::信息管理；资讯管理¦risk management::风险管理¦business management::企业管理；商务管理¦scientific management::科学管理¦property management::物业管理；资产管理；物业管理专员¦resource management::资源管理¦management information::管理信息¦enterprise management::企业管理¦financial management::财务管理；金融管理¦safety management::安全管理¦management level::管理水平；管理[层]级¦resources management::资源管理；资源治理¦management information system::管理信息系统¦knowledge management::n. 知识管理¦production management::生产管理¦human resource management::人力资源管理；人力调配¦cost management::成本管理
manager	n::经理；管理人员	general manager::总经理¦project manager::项目经理¦sales manager::销售经理；营业主任¦department manager::部门经理¦assistant manager::协理，副经理¦fund manager::基金经理，财务经理；基金管理人¦marketing manager::市场销售经理¦production manager::生产经理；制片人¦account manager::客户经理¦business manager::业务经理；营业管理员¦professional manager::职业经理人；专业管理者¦product manager::产品经理；生产部经理¦office manager::办公室经理；业务经理¦senior manager::高级管理人员，高级经理¦hr manager::人事经理；人力资源经理；行政经理¦deputy general manager::副总经理¦finance manager::财务经理；财政经理¦bank manager::银行分行经理¦program manager::程序管理器¦quality manager::质量经理；品质经理
managerial	adj::[管理] 管理的；经理的	managerial system::管理系统¦managerial personnel::管理人员¦managerial staff::管理人员¦managerial position::管理职位；治理职位；经理职位会¦managerial accounting::管理会计¦managerial skills::管理技能¦managerial authority::管理权威；治理权威¦managerial experiences::管理经验¦managerial approach::管理研究法；管理方法¦managerial economics::[经]管理经济学¦managerial psychology::管理心理学；治理心理学¦managerial decision::行政决定；领导决定¦managerial function::管理功能；治理职能；治理功能
mandarin	n::（中国）普通话；国语；官话；满清官吏；柑橘¦adj::紧身马褂的	mandarin chinese::普通话；（中国）国语；（中国）官话¦standard mandarin::标准普通话¦mandarin fish::鳜鱼；桂鱼；鲑鱼¦mandarin duck::[鸟]鸳鸯¦mandarin orange::橘子；蜜橘¦mandarin oriental hotel::文华东方酒店¦mandarin hotel::n. 厦门悦华酒店；广州东方豪城酒店
mandate	n::授权；命令，指令；委托管理；受命进行的工作¦v::授权；托管	
mandatory	adj::强制的；托管的；命令的¦n::受托者（等于mandatary）	mandatory standard::n. 强制性标准，法定标准；推荐性标准¦mandatory provident fund::强制性公积金¦mandatory measures::指令性措施¦mandatory requirement::强制性要求；必须遵循的要求
mane	n::（马等的）鬃毛	
manful	adj::勇敢的；果断的；有男子气概的	
manger	n::马槽；牛槽；挡水板	dog in the manger::自己不能享用也不让他人享用的人
mango	n::[园艺] 芒果	mango juice::芒果汁
manhood	n::成年；男子；男子气概	
mania	n::狂热；狂躁；热衷	
maniac	n::疯子，躁狂者¦adj::发狂的；狂热的；癫狂的	
manic	adj::躁狂的；狂热的¦n::躁狂症者	manic depression::躁郁症，躁狂抑郁状态
manicure	v::修剪，美甲¦n::修指甲，美甲	manicure set::美甲套装；修指甲具
manifestation	n::表现；显示；示威运动	clinical manifestation::临床表现
manifesto	n::宣言；声明；告示¦vi::发表宣言	communist manifesto::共产党宣言（现代共产主义学说发展史上的第一部经典，由马克思和恩格斯合著）
manifold	v::复写，复印；增多；使……多样化¦adj::多方面的，有许多部分的；各式各样的¦n::多种；复印本	intake manifold::进气歧管¦exhaust manifold::[化]排废管汇¦riemannian manifold::[数]黎曼流形；黎曼廖¦hydraulic manifold::液压系统分路阀箱¦inlet manifold::进气总管；入口集合管¦manifold block::歧管档块¦fuel manifold::燃油歧管；燃油总管
manipulate	v::操纵；操作；巧妙地处理；篡改	manipulate data::操作数据
mankind	n::人类；男性	
manly	adj::男子气概的；强壮的；适于男人的¦adv::雄赳赳地¦n::(Manly)人名；(英)曼利	
manner	n::方式；习惯；种类；规矩；风俗	in a manner::在某种意义上；在某种程度上¦in the manner::在现行中；当场¦in this manner::以这种方式；如此¦all manner of::adj. 各种各样的；形形色色的（人，东西等）¦in the manner of::以……方式；照……的式样¦in the same manner::同样地；以同样的方式¦good manner::好方法；有礼貌¦in such a manner::如此；于是¦in like manner::adv. 同样地¦after the manner of::…式的；仿效；学…的样¦no manner of::一点…也没有，根本没有¦in manner of::凭借……方式
manoeuvre	v::调动；演习；用策略¦n::策略（等于maneuvre）	
manpower	n::人力；人力资源；劳动力	manpower resources::劳动力资源，人力资源¦manpower planning::人力计划；劳动力规划¦manpower management::人力治理；人力管理¦manpower development::人力发展；人力开发¦manpower shortage::劳动力短缺¦shortage of manpower::劳动力短缺；缺乏劳力
mansion	n::大厦；宅邸	mansion house::大厦之屋，民信大厦；府邸¦executive mansion::n. 白宫；州长官邸
manslaughter	n::杀人；过失杀人；一般杀人罪	
mantelpiece	n::壁炉架；壁炉台	
mantle	n::地幔；斗篷；覆盖物¦v::覆盖；脸红	upper mantle::上地幔；上部地函¦mantle plume::[地质]地幔柱¦mantle convection::地函对流，地幔对流；地幔对流¦lower mantle::下地幔¦mantle rock::表岩层；风化层¦earth mantle::地函，地幔
manual	adj::手工的；体力的¦n::手册，指南	manual operation::[计]人工操作；手控¦manual work::手工作业¦manual control::手动控制；人工控制¦manual labor::体力劳动；手工¦instruction manual::安装手册，操作工序说明书；工艺规范¦user manual::使用手册¦manual transmission::手动变速箱；手排档变速箱；人力操纵传动¦manual labour::体力劳动；手工劳动¦operation manual::操作指南；操作手册¦manual arc welding::手工电弧焊¦reference manual::参考手册¦manual mode::手控方式¦quality manual::质量手册；品质手册¦manual welding::人工焊接；手动熔接¦user's manual::用户手册，使用说瞄¦manual valve::手动阀；手控阀¦maintenance manual::维护手册¦manual system::人工系统；手动系统¦manual pump::手动泵¦operating manual::使用说明书
manufacture	n::制造；产品；制造业¦v::制造；加工；捏造	manufacture process::制造工艺；建造过程¦manufacture management::制造管理¦steel manufacture::钢铁工业；炼钢业¦manufacture procedure::制造过程；制程¦supervise the manufacture of::监制¦manufacture plant::[化]制造工厂¦manufacture bases::n. 施工依据¦lean manufacture::精益生产；精实生产；精益制造
manure	v::施肥于；耕种¦n::肥料；粪肥	green manure::绿肥；未熟的堆肥¦pig manure::猪粪；猪粪肥¦chicken manure::鸡粪¦animal manure::动物性杂肥，畜肥¦horse manure::马粪，马粪肥
manuscript	n::[图情] 手稿；原稿¦adj::手写的	original manuscript::原稿
many	pron::许多；许多人¦adj::许多的¦n::(Many)人名；(法)马尼	so many::那么多的¦many people::许多人；很多人；好多人¦as many::一样多¦many of::许多…¦how many::多少¦for many years::多年；已经很多年了¦many kinds of::许多种¦many times::多次¦as many as::多达；和…一样多¦a great many::很多，许多¦many a::许多的¦many more::更多的（修饰可数名词）¦in many ways::在许多方面；用许多方法¦a good many::许多，很多¦in many cases::在许多情况下¦many thanks::非常感谢¦on many occasions::许多次¦a great many of::许多；大量¦in many instances::在许多情况下¦in so many ways::在很多方面
Maori	adj::毛利人的；毛利语的¦n::毛利人；毛利语	
map	v::映射；计划；绘制地图；确定基因在染色体中的位置¦n::地图；示意图；染色体图	on the map::在地图上；重要的；出名的¦road map::公路图¦off the map::不重要的；不存在的；不易到达的¦electronic map::电子地图；电子海图¦map out::在地图上标出；筹划¦topographic map::地形图；等高线图¦world map::世界地图¦map of china::中国地图¦site map::地位级图；网站导航¦sketch map::示意图，草图¦distribution map::分布图¦genetic map::n. 遗传图谱；基因图谱¦geological map::地质图；工程地质及勘察地质图¦map of the world::世界地图¦concept map::概念图¦contour map::等高线图；等值线图¦relief map::n. 地势图；立体模型地图¦route map::线路图，铁路线图¦map projection::地图投影¦linkage map::连锁图
maple	n::枫树；淡棕色	maple leaf::n. 枫叶¦maple syrup::n. 枫蜜；糖枫汁¦maple tree::枫树¦red maple::红枫；红花槭，红槭¦sugar maple::n. 糖枫¦hard maple::硬枫木
mar	v::损毁；损伤；糟蹋；玷污¦n::污点；瑕疵	
marathon	n::马拉松赛跑；耐力的考验¦adj::马拉松式的；有耐力的¦vi::参加马拉松赛跑	boston marathon::波士顿马拉松赛
marble	n::大理石；大理石制品；弹珠¦adj::大理石的；冷酷无情的	white marble::汉白玉；白色大理石¦artificial marble::人造大理石¦marble arch::大理石拱门（有名的伦敦标志）¦marble tile::大理石饰面砖¦marble statue::n. 大理石塑像
March	n::三月	in march::在三月；在三月份¦long march::长征¦march in::进入；（运动员）进场¦march on::行进，向前进；向…推进；进入检阅场地¦march into::长驱直入¦march with::v. 交界¦on the march::进行中；行军中¦wedding march::n. 婚礼进行曲¦march hare::发情期的野兔¦quick march::[军]齐步行进¦march against::朝…进军；向…推进¦death march::向着死亡的行军¦funeral march::葬礼进行曲，送葬曲
mare	n::母马；母驴；月球表面阴暗部	
margarine	n::人造黄油；人造奶油	
margin	n::边缘；利润，余裕；页边的空白¦vt::加边于；加旁注于	profit margin::[经]利润率¦continental margin::大陆边缘¦gross margin::[经]毛利¦wide margin::广泛的回旋余地；广泛的利于行事的权力¦water margin::水浒；水浒传（书名，中国历史上第一部用白话文写成的章回小说）¦safety margin::安全界限，安全裕度；安全系数¦narrow margin::薄利；没有多少余地¦margin trading::保证金交易（交存一定保证金不支付全部货款的交易）¦margin of safety::安全边际；安全系数¦phase margin::相补角；相位容限；允许相位失真¦margin of error::误差幅度；误差界限¦leaf margin::叶缘¦passive continental margin::不活动大陆边缘，被动大陆边缘¦margin account::保证金帐户；融资帐户¦left margin::左空白，左端¦interest margin::利差，利息差幅；利差幅度¦margin call::追加保证金；征收保证金的要求¦margin for error::误差容许量；误差限度¦margin of profit::利润率¦margin requirement::保证金要求；法定保证金
marginal	adj::边缘的；临界的；末端的	marginal cost::边际成本（经济学专有名词）¦marginal utility::边际效用¦marginal propensity::边际倾向¦marginal propensity to consume::[经]边际消费倾向¦marginal analysis::边际分析¦marginal revenue::边际收入，边际收益¦marginal profit::边际利益；限界利润¦marginal price::[经]边际价格¦marginal tax::边际税率；边际税收¦marginal effect::边绝效应；缘界效应¦marginal product::边际产品，边际产量¦marginal sea::领海¦marginal benefit::边际收益；边际效益¦marginal zone::缘带；边缘区；[经]产油枯竭带¦marginal contribution::边际贡献¦marginal value::[经]边际价值；临界值¦marginal productivity::边际生产力¦marginal tax rate::边际税率¦diminishing marginal utility::边际效用递减率¦marginal cost pricing::[经]按边际成本定价
marijuana	n::大麻；大麻毒品	
marine	adj::船舶的；海生的；海产的；航海的，海运的¦n::海运业；舰队；水兵；（海军）士兵或军官	marine environment::海洋环境¦marine engineering::轮机工程；船舶工程¦marine insurance::海上保险¦marine diesel::船用柴油机¦marine industry::n. 海洋经济产业，水产业¦marine biology::海洋生物学¦marine transportation::海上运输¦marine diesel engine::船用柴油机¦marine traffic::海上交通¦marine pollution::海洋污染；海水污染¦marine science::海洋科学；海洋研究¦marine equipment::船用设备；水上设备；航海设备¦marine engine::船用发动机；船用引擎¦marine geology::海洋地质学¦marine mammal::海产哺乳动物¦marine sediments::海洋沈积物¦marine animal::海洋动物，海洋生物¦marine organism::海洋生物¦marine product::海产；船用产品；水产品¦marine transport::海上运输；海运
