internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
passenger	'pæsɪndʒɚ	'pæsɪndʒə	n::旅客；乘客；过路人；碍手碍脚的人	passenger transport::客运¦passenger car::客车；轿车；小客车¦passenger traffic::客运，旅客流量；旅客运输¦passenger flow::客流，客流量¦passenger train::客运列车，旅客列车；客车¦passenger vehicle::客车，客运车辆；载客车辆¦passenger volume::客流量；承载量；乘客量¦passenger ticket::客票；车票¦passenger ship::客船，客轮；邮船；医务船，医院船¦passenger service::客运服务；旅客服务；客运航班¦passenger plane::客机；载客飞机，旅客输送机¦passenger aircraft::客机¦passenger compartment::乘客舱；客厢；包房¦passenger seat::乘客座，旅客席¦passenger terminal::客运枢纽站；旅客航厦¦passenger liner::n. 定期客船¦passenger capacity::载客量；客运量¦transit passenger::n. 过境旅客¦passenger depot::客运站¦passenger elevator::乘客电梯	Neither the driver nor the passengers were hurt.::司机和乘客均未受伤。
passerby	'pæsɚ'bai	'pa:sə'bai	n::行人，过路人		They sell drinks to passersby.::他们卖饮料给过路的人。
passion	'pæʃən	'pæʃ(ə)n	n::激情；热情；酷爱；盛怒	passion for::对…的强烈爱好¦have a passion for::对…有强烈的爱好¦passion fruit::[植]百香果；西番莲果¦crime of passion::激情犯罪；冲动犯罪¦passion is sweet::激情很美；强烈的情感是甜蜜的	The issue arouses strong passions .::那件事激起了人们强烈的情绪。
passionate	'pæʃənət	'pæʃ(ə)nət	adj::热情的；热烈的，激昂的；易怒的	passionate love::热情的爱；激情之爱	He had a brief but passionate love affair with an older woman.::他和一个比他年长的女子有过一段短暂而炽热的情史。¦a very passionate young man::一位感情热烈的年轻人¦a passionate lover::富有激情的爱人¦a passionate kiss::激情的一吻
passive	'pæsɪv	'pæsɪv	adj::被动的，消极的；被动语态的¦n::被动语态	passive voice::[语]被动态，被动式¦passive smoking::被动吸烟；吸二手烟¦passive film::[化]钝化膜¦passive safety::被动安全性¦passive filter::无源滤波器¦passive infrared::被动红外¦passive mode::被动方式¦passive sonar::被动声纳；无源声纳¦passive continental margin::不活动大陆边缘，被动大陆边缘¦passive earth pressure::被动土压力；被动地压¦passive management::被动式管理；消极管理¦passive income::被动收入，被动收益；消极收益¦passive state::被动状态；钝态¦passive type::被动类型¦passive sensor::无源传感器，被动式传感器¦passive component::n. 无源元件¦passive system::被动系统¦passive device::被动元件¦passive matrix::[光电]无源矩阵；被动阵列¦passive element::无源元件	Kathy seems to take a very passive role in the relationship.::凯茜在这一关系中似乎扮演着十分被动的角色。¦their passive acceptance of their fate::他们对命运的消极接受
passport	'pæspɔrt	'pɑːspɔːt	n::护照，通行证；手段	passport number::护照号；护照号码¦passport control::护照检查处；入境检验；验护照	I have an Irish passport.::我持爱尔兰护照。¦They need to check that your passport is in order.::他们要检查一下你的护照是否有效。
password	ˈpæsˌwə:d	'pɑːswɜːd	n::密码；口令	new password::新口令，新密码¦password protection::密码保护¦change password::修改口令¦password cracking::密码破解¦old password::原口令¦password file::口令文件	Enter your password, then click on the ‘proceed’ icon.::键入密码，然后点击“继续”图标。¦Give your user name and password.::输入用户名和密码。
past	pæst	pɑːst	n::过去；往事¦adj::过去的；结束的¦prep::越过；晚于¦adv::过；经过	in the past::在过去¦past year::去年¦in the past year::在过去的一年中¦over the past decade::在过去的十年里¦past experience::过去的经验¦past and present::过去与现在¦half past::半点；过去一半¦past month::上个月¦past time::过去；消遣¦past tense::过去式¦past events::往事¦live in the past::◎照老皇历办事，按旧章程办事；因循守旧¦go past::经过；路过¦past history::过去（的经历）；[医]既往病史，过去病史¦walk past::走过¦brush past::擦过¦pain past is pleasure::苦尽甘来¦past participle::过去分词¦past master::n. 老手；对某种技艺有丰富经验者¦past due::过期；过期未付	You mustn’t think about it. It’s all in the past now.::你千万不要再想那件事，现在一切都过去了。
pasta	'pɑstə	'pæstə	n::意大利面食；面团		I eat a lot of pasta.::我经常吃意大利面食。
paste	pest	peɪst	v::张贴，裱糊；用浆糊粘¦n::面团，膏；糊状物，[胶粘] 浆糊	cement paste::水泥浆¦tomato paste::蕃茄酱，西红柿酱；蕃茄糊¦bean paste::豆瓣酱；豆酱；绿豆糕¦solder paste::焊膏；焊锡膏¦paste in::v. 粘上；粘住¦paste on::粘上，粘住¦color paste::色浆；色糊¦cut and paste::[计]剪贴¦soybean paste::豆瓣酱¦starch paste::淀粉糊¦silver paste::银膏；银汞膏¦sesame paste::芝麻酱，芝麻糊¦tooth paste::牙膏¦hardened cement paste::硬化的水泥浆[建]¦paste into::粘贴入；粘贴到¦paste from::从...粘贴¦electrode paste::电极糊¦shrimp paste::虾酱¦pigment paste::颜料膏¦conductive paste::导电胶	Data can be pasted into word processing documents.::数据可以粘贴到文字处理文件中。
pastel	pæ'stɛl	'pæst(ə)l	adj::柔和的；彩色蜡笔的，粉蜡笔的¦n::粉蜡笔；粉蜡笔画		pastel blue::淡蓝色¦The walls were painted in pastel shades.::墙壁被粉刷成了柔和的色彩。
pastime	'pæstaɪm	'pɑːstaɪm	n::娱乐，消遣		Reading was her favourite pastime.::阅读是她最喜爱的消遣方式。
pastoral	'pæstərəl	'pɑːst(ə)r(ə)l	adj::牧师的；牧人的；田园生活的；乡村的¦n::牧歌；田园诗；田园景色		his pastoral work among the congregation::他在教堂会众中的牧灵工作
pastry	'pestri	'peɪstrɪ	n::油酥点心；面粉糕饼		a Danish pastry::丹麦油酥糕饼
pasture	'pæstʃɚ	'pɑːstʃə	n::草地；牧场；牧草¦v::放牧；吃草	put out to pasture::放牧¦pasture land::牧场¦pasture grass::牧草	large areas of rough upland pasture::大片起伏的山地牧场¦the lush pastures of the southern counties::南部各郡茂盛的牧场
pat	pæt	pæt	adj::恰好的；熟练的；合适的¦adv::恰好；熟记地¦n::轻拍；小块；轻拍声¦v::轻拍	pat on the back::鼓励；[口]表扬¦stand pat::坚持	a pat reply::
patch	pætʃ	pætʃ	n::眼罩；斑点；碎片；小块土地¦v::修补；解决；掩饰	patch clamp::膜片箝¦patch up::修补；平息；拼凑¦in patches::在有些部分；在有些时候¦patch test::n. [医]斑片试验；皮肤过敏试验¦not a patch on::与…不能比，比不上；远不如…，远不及，比…差得远¦patch cord::接插线，调度塞绳¦patch panel::接线板；插线面板¦contact patch::印迹¦black patch::黑块；黑斑点¦transdermal patch::皮肤药贴	Look out for icy patches on the road.::小心路上结冰的地方。¦a cat with a white patch on its chest::胸部有一块白斑的猫¦He combs his hair over his bald patch .::他把头发梳过来盖住秃掉的地方。
patchy	'pætʃi	'pætʃɪ	adj::不调和的；拼凑成的；有补丁的		patchy fog::局部弥漫的雾气
patent	'pætnt	'pæt(ə)nt; 'peɪt(ə)nt	v::授予专利；取得…的专利权¦adj::专利的；新奇的；显然的¦n::专利权；执照；专利品	national patent::国家专利¦patent law::专利法，专利权法¦patent application::专利申请书¦patent protection::专利保护¦patent office::专利局¦patent system::专利制度，专利制¦patent medicine::成药；专利药品¦patent infringement::专利侵权¦patent and trademark office::专利与商标局¦design patent::设计专利；工业样品的专利权¦patent agent::专利代理人¦patent agency::专利代理；专利代理机构¦patent ductus arteriosus::动脉导管未闭；开放性动脉导管¦patent document::专利文件¦patent pending::专利申请中；专利未决¦patent attorney::代理人，专利代理人；专利律师；特许弁护士¦patent cooperation treaty::专利合作条约¦product patent::产品专利权¦patent holder::专利持有方¦patent pool::专利联营；专利权共享互用的一组企业	He patented the idea that the atom could be split.::他得到了原子可以分裂的这个见解的专利。
path	pæθ	pɑːθ	n::道路；小路；轨道	shortest path::最短路径¦new path::新路¦tool path::刀具轨迹；刀位轨迹¦optical path::光路；光程¦flow path::流程¦career path::职业道路¦path analysis::路径分析；通路分析¦critical path::关键路径¦path length::[计]路径长度；软通路长度¦flight path::飞行路线；航线¦light path::光路；光程¦stress path::应力路径；应力轨；应力线路¦main path::[计]主路径¦transmission path::传输路径¦path choice::路径选择¦data path::[计]数据通路¦beaten path::常规；惯例；常走的路¦propagation path::传播路径，传播通路¦winding path::曲径；绕组分支¦critical path method::关键路线方法，统筹方法	I walked nervously up the garden path towards the front door.::我提心吊胆地沿着花园的小道向前门走去。¦a well-worn path across the grass::草地上被踏出的小径¦Follow the path along the river to the bridge.::沿着河边的小路走到那座桥。¦a path leading to the summer house::通往避暑别墅的小径
pathetic	pə'θɛtɪk	pə'θetɪk	adj::可怜的，悲哀的；感伤的；乏味的		The child looked a pathetic sight.::那个孩子看上去很可怜。
pathologic			adj::病理学的；病态的		Objective The analysis research acute shuts the pathologic physiology mechanism between Cape glaucoma and cataract and clinical results.::目的分析研究急性闭角型青光眼及白内障的病理生理机制及临床效果。¦TCM holds that each of the six regions for pulse-feeling corresponds to one of the internal organs and reveals the pathologic changes of the relevant organ.::中医认为切脉的每一个部位都与内脏之一相对应，可以揭示相关器官的病理变化。
pathology	pə'θɑlədʒi	pə'θɒlədʒɪ	n::病理（学）; 〈比喻〉异常状态	plant pathology::植物病理学¦clinical pathology::临床病理学¦forensic pathology::法医病理学	
patience	'peʃns	'peɪʃ(ə)ns	n::耐性，耐心；忍耐，容忍	have patience::忍耐一下¦patience with::忍耐；反对者¦with patience::耐心地¦out of patience::不耐烦；失去耐心¦lose patience::失去耐心¦have no patience with::不能容忍	He doesn't have the patience to wait.::他没有耐心等。
patient	'peʃnt	'peɪʃ(ə)nt	adj::有耐心的，能容忍的¦n::病人；患者	patient of::能忍受¦patient with::对……有耐心¦patient care::病人护工；病人照护；病患照顾¦patient safety::病人安全¦mental patient::精神病人¦patient compliance::病人的依从性；病人的配合度¦patient monitor::病人监护仪¦patient history::病历；既往症	You’ll just have to be patient and wait till I’m off the phone.::你只能耐心点，等我打完电话。
patio	'pætɪo	'pætɪəʊ	n::露台；天井		
patriarch	'petrɪɑrk	'peɪtrɪɑːk	n::家长；族长；元老；创始人		The patriarch of the house, Mr. Jawad, rules it with a ferocity renowned throughout the neighbourhood.::那户人家的家长贾瓦德先生治家严苛，名闻乡里。
patriarchal	,petrɪ'ɑrkl	peɪtrɪ'ɑːk(ə)l	adj::家长的；族长的；由族长统治的	patriarchal society::[人类学]父权社会；宗法社会	a patriarchal society::父权制社会
patriot	'petrɪət	'pætrɪət; 'peɪt-	n::爱国者	patriot act::爱国者法案¦patriot missile::爱国者导弹	It has been suggested the founders were not true patriots but men out to protect their own interests.::有人指出创建者并非真正的爱国者，而是一些维护自己利益的人。
patriotic	ˈpeɪtriˈɑtɪk	ˌpætrɪˈɒtɪk	adj::爱国的	patriotic united front::爱国统一战线	patriotic songs::爱国歌曲¦I’m not very patriotic.::我不是很爱国。
patrol	pə'trol	pə'trəʊl	n::巡逻；巡逻队；侦察队¦v::巡逻；巡查	on patrol::在巡逻；巡逻中¦highway patrol::（美）高速公路巡警¦police patrol::公安巡逻艇；[法]警察巡逻¦patrol car::巡逻警车¦patrol boat::巡逻船¦night patrol::夜间巡逻¦patrol inspection::巡回检查¦patrol ship::巡逻舰，巡逻船	The security forces increased their patrols in the area.::安全部队加强了对该地区的巡逻。
patron	'petrən	'peɪtr(ə)n	n::赞助人；保护人；主顾	patron saint::n. 守护神；保护圣徒	a wealthy patron::富有的赞助人
patronage	'pætrənɪdʒ	ˈpeɪtrənɪdʒ	n::赞助；光顾；任免权		Thank you for your patronage.::感谢您的惠顾。
patronise	'peitrənaiz	'peɪtrənaɪz	v::（英）保护（等于patronize）		
patter	'pætɚ	'pætə	n::行话；轻快脚步声；急速拍打声¦v::滴答地响；急速地说；发出急速轻拍声		the pitter-patter of raindrops::噼噼啪啪的雨声
pattern	'pætɚn	'pæt(ə)n	n::模式；图案；样品¦v::模仿；以图案装饰	pattern recognition::模式识别¦growth pattern::生长模型；生长模式¦flow pattern::流型，流动型态；活动模；流线谱¦distribution pattern::分布格局，分布类型；分布型式，分布型；分配结构¦pattern design::n. 模型设计，图案设计¦regular pattern::正规图样，正常模式¦design pattern::设计模式；设计范式；设计样式¦sentence pattern::句型；句子模式¦spatial pattern::空间格局，空间形态；分布类型，空间模式¦pattern matching::模式匹配¦basic pattern::基本模型；衣服基本纸型¦pattern classification::模式分类¦behavior pattern::行为范型¦diffraction pattern::衍射图样；绕射图¦production pattern::生产纸样；生产形态¦economic pattern::经济模式；经济结构¦fringe pattern::条纹图形，干涉图样¦consumption pattern::消费模式，消费形式¦radiation pattern::辐射方向图，辐射图；辐射高温计¦speckle pattern::散斑图；斑纹图样	Weather patterns have changed in recent years.::气候模式近年已经发生了变化。¦A general pattern began to emerge .::一个总体模式开始显现。¦Their descriptions seemed to follow a set pattern (= always develop in the same way ) .::他们的描述似乎依据固定的模式。¦His behavior fits a pattern of violent acts.::他的举动符合暴力行为的模式。
pause	pɔz	pɔːz	n::暂停；间歇¦v::暂停，停顿，中止；踌躇	pause and ponder::踌躇；停下来好好想一想¦give pause to::vt. 使人踌躇¦pause button::暂停键；暂停按钮	There was a pause while Alice changed the tape.::艾丽斯换磁带的时候出现了短暂的停顿。¦After a long pause , she went on.::停了好一会儿，她才继续下去。
pave	pev	peɪv	v::铺设；安排；作铺设之用¦n::(Pave)人名；(西、塞)帕韦	pave the way for::为…做好准备；为…铺平道路¦pave the way::为...作准备；为...铺平道路¦paved with good intentions::充满着善意的	The avenue had never been paved, and deep mud made it impassable in winter.::这条大街从来没有铺过，深泥使其在冬天无法通行。
pavement	'pevmənt	'peɪvm(ə)nt	n::人行道	asphalt pavement::沥青混凝土路面¦concrete pavement::混凝土路面；混凝土面层¦on the pavement::没住宿地；徘徊街头；被遗弃¦pavement design::路面设计；铺面设计¦rigid pavement::刚性路面；混凝土路面¦flexible pavement::柔性路面；沥青路面；柔性地面铺装¦pavement concrete::路面混凝土¦pavement base::铺路基础	A small group of journalists waited on the pavement outside her house.::有一小群记者守候在她家外面的人行道上。¦a pavement cafe::路边咖啡馆
pavilion	pə'vɪlɪən	pə'vɪljən	n::阁；亭子；大帐篷；展示馆¦vt::搭帐篷；置…于亭中；笼罩		the German pavilion at the World Trade Fair::世界贸易博览会上的德国展馆
pawn	pɔn	pɔːn	n::典当；抵押物；兵，卒；人质¦v::当掉；以……担保	pawn shop::当铺	He is contemplating pawning his watch.::他在考虑把手表当了。
pay	pe	peɪ	v::支付，付；偿还，补偿；给予¦n::工资，薪水；付款；报答¦adj::收费的；需付费的		How would you like to pay?::你想怎么付款？
payable	'peəbl	'peɪəb(ə)l	adj::应付的；到期的；可付的；可获利的	accounts payable::应付帐款¦tax payable::应交税金；应缴税款¦payable at sight::见票即付¦amount payable::应付金额¦taxes payable::应付税款；应付税金¦notes payable::应付票据¦account payable::应付帐款¦bonds payable::应付公司债券¦dividends payable::应付股利	The rent is payable in advance .::租金须预付。
payment	'pemənt	'peɪm(ə)nt	n::付款，支付；报酬，报答；偿还；惩罚，报应	terms of payment::付款条件¦payment system::支付系统；付酬制度¦tax payment::纳税；完税¦full payment::[经]全部付款¦down payment::（分期付款中的）头期款；预付定金¦transfer payment::转移支付；转让性付款；（美）用于失业救济等公共事业方面的开支¦advance payment::预付款¦payment method::付款方式；支付方式¦make payment::支付¦cash payment::n. 现金付款¦payment term::付款条件；付款方式；付款期限¦deferred payment::延期付款¦monthly payment::月付款数¦payment in advance::预付货款¦balance of payment::收支平衡¦payment for goods::货款¦term of payment::清偿期；支付条款¦final payment::结算¦prompt payment::立即付款¦form of payment::付款方式	Payment can be made by cheque or credit card.::可以用支票或信用卡付款。¦We do accept payment in instalments (= paying in small amounts over a period of time ) .::我们确实接受分期付款。¦She demanded payment in advance .::她要求预先付款。
payoff	'pe,ɔf	'peɪɔːf	n::报酬；结果；发工资；结算¦adj::支付的；决定性的；产生结果的	payoff function::支付函数	With electric cars there is a big environmental payoff.::使用电动汽车，环境会大有改善。
payout	'peaʊt	'peɪaʊt	n::支出；花费	payout ratio::股息支付率	
payroll	'perol	'peɪrəʊl	n::工资单；在册职工人数；工资名单	payroll system::工资管理系统¦payroll tax::工资税	They had 87,000 employees on the payroll.::他们有87000人在在职人员工薪名册上。
pea	pi	piː	n::豌豆	green pea::嫩豌豆；青豌豆¦garden pea::豌豆，青豆¦pea soup::干碗豆汤；浓豌豆汤¦sweet pea::n. [植]香豌豆；[植]麝香豌豆花	roast chicken with peas and carrots::烤鸡配豌豆胡萝卜
peace	pis	piːs	n::和平；平静；和睦；秩序	in peace::和平地；安静，宁静；安祥地¦peace of mind::内心的宁静；明镜止水¦world peace::世界和平¦at peace::处于和平状态¦nobel peace prize::诺贝尔和平奖¦peace process::和平进程¦peace talks::和谈¦live in peace::和平相处¦keep the peace::vi. 不扰乱治安；阻止别人扰乱治安；守法¦make peace::讲和；调解；言和和解¦peace and quiet::安静；宁静¦peace treaty::和平条约¦inner peace::内心的平静；内在和平；安心¦love peace::热爱和平¦war and peace::战争与和平¦rest in peace::安息¦at peace with::与…和睦相处¦disturb the peace::扰乱治安¦make peace with::与…言归于好；与…讲和；休战¦make peace with someone::和解；言归于好	The country is at peace with its neighbours for the first time in years.::这是多年来该国与其邻国第一次和平共处。¦By the end of the century, France had made peace with Britain.::到那个世纪末，法国和英国议和了。¦a city where people of different religions have lived together in peace for centuries::不同宗教的人们和平共处数百年的城市¦efforts to bring peace to the region::为该地区争取和平的努力¦a dangerous situation which threatens world peace::威胁世界和平的危险状况¦An uneasy peace continued until 1939.::不稳定的和平局面维持到1939年。¦the Northern Ireland peace talks::北爱尔兰和平会谈¦an international peace conference::国际和平大会¦the peace treaty that ended the First World War::终结第一次世界大战的和平条约¦the Middle East peace process::中东和平进程
peaceful	'pisfəl	'piːsfʊl; -f(ə)l	adj::和平的，爱好和平的；平静的	peaceful reunification::和平统一¦peaceful coexistence::和平共处¦peaceful life::安宁平静的生活¦peaceful use::和平利用¦peaceful evolution::和平演变¦peaceful co-existence::和平共处	We had a peaceful afternoon without the children.::孩子们不在，我们度过了一个宁静的下午。¦It’s very peaceful out here in the woods.::这树林里真安静。
peach	pitʃ	piːtʃ	n::桃子；桃树；桃红色；受人喜欢的人（或物）¦adj::桃色的；用桃子制成的¦v::告密	peach blossom::桃花¦peach tree::桃树¦honey peach::水蜜桃¦flat peach::蟠桃¦juicy peach::水蜜桃	Anderton scored a peach of a goal.::安德顿射入一个好球。
peacock	'pikɑk	'piːkɒk	n::孔雀；雄孔雀；爱虚荣的人¦vi::炫耀；神气活现地走	proud as a peacock::目空一切，十分高傲，自高自大¦play the peacock::炫耀自己；沾沾自喜¦peacock blue::n. 孔雀蓝	
peak	pik	piːk	n::山峰；最高点；顶点；帽舌¦v::使达到最高点；使竖起¦adj::最高的；最大值的	peak value::峰值¦peak load::[经]最大负载¦peak period::波峰周期；尖峰期¦peak power::峰值功率，巅值功率¦peak area::[化]峰面积¦peak time::（收听广播、收看电视的）高峰时间¦at the peak of::在…高峰期¦peak current::峰值电流；峰电流¦peak stress::峰值应力¦peak season::旺季¦peak shaving::峰值负载抑制；高峰调节¦absorption peak::吸收峰；辐射吸收¦peak pressure::峰值压力；巅峰压力；最大压力¦peak flow::洪峰；最大流量¦peak performance::最佳表演；最佳性能¦peak voltage::峰值电压；峰压；最大电压¦peak acceleration::峰值加速度；最大加速度值¦peak hour::高峰时间；峰荷时间¦peak height::峰高¦peak reverse voltage::反峰电压；反向峰值电压	Sales this month have reached a new peak .::本月的销售额创了新高。¦Most athletes reach their peak in their mid 20s.::大多数运动员在25岁左右达到巅峰状态。¦He’s past his peak as a tennis player.::作为网球运动员他已过了巅峰期。¦Oil production is down from its peak of two years ago.::石油生产已比不上两年前的鼎盛时期。¦the peaks and troughs of the US economy (= high and low points )::美国经济的起起落落¦Temperatures have peaked at over 90 degrees.::温度已达到峰值，超过了90度。
peanut	'pinʌt	'piːnʌt	n::花生	peanut butter::花生酱¦peanut oil::花生油¦peanut cake::花生饼，花生糕¦peanut meal::花生粕；花生饼粉¦roasted peanut::烤花生，烘干花生	a packet of roasted peanuts::一袋烤花生
pear	pɛr	peə	n::[园艺] 梨树；梨子	balsam pear::苦瓜¦pear tree::梨树¦pear juice::n. 梨汁¦prickly pear::仙人掌，仙人球；霸王树（仙人掌的一种）	I took this apple for a pear until I tasted it.::我误将这个苹果当作梨子，直到我尝了才知道。
pearl	pɝl	pɜːl	n::珍珠；珍珠色；杰出者；珍品¦adj::镶珍珠的；珍珠状的¦v::采珍珠；成珍珠状	pearl river::珠江（位于中国南部）¦pearl river delta::珠江三角洲¦oriental pearl::东方明珠；东方之珠；东方珍珠¦pearl powder::珍珠粉；珠光粉（化妆品用）¦pearl harbor::珍珠港（美国夏威夷港口）¦pearl necklace::珍珠项链¦black pearl::黑珍珠¦fresh water pearl::淡水珍珠¦pearl harbour::珍珠港¦mother of pearl::珍珠母；贝壳¦attack on pearl harbor::偷袭珍珠港¦pearl white::硝酸氧铋；氯化氧铋¦pearl pigment::珍珠颜料¦cultured pearl::n. 养殖珍珠¦pearl oyster::n. 珍珠贝（等于pearl shell）¦pearl barley::珍珠麦，大麦粉粒¦pearl earring::珍珠耳环	a pearl necklace::珍珠项链¦{"GLOSS":["a necklace made of pearls"],"COLLOINEXA":["a string of pearls"]}::一串珍珠¦...tiny pearl buttons.::…珍珠般的小扣子
peasant	'pɛznt	'pez(ə)nt	n::农民；乡下人	peasant household::庄户，农户	Most villagers are peasant farmers.::大多数村民是农民。
peat	pit	piːt	n::泥煤；泥炭块；泥炭色	peat moss::泥煤苔（泥煤的主成分）¦peat bog::泥炭沼，泥炭沼泽¦peat soil::泥沼质土	
peck	pɛk	pek	v::啄食；扔石头；吹毛求疵¦n::许多；配克（容量单位，等于2加仑）；啄痕；快速轻吻	a peck of::许多，大量¦peck at::啄；少量地吃¦gregory peck::n. 格里高利·派克（美国男影星）	It was winter and the sparrows were pecking at whatever they could find.::已是冬天了，麻雀们能找到什么就啄食什么。
peculiar	pɪ'kjulɪɚ	pɪ'kjuːlɪə	adj::特殊的；独特的；奇怪的；罕见的¦n::特权；特有财产	peculiar institution::n. 旧时美国南部的黑奴制度	There was a peculiar smell in the kitchen.::厨房里有一股怪味。¦Something peculiar is going on.::出了怪事。¦It seems very peculiar that no one noticed Kay had gone.::没有人注意到凯已经走了，这好像很奇怪。
peculiarity	pɪ'kjʊlɪ'ærəti	pɪ,kjuːlɪ'ærɪtɪ	n::特性；特质；怪癖；奇特		Margaret regarded her mother’s peculiarities with a fond tolerance.::玛格丽特宽容地看待母亲的怪癖。
pedal	'pɛdl	'ped(ə)l	v::踩踏板；骑车¦n::踏板；脚蹬子¦adj::脚的；脚踏的	brake pedal::刹车踏板；制动踏板¦foot pedal::脚踏开关¦accelerator pedal::（汽车等的）油门踏板；[机]加速踏板¦gas pedal::（美）油门；加速器；汽车加速踏板¦clutch pedal::离合器踏板；离合皮板	She was pedalling furiously (= very fast ) .::她飞快地踩着踏板。
pedantic	pɪ'dæntɪk	pɪ'dæntɪk	adj::迂腐的；学究式的；卖弄学问的；假装学者的		His lecture was so pedantic and uninteresting.::他的讲座学究气十足且没趣。
peddle	'pɛdl	'ped(ə)l	v::叫卖；兜售；散播¦n::(Peddle)人名；(英)佩德尔		They were accused of peddling drugs .::他们被控贩卖毒品。¦people who peddle cigarettes to young children::卖香烟给小孩子的人
pedestal	'pɛdɪstl	'pedɪst(ə)l	n::基架，基座；基础¦vt::搁在台上；支持；加座	bearing pedestal::轴承座	...a larger than life-sized bronze statue on a granite pedestal.::…在花岗岩基座上的一尊比真人大的铜像。
pedestrian	pə'dɛstrɪən	pɪˈdestrɪən	adj::徒步的；缺乏想像力的¦n::行人；步行者	pedestrian street::步行街；行人街道¦pedestrian crossing::人行横道¦pedestrian mall::步行街¦pedestrian traffic::行人交通¦pedestrian flow::人流；行人流量¦pedestrian bridge::人行天桥¦pedestrian overpass::步行天桥；人行天桥¦pedestrian subway::地下人行道¦pedestrian overcrossing::人行天桥¦pedestrian area::行人专区；步行街	a painting that is pedestrian and unimaginative::乏味又缺乏想象力的画作¦a rather pedestrian student::一名相当平庸的学生
pedigree	'pɛdɪɡri	'pedɪgriː	n::血统；家谱¦adj::纯种的		The service pedigree helps to determine the importance of the service in context of all the services provided.::服务家谱可帮助确定服务在所提供的所有服务的上下文中的重要性。¦This chart, also known as a pedigree, lists members of each generation of your biological family, with all available health and disease information.::这份家谱关系图会列举出你这个家庭每一代所拥有成员，并附加有成员所有已知的健康和疾病信息。
pedlar			n::[贸易] 小贩；传播者（等于peddler）		
peek	pik	piːk	n::偷看；一瞥，看一眼¦v::窥视，偷看	sneak peek::先睹为快；快速前瞻	Companies have been paying outrageous fees for a peek at the technical data.::各公司一直在为该技术资料的一窥支付惊人的费用。
peel	pil	piːl	v::剥，剥落；削¦n::皮	orange peel::橙皮；橘皮皱¦peel off::v. 剥去；脱掉¦peel strength::剥离强度¦tangerine peel::陈皮；桔皮¦lemon peel::柠檬皮¦fruit peel::果皮¦peel back::剥落卷页¦peel out::迅速离开；汽车突然加速	Peel and dice the potatoes.::把马铃薯去皮并切成丁。
peep	pip	piːp	n::偷看；隐约看见，瞥见¦v::窥视；慢慢露出，出现；吱吱叫	peep at::偷看，偷窥	"Fourteen minutes," Chris said, taking a peep at his watch.::“十四分钟，”克里斯瞥了一眼手表说道。
peer	pɪr	pɪə	n::贵族；同等的人；同龄人¦v::凝视，盯着看；窥视	peer review::同业互查¦peer to peer::对等的；[计]端对端¦peer pressure::来自同辈的压力¦peer group::同辈群体；同龄群体¦peer at::凝视	American children did less well in math than their peers in Japan.::美国儿童的数学成绩不如日本的同龄儿童。¦Staff members are trained by their peers.::员工由同事培训。
peg	pɛɡ	peg	n::钉；桩；借口；琴栓¦v::限制；钉木钉¦adj::越往下端越细的	on the peg::在拘捕中，在监禁中¦crawling peg::小幅度调整汇率；浮动钉住¦wooden peg::木栓，木桩¦off the peg::现成的¦peg down::用木钉钉住；约束	Sarah hung her coat on the peg.::萨拉把外套挂在衣钩上。¦a table fitted together with pegs::一张用钉子钉起来的桌子¦a pattern made with coloured pegs on a board::木板上彩钉构成的图形
pelican	'pɛlɪkən	'pelɪk(ə)n	n::[鸟] 鹈鹕		When they get a tern or pelican to drop a fish, they plunge down and grab it off the surface of the water, which may have been how this bird got oiled.::当军舰鸟发现一只燕鸥或者鹈鹕准备冲入水中捕鱼时就猛冲下去，在捕鱼的鸟离开海面时抓住它们，这可能就是这种鸟为何解决到石油的原因。¦Blum flipped past an evocative sandstone carving of a child and a pelican, then admired a griffin plaque.::勃鲁姆的视线飘过一块眼熟的雕着小孩和鹈鹕的砂岩，落在了一方狮鹫饰板上。
pen	pɛn	pen	n::钢笔；作家；围栏¦v::写；关入栏中	pen and ink::笔墨；钢笔画；写作¦put pen to paper::开始写；落笔¦pen pal::笔友（等于pen friend）¦ball pen::圆珠笔¦fountain pen::n. 钢笔¦ball-point pen::n. 圆珠笔¦pen name::笔名；[俚]囚犯的号码¦pen friend::笔友；通信朋友¦ballpoint pen::n. 原子笔，圆珠笔¦pen holder::钢笔杆；笔座¦light pen::光笔（等于light pencil）¦pen tool::钢笔工具¦brush pen::n. 毛笔¦pen point::笔尖¦gel pen::中性笔¦marker pen::标记笔	a ballpoint pen::圆珠笔¦a felt-tip pen::毡头笔¦a pen and ink drawing::钢笔画
penalize	'pinəlaɪz	'pi:nəlaɪz	v::处罚；处刑；使不利		Women feel professionally penalized for taking time off to raise children.::女性认为休假带孩子在职业上对自己不利。
