abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？
psychiatric	,saɪkɪ'ætrɪk	ˌsaɪki'ætrɪk	adj:: 精神病的； 治疗精神病的	psychiatric disorders::精神疾病¦psychiatric nursing::精神病护理	a psychiatric hospital::精神病医院¦a psychiatric nurse::精神病院护士¦Charles was suffering from a psychiatric disorder (= mental illness ) .::查尔斯彼时精神错乱。
aspire	ə'spaɪr	ə'spaɪə(r)	v:: 向往， 渴望， 追求； 有志于， 有抱负	aspire after::v. 渴望	...people who aspire to public office.::…志在获得公职的人们。
explode	ɪk'splod	ɪk'spləud	v:: 爆炸； 爆发； 激增	explode into::爆发出…	The device was thrown at an army patrol but failed to explode.::炸弹投向了陆军巡逻队，但没有爆炸。¦Far sooner than anyone thought possible, the Russians exploded an atomic bomb.::苏联引爆了一颗原子弹，大大早于任何人的预期。
luxuriant	lʌɡ'ʒʊrɪənt	lʌg'ʒuəriənt	adj:: 繁茂的； 肥沃的； 丰富的	luxuriant growth::旺盛生长，繁茂生长；植物生长茂盛	luxuriant black hair::浓密的黑发¦luxuriant vegetation::茂盛的草木
slurry	'slɝi	'slʌri	n:: 泥浆	cement slurry::[建]水泥渣¦coal slurry::煤泥¦slurry pump::泥浆泵，淤泥泵；浆液泵¦slurry pipeline::泥浆输送管；输浆管道；煤浆管道¦slurry seal::稀浆封层；沥青封层¦slurry oil::油浆；淤浆油¦lime slurry::石灰浆；石灰乳¦aqueous slurry::含水泥浆¦slurry wall::泥浆墙；槽壁；地下连续壁	...farm slurry and industrial waste.::...农场泥浆和工业废料。
manipulate	mə'nɪpjulet	mə'nɪpjuleɪt	vt:: 应付， 处理； 操纵， 控制； 影响	manipulate data::操作数据	He was one of those men who manipulated people.::他是那种要摆布别人的人。¦You have the constant feeling you are being manipulated.::你总感觉自己是被人控制着的。
ecological	'ikə'lɑdʒɪkl	ˌiːkə'lɒdʒɪkl	adj:: 生态学的， 生态的	ecological environment::生态环境¦ecological system::生态系统¦ecological balance::生态平衡¦ecological construction::生态建设；生态建筑¦ecological agriculture::生态农业¦ecological footprint::生态足迹，生态脚印¦ecological crisis::生态危机¦ecological engineering::生态工程；生态工程学¦ecological benefit::生态效益，生态效应¦ecological effect::生态效应¦ecological condition::生态条件；生态环境¦ecological process::生态过程¦ecological damage::生态破坏¦ecological management::生态治理；符合生态原则的管理¦ecological equilibrium::生态平衡¦ecological efficiency::生态效率；生态效应；生态等值¦ecological forest::n. 生态林¦ecological community::生态社区；生态群落¦ecological factor::生态因子；生态因素¦ecological distribution::生态分布	an ecological disaster::生态灾难
contradict	'kɑntrə'dɪkt	ˌkɒntrə'dɪkt	v:: 反驳， 驳斥； 与…发生矛盾； 相抵触	contradict oneself::自相矛盾	Deborah opened her mouth to contradict, but closed it again.::黛博拉张口想要反驳，但又把嘴闭上了。¦Dad just can’t bear to be contradicted.::爸爸就是受不了有人反驳他。¦The article flatly contradicts their claims.::这篇文章断然驳斥他们的说法。
specify	'spɛsɪfaɪ	'spesɪfaɪ	v:: 指定； 详细说明		Payments will be made for a specified number of months.::款项将在规定的几个月内支付。
forth	fɔrθ	fɔːθ	adv:: 离去， 外出； 向前； 向某处	set forth::陈述，提出；出发；陈列；宣布¦put forth::提出；发表；启航；（植物等）长出；放出¦and so forth::等等¦back and forth::反复地，来回地¦bring forth::v. 产生；发表¦come forth::出来；涌现；被公布¦go forth::出发，向前去；发布¦went forth::公告¦setting forth::动身¦send forth::发出；长出；出版¦as set forth::如前所述¦burst forth::突发；喷出¦break forth::喷发；突发¦call forth::唤起；使产生；使起作用¦give forth::发表；发出¦go forth into::出发¦spring forth::跳出；涌出；生长；发展¦hold forth::v. 滔滔地说；提供¦draw forth::引出，诱出；引起，唤起；博得	The house was still burning, pouring forth thick black smoke.::房子仍在燃烧，冒出浓浓的黑烟。
relevance	'rɛləvəns	'reləvəns	n:: 中肯， 适当； 相关性	relevance theory::关联理论	Politicians' private lives have no relevance to their public roles.::政治家的私生活与他们的公众角色没有相关性。
gravel	'ɡrævl	'grævl	n:: 沙砾， 砾石	gravel layer::砾石层；疏水石¦sandy gravel::砂砾石，砂质砾石¦gravel pack::砾石过滤层¦gravel road::碎石路¦sand gravel::砂砾石	a gravel path::石子小道
leopard	'lɛpɚd	'lepəd	n:: 豹， 美洲豹	snow leopard::雪豹¦clouded leopard::云豹¦leopard cat::豹猫	
submerge	səb'mɝdʒ	səb'mɜːdʒ	v:: 浸没； 潜入水中		The submarine submerged.::潜艇潜入水中。
compose	kəm'poz	kəm'pəuz	v:: 组成， 构成； 写， 创作； 使安定	compose oneself::镇静¦compose of::由…组成	Barrington has composed the music for a new production of ‘A Midsummer Night’s Dream’.::巴林顿为新版的《仲夏夜之梦》谱了曲。
liaise	lɪ'ez	li'eɪz	vi:: 做联络人； 联络， 联系		Detectives are liaising with police following the bomb explosion early today.::在今天早些时候炸弹爆炸之后侦探们就一直在联络警方。
circumscribe	,sɝkəm'sraɪb	'sɜːkəmskraɪb	vt:: 在…周围画线； 限制		The President’s power is circumscribed by Congress and the Supreme Court.::总统的权力受到国会和最高法院的制约。
roller	'rolɚ	'rəulə(r)	n:: 滚筒； 滚轴	roller bearing::滚柱轴承¦roller coaster::过山车；云霄飞车；情绪急转突变¦roller mill::n. 滚筒辗粉机；滚压机¦rubber roller::搓纸轮；橡胶辊筒；橡皮辊子¦cylindrical roller::圆柱滚子；（输送机）圆筒形滚柱¦tapered roller::圆锥滚子；锥形辊¦top roller::支托轮；顶端滚柱¦road roller::n. 压路机¦roller compacted concrete::碾压混凝土¦roller skating::滑旱冰¦needle roller::滚针；卷叶虫¦roller conveyor::滚筒（柱）式输送机；滚动传送机；辊子输送机¦spherical roller::球面滚子¦guide roller::导辊；导轮¦roller chain::[机]滚子链¦roller press::滚压机；液压机¦taper roller::锥形滚柱¦supporting roller::支承滚柱；支撑轴；随动轮¦steel roller::钢辊；钢轮压路机¦vibratory roller::振动压路机；震实锟	a paint roller::刷漆滚筒¦a garden roller::碾草坪机
optimism	'ɑptɪmɪzəm	'ɒptɪmɪzəm	n:: 乐观， 乐观主义		There are grounds for cautious optimism.::有理由保持谨慎乐观。
cell	sɛl	sel	n:: 细胞； 小房间； 电池	cell phone::手机（等于cellular phone）¦stem cell::干细胞，骨髓干细胞¦fuel cell::燃料电池¦cell membrane::细胞膜¦blood cell::血细胞，血球¦cell line::细胞系，细胞株¦cancer cell::癌细胞¦solar cell::太阳能电池¦cell wall::细胞壁，胞壁；格式壁¦cell culture::细胞培养¦cell cycle::细胞周期¦cell proliferation::细胞增殖，细胞增生¦cell biology::细胞学，细胞生物学¦tumor cell::肿瘤细胞¦single cell::单细胞¦endothelial cell::[组织]内皮细胞¦squamous cell carcinoma::鳞状细胞癌，扁平上皮癌¦t cell::[医]淋巴细胞（胸腺依赖性细胞）¦red blood cell::红血球（等于erythrocyte，red blood corpuscle或red cell，略作RBC）¦cell division::细胞分裂	cancer cells::癌细胞¦Embryos grow by cell division (= the splitting of cells ) .::胚胎通过细胞分裂而成长。
swell	swɛl	swel	v:: 膨胀； 增长， 增强	swell up::润胀，膨胀¦swell with::膨胀；充满	Do your ankles swell at night?::你的脚踝晚上会肿吗？
landward	'lændwɚd	'lændwəd	a&ad:: 向陆的/地， 近陆的/地		The more mixing that occurs in the estuary the greater is the landward flow in the subsurface layer.::在河口湾出现的混合越强烈，次表层向陆地方向的流量就越大。¦The part of a shore between the foreshore and the landward edge that is above High water except in the most severe storms.::后海岸海岸的一部分，位于前滩和除最强烈的暴风雨之外，高出水面的向陆地边缘地区之间。
crude	krud	kruːd	adj:: 天然的； 粗糙的； 粗俗的	crude oil::[化]原油¦crude protein::粗蛋白；天然蛋白质¦crude drug::天然药¦heavy crude::重质原油¦crude fat::粗脂肪¦crude fiber::粗纤维¦crude steel::粗钢；原钢；粗铁¦sour crude::含硫原油；酸性原油¦light crude::轻质原油¦crude production::原油的开采；半成品¦crude extract::n. 粗提物，\t粗抽提物；粗提取液¦crude benzol::[化]粗苯¦crude product::粗制品¦crude petroleum::原油¦sour crude oil::酸性原油，含硫原油¦sweet crude::低硫原油¦crude gas::原煤气；不纯煤气¦benchmark crude::标准原油¦crude phenol::n. 粗酚	a crude estimate of the population available for work::对劳动力人口的粗略估计
remind	rɪ'maɪnd	rɪ'maɪnd	vt:: 提醒， 使想起； 使发生联想	remind of::提醒；使记起；使回想起¦that reminds me::[用来转换话题]我想起来了	Yes, I’ll be there. Thanks for reminding me.::是的，我会去那里的。 谢谢提醒。¦He made a few notes to remind himself of what he wanted to say.::他记了几条，提醒自己要说些什么。
manufacturer	,mænju'fæktʃərɚ	ˌmænju'fæktʃərə(r)	n:: 制造商， 制造厂， 生产者	automobile manufacturer::汽车制造厂¦parts manufacturer::零件制造者¦original manufacturer::原制造厂¦original equipment manufacturer::原始设备制造商；初始设备厂家	Read the manufacturer’s instructions before using your new dishwasher.::使用新洗碗机之前，请先阅读厂家的说明书。¦The fridge was sent back to the manufacturers.::那台冰箱被退还给厂家了。
valid	'vælɪd	'vælɪd	adj:: 有效的， 具有法律效力的； 正当的； 有根据的， 有理的	valid period::有效期限¦valid certificate::有效证书；有效凭证¦valid until::有效期至¦valid data::有效数据¦must be valid::必须实事求是¦valid time::有效时间¦valid contract::有效合同；有效契约¦valid from::有效起始日期¦valid date::有效期¦valid business registration certificate::有效商业登记证	a valid credit card::有效信用卡¦Your return ticket is valid for three months.::你的往返票有效期为三个月。
withstand	wɪð'stænd	wɪð'stænd	vt:: 抵挡； 经受住	withstand voltage::耐压¦voltage withstand::耐电压¦withstand test::耐压试验¦withstand voltage test::耐压试验	The Chancellor has withstood the criticism and held firm.::总理顶住批评，坚持立场。
vacuum	'vækjʊəm	'vækjuəm	v:: 用吸尘器清扫¦n::真空；	vacuum pump::[机]真空泵¦in a vacuum::似在真空中¦high vacuum::高度真空，高真空¦vacuum distillation::真空蒸馏¦vacuum cleaner::吸尘器；真空吸尘器；真空清洁器¦vacuum system::真空系统¦vacuum degree::真空度¦vacuum drying::真空干燥¦vacuum packaging::真空包装¦vacuum furnace::真空炉；退火炉¦vacuum filter::真空滤器¦vacuum tube::真空管；电子管¦vacuum packing::真空包装¦vacuum circuit breaker::真空断路器¦vacuum equipment::真空设备¦vacuum chamber::真空室；压力室¦vacuum evaporation::真空蒸发；真空蒸镀；真空涂膜¦vacuum heat treatment::真空热处理；化学热处理¦vacuum interrupter::真空断续器；真空隔离开关¦vacuum forming::真空成型	I vacuumed the carpets today.::我今天用吸尘器清洁地毯了。
encourage	ɪn'kɝrɪdʒ	ɪn'kʌrɪdʒ	v:: 鼓励； 促进， 激发	encourage investment::鼓励投资	I want to thank everyone who has encouraged and supported me.::我要感谢每一位鼓励和支持过我的人。
era	'ɪrə	'ɪərə	n:: 纪元； 时代	new era::新纪元报¦the contemporary era::当代¦cenozoic era::新生代¦mesozoic era::中生代¦christian era::公元；基督纪元¦palaeozoic era::古生；古生代¦paleozoic era::古生代¦current era::当今时代¦proterozoic era::元古代；原生代¦cainozoic era::新生代	His death marked the end of an era.::他的去世标志着一个时代的终结。¦the Victorian era::维多利亚时代
morality	məˈræləti	mə'ræləti	n:: 道德， 美德	social morality::社会道德¦public morality::公共道德；社会道德¦morality play::道德剧；寓意剧	...standards of morality and justice in society.::…社会中道德和正义的标准。
administer	əd'mɪnɪstɚ	əd'mɪnɪstə(r)	v:: 掌管； 给予	administer justice::执法，执行审判	This unit teaches students how to administer first aid .::本单元教学生如何进行急救。
transplant	træns'plænt	træns'plaːnt	vt::移栽，移种；移植；使迁移，使移居['trænsplaːnt]¦n:: 移植	organ transplant::器官移植¦heart transplant::心脏移植；心脏移植手术¦hair transplant::头发移植	The operation to transplant a kidney is now fairly routine.::移植肾脏的手术如今相当常见。
zoological	,zoə'lɑdʒɪkl	ˌzəuə'lɒdʒɪkl;ˌzuːə'lɒdʒɪkl	adj:: 动物学的	zoological garden::动物园	This nation, famous for its unique fauna and flora, is now allowing applications for the professional export of its protected species to overseas zoological gardens.::该国以出产独特动物群和植物群闻名，如今开放专业申请将其保育类动物出口到海外的动物园去。¦An emaciated cat quickly dropped from the ladder, watched something under vanilla jar, kept yelling out rudely, but Xiamen zoological garden people may not inquire what happened.::一只衰弱的大猫刷一声从梯子上摔下来，盯着有香草味的罐子并粗鲁地叫着，可厦门动物园的工作员对此置之不理！
accreditation	ə'krɛdə'teʃən	əˌkredɪ'teɪʃn	n:: 证明合格， 鉴定合格	accreditation system::制证系统；认可体系	
elucidate	ɪ'lusɪdet	i'luːsɪdeɪt	vt:: 阐明， 使…清楚		The full picture has not yet been elucidated.::详细情况还没有解释清楚。
deficit	'dɛfəsɪt	'defɪsɪt	n:: 不足额， 赤字	trade deficit::n. 贸易逆差；贸易赤字¦budget deficit::预算赤字¦fiscal deficit::财政赤字¦water deficit::水分亏缺；缺水量¦current account deficit::收支往来帐户赤字；经常账目赤字¦attention deficit hyperactivity disorder::过动症，注意力不足过动症；过度活跃症¦financial deficit::财政赤字；预算赤字¦attention deficit disorder::注意缺失紊乱；注意力缺损/缺失症¦deficit spending::（尤指政府的）赤字开支；寅吃卯粮¦federal deficit::联邦赤字¦overall deficit::总逆差¦foreign trade deficit::对外贸易逆差¦saturation deficit::饱和差；饱和不足量；饱和亏缺¦deficit financing::赤字财政	the country’s widening budget deficit::这个国家日益严重的预算赤字¦the US’s foreign trade deficit::美国的对外贸易逆差
uphill	,ʌp'hɪl	ˌʌp'hɪl	adv:: 向上， 往上； 上坡； 艰难地		The road twists uphill.::这条路弯弯曲曲通向山上。
shark	ʃɑrk	ʃɑːk	n:: 鲨鱼； 诈骗者	shark fin::鱼翅，鲨鱼鳍¦great white shark::大白鲨¦whale shark::鲸鲨¦loan shark::n. [口]放高利贷者	Sharks were circling around our boat.::鲨鱼在我们的小船周围游弋。
downpour	'daʊnpɔr	'daunpɔː(r)	n:: 暴雨		...sheltering from a sudden downpour of rain.::…躲避一场突如其来的瓢泼大雨。
linger	'lɪŋɡɚ	'lɪŋgə(r)	vi:: 继续逗留； 缓慢消失	linger over::在…上拖延；细细思考；仔细欣赏；慢吞吞地做某事	a taste that lingers in your mouth::口中的余味¦Unfortunately the tax will linger on until April.::不幸的是，这项税收要持续到4月份。
tome	toʊm	təum	n:: 册， 大部头书； 巨著	sao tome and principe::圣多美与普林希比共和国（位于非洲）	
veterinary	'vɛtərənɛri	'vetnri	adj:: 兽医的	veterinary medicine::兽医¦veterinary station::兽医站¦veterinary science::兽医；兽医学¦veterinary surgeon::兽医	veterinary medicine::兽医学
cumulative	'kjumjəletɪv	'kjuːmjələtɪv	adj:: 积累的， 渐增的	cumulative effect::累积效应；蓄积作用¦cumulative frequency::累积频率，累积频数¦cumulative distribution::累积分布¦cumulative probability::累积概率¦cumulative voting::选民所领票数与候选人数相同的制度¦cumulative error::[计]累积误差¦cumulative distribution function::累积分布函数	Learning is a cumulative process.::学习是个逐渐积累的过程。
storey	'stɔri	'stɔːri	n:: 楼层		A staircase leads to the upper storey .::有一段楼梯通往上面一层。
slip	slɪp	slɪp	v::滑倒，失足；减退；摆脱，闪开；塞入¦n:: 差错， 疏漏； 滑倒； 纸片	let slip::错过；无意中吐露；放走¦slip away::逃走；悄悄溜走¦slip in::悄悄溜入；偷偷溜进去¦slip into::v. 溜进；使滑入；匆忙穿上；[俚]大吃¦strike slip::[地理学]走向位移；走向滑距¦slip surface::滑面，滑动面¦slip on::套裙；滑动的¦slip line::滑线；滑动线¦deposit slip::n. 存款单¦slip velocity::滑移速度¦slip out::溜出；悄悄地溜出去¦slip ratio::滑移比率，滑率，滑差系数¦slip by::飞掠而过¦slip up::v. 疏忽；跌倒；遭到不幸¦slip form::滑模，滑动模板¦slip ring::滑环；集电环¦slip casting::[化]注浆成型法¦slip of the tongue::口误；失言；小错误¦slip out of::溜走，从…中滑出¦slip plane::滑移面；滑动面；滑面；侧滑面	Wright slipped but managed to keep hold of the ball.::赖特滑了一下，但球还抓在手里。
species	'spiʃiz	'spiːʃiːz	n:: 种， 物种	species diversity::物种多样性；歧异度¦species composition::物种组成；种类成分¦species richness::物种丰富度；种繁富度¦species abundance::物种丰度¦species group::种群；种组	Seven species of birds of prey have been observed.::已有七种猛禽被观察到。¦pandas and other endangered species::熊猫以及其他濒危物种
anchor	'æŋkɚ	'æŋkə(r)	v:: 抛锚； 使固定， 系牢； 使基于； 主持¦n::锚；给人安全感的人；精神支柱；顶梁柱	at anchor::停泊着；抛了锚¦anchor rod::锚杆；地脚螺栓¦anchor bolt::锚栓，地脚螺栓；锚定螺栓，基础螺栓¦anchor rope::锚索，绷绳¦cable anchor::电缆锚¦cast anchor::v. 抛锚；定居下来¦anchor chain::[机]锚链¦anchor bar::撬锚棒；锚着钢筋；锚筋¦steel anchor::钢锚件¦anchor wire::锚索¦drop anchor::vi. 抛锚¦anchor pile::锚桩，系缆桩¦gas anchor::气锚¦anchor point::定位点，锚定点¦anchor plate::锚定板；锚板；锚碇板¦anchor device::锚固装置¦ride at anchor::锚泊¦ground anchor::地锚，锚钉¦screw anchor::螺旋锚；螺旋型地锚	The shelves should be securely anchored to the wall.::搁板应牢牢固定在墙上。
logic	'lɑdʒɪk	'lɒdʒɪk	n:: 逻辑； 逻辑学	fuzzy logic::模糊逻辑¦programmable logic::可编程序逻辑¦logic control::逻辑控制¦programmable logic controller::可编程序逻辑控制器¦control logic::控制逻辑¦logic system::逻辑系统¦logic circuit::逻辑电路¦fuzzy logic control::模糊逻辑控制¦digital logic::数字逻辑¦temporal logic::时序逻辑；时间逻辑¦logic design::[计]逻辑设计¦mathematical logic::数理逻辑¦formal logic::形式逻辑¦logic analyzer::逻辑分析仪；逻辑分析器¦logic operation::逻辑运算¦propositional logic::命题逻辑¦sequential logic::时序逻辑；顺序逻辑；循序逻辑¦predicate logic::谓词逻辑¦logic programming::逻辑编程¦modal logic::模态逻辑；情态逻辑	There isa certain logicin their choice of architect.::他们对建筑师的选择是有一定道理的。
eyesight	'aɪsaɪt	'aɪsaɪt	n:: 视力	poor eyesight::视力很差；视力差	He had a problem with his eyesight.::他的视力有问题。
spice	spaɪs	spaɪs	n::香料，调味品¦vt:: 使增添趣味； 往…加香料	spice of life::生活的调味品；使人高兴的事¦spice girls::英国辣妹组合¦spice islands::香料群岛（等于Moluccas，印度尼西亚东北部马鲁古群岛）	herbs and spices::香草和香料
screen	skrin	skrɪːn	n:: 屏幕， 银幕； 遮蔽； 屏风， 帘； 筛子¦vt:: 掩蔽， 遮蔽； 包庇； 筛选； 放映， 播放	screen printing::丝网印刷术¦touch screen::接触式屏幕；触感屏幕¦silver screen::银幕；电影¦computer screen::电脑屏幕¦on screen::在屏幕上；荧屏上¦silk screen::丝绢网印花法¦big screen::（电影院的）大银幕¦display screen::显示屏幕¦smoke screen::烟幕；障眼法¦lcd screen::abbr. 液晶屏幕（liquid crystal display screen）¦vibrating screen::振动筛；摆动筛¦screen saver::n. 屏幕保护程序；视屏闲置画面¦full screen::全屏幕¦screen out::筛选出¦flat screen::平筛，平板筛浆机；平面屏幕¦rotary screen::旋转筛；回转筛；旋筛¦protective screen::防护屏，保护遮板¦screen size::[计]屏幕大小；筛号¦silk screen printing::丝网印刷；丝绢网印花法¦screen mesh::丝网；筛孔，筛眼	a computer with an 18-inch colour screen::带18英寸彩色屏幕的电脑¦He went on staring at the TV screen .::他继续盯着电视屏幕看。
MasterCard		'maːstə(r)kaːd	n:: 万事达信用卡		MasterCard says its index reflects the interconnectedness of major global cities and tracks the ways in which business and leisure jet-setters spend their money.::万事达公司表示，其数据反映出世界主要大城市的互联性，并追踪了商务和休闲飞机乘客的消费方式。
naked	'nekɪd	'neɪkɪd	adj:: 裸体的， 无遮蔽的	naked eye::n. 肉眼¦naked light::明火；无罩灯	The children ran naked through the yard.::孩子们光着身子跑过院子。¦a picture of a naked man::裸体男子的照片¦They found the body lying half naked in the grass.::他们发现尸体半裸着躺在草丛中。¦The governor ordered the prisoner to be stripped naked and whipped.::监狱长下令将那个犯人剥光衣服进行鞭笞。
homesick	'homsɪk	'həumsɪk	adj:: 想家的， 思乡的		She's feeling a little homesick.::她感到有些想家了。
trial	'traɪəl	'traɪəl	adj:: 试验性的¦n::审讯；试验	on trial::在试验中；在受审¦clinical trial::临床试验；诊治试验¦trial production::产品试制¦trial and error::反复试验；尝试错误法¦trial run::试车；试验；测试运行¦free trial::免费试用¦trials and tribulations::艰难困苦；痛苦与磨难¦trial period::试用期¦trial order::试订单；试用订货¦first trial::初审；初次试验¦trial implementation::试行¦criminal trial::刑事审判¦fair trial::[法]公平审判¦field trial::（新产品等的）现场试验；（猎狗）实地追猎选拔或测试¦trial version::试用版¦civil trial::民事审判¦time trial::计时赛；计时游；计时测验¦by trial and error::反复试验，不断摸索¦stand trial::在受审¦court trial::法庭审判	They succeeded in the experiment on the fifteenth trial.::他们在第十五次试验时获得了成功。¦We plan to release a prototype this autumn for trial in hospitals.::我们计划今年秋天在各医院推出一个模型进行试验。 。
perception	pɚ'sɛpʃən	pə'sepʃn	n:: 看法； 感觉； 洞察力	visual perception::视觉感知；视知觉¦aesthetic perception::美感，审美观念；审美知觉¦depth perception::[心]深度知觉¦sensory perception::n. 感官知觉¦sense perception::n. 感觉¦motion perception::运动知觉¦spatial perception::空间知觉¦pain perception::痛知觉¦consumer perception::消费者知觉¦extrasensory perception::超感知觉¦perception and understanding::感知与理解¦role perception::角色知觉	He is interested in how our perceptions of death affect the way we live.::他对我们的死亡观如何影响我们的生活方式感兴趣。
exploitation	,ɛksplɔɪ'teʃən	ˌeksplɔɪ'teɪʃn	n:: 开采， 开发； 剥削， 榨取； 自私的利用	mine exploitation::矿山开发¦exploitation right::采矿权¦exploitation of real estate::房地产开发	
undertake	,ʌndɚ'tek	ˌʌndə'teɪk	v:: 承担， 负起责任； 同意或答应做某事		He undertook to pay the money back in six months.::他保证在六个月之内还钱。
pronounceable		prə'naunsəbl	adj:: 发得出的； 可发音的		
indigenous	ɪn'dɪdʒənəs	ɪn'dɪdʒənəs	adj:: 土产的， 本地的， 本土的	indigenous population::土著，土著居民¦indigenous knowledge::本地知识；乡土知识；土著知识	the many indigenous cultures which existed in Siberia::存在于西伯利亚的许多当地文化
bureau	'bjʊro	'bjuərəu	n:: 办公室； 机构； 局； 处； 所	security bureau::安全局；保安局¦public security bureau::公安局¦bureau of statistics::统计局¦statistic bureau::统计局¦forestry bureau::林业局¦health bureau::卫生局¦political bureau::政治局¦national bureau of statistics::国家统计局¦commercial bureau::商业局；商务局¦tax bureau::税务局¦industrial and commercial bureau::工商局¦commodity inspection bureau::商品检验局¦bureau chief::n. 总编辑¦power supply bureau::供电局（所，机构）¦census bureau::人口统计局，人口调查局；人口普查局¦personnel bureau::人事局¦finance bureau::财政局；库务局¦federal bureau of investigation::n. （美）联邦调查局¦meteorological bureau::气象局¦weather bureau::气象局	an employment bureau::职业介绍所¦the Citizens Advice Bureau::公民咨询局
introvert	'ɪntrəvɝt	'ɪntrəvɜːt	n:: 性格内向的人		I sympathize with the introvert as I would with the sickly, but both are missing a lot of life.::我会像体谅体弱病残的人那样，体谅性格内向的人，但两者都失去许多人生体验。¦Introverts can have friends ok. I mean, I'm an introvert and I have no friends, but some do. Maybe. Not sure actually.::内向的人也可以拥有朋友，嗯，我说的是，我是一个内向的人我没有朋友，但是很多内向人也有朋友。是这样的吧？也许是吧？¦Many colleges will help future career seekers to evaluate self- personality to see if they are introvert, extrovert, detail-oriented or concept / idea persons.::许多大学帮助未来的求职者估量自己性格是否属于内向、外向、倾向细节或有创造性的人。
moist	mɔɪst	mɔɪst	adj:: 湿润的， 潮湿的	moist air::湿空气¦moist soil::湿地¦moist heat::温湿¦moist climate::湿润气候	Make sure the soil is moist before planting the seeds.::播种之前要确保土壤湿润。¦a rich, moist chocolate cake::香浓软润的巧克力蛋糕¦warm moist air::温暖湿润的空气¦Her eyes were moist (= she was almost crying ) .::她的眼睛湿润了。
cable	'kebl	'keɪbl	v:: 发电报¦n::缆绳；电缆；电报	cable tv::有线电视¦cable television::电缆电视，有线电视¦power cable::电力电缆¦coaxial cable::n. 同轴电缆¦optical cable::光缆¦cable car::（美）缆车¦electric cable::电缆¦by cable::用电报发出；通过电报¦cable system::电缆系统；有线系统¦main cable::主缆；主要钢缆¦steel cable::钢丝绳；钢索¦optic cable::光缆¦cable network::有线电视网路；电缆网络¦control cable::控制电缆；操纵索¦fiber optic cable::光缆，光纤；纤维光缆的¦communication cable::通信电缆；通讯传输缆线¦cable tray::电缆槽¦heating cable::发热电缆；加热电缆；耐热电缆¦cable length::n. 链（海上测距单位）¦cable laying::电缆敷设	cables and switches for computers::电脑的缆线和开关
nasty	'næsti	'nɑːstɪ	adj:: 令人讨厌的； 不友好的， 恶意的， 下流的； 恶劣的		a nasty temper::坏脾气¦the nasty things that were being written about her::人们描述的那些关于她的坏事情¦There’s a nasty streak in her character.::她性格中有令人讨厌的一面。¦Drivers often have a nasty habit of driving too close to cyclists.::司机常有一个坏习惯，就是车开得离骑自行车的人太近。
intense	ɪn'tɛns	ɪn'tens	adj:: 强烈的， 剧烈的； 紧张的； 热情的， 热切的	intense competition::激烈的竞争¦intense emotion::激情¦intense pain::剧烈疼痛；剧痛¦intense cold::酷寒；严寒	Young people today are under intense pressure to succeed.::如今的年轻人面临要出人头地的巨大压力。¦the intense heat of the desert::沙漠的炽热¦The pain was so intense I couldn’t sleep.::疼得我都睡不着觉。¦He took an intense interest in all religious matters.::他对所有宗教事宜都很感兴趣。¦a look of intense dislike::极端厌恶的表情
thrifty	'θrɪfti	'θrɪfti	adj:: 节俭的， 节约的		hard-working, thrifty people::勤劳节俭的人们
estate	ɪ'stet	ɪ'steɪt	n:: 个人财产， 遗产； 土地， 地产， 庄园	real estate::n. 不动产，房地产¦real estate market::房地产市场；不动产市场¦real estate development::房地产开发¦estate tax::（英）房地产遗产税¦real estate management::房地产管理；物业管理；不动产管理¦real estate tax::不动产税；固定资产税¦housing estate::住宅区；居民村；房地产业¦estate agent::房地产掮客，房地产经纪人¦real estate agent::房地产经纪人¦real estate finance::房地产金融；不动产财务¦real estate developer::房地产开发商¦real estate agency::房地产公司¦real estate broker::房地产经纪人，不动产经纪人¦real estate appraisal::房地产评估；不动产评估¦industrial estate::工业区，工业园区¦real estate financing::购置不动产借款¦real estate investment trust::不动产投资信托公司¦landed estate::地产，不动产¦fourth estate::第四等级（新闻界的别称）¦trust estate::信托财产	a country estate::乡村的庄园
acoustic	ə'kʊstɪk	ə'kuːstɪk	adj:: 原声的； 声音的； 听觉的	acoustic emission::声发射，声频发射；声发射检验¦acoustic wave::声波¦acoustic signal::听觉信号¦surface acoustic wave::表面声波¦acoustic impedance::［化］声阻抗¦acoustic pressure::声压¦acoustic velocity::声速，音速¦acoustic power::声功率¦acoustic guitar::原声吉他；木吉他¦acoustic noise::噪声¦acoustic intensity::声强度¦acoustic insulation::隔音；隔音设备¦acoustic image::[医]听像，声像；[化]声象¦acoustic energy::声能；音控能量¦acoustic quality::音质；音品；音色¦acoustic microscope::[医]超声显微镜¦acoustic warfare::音响战¦acoustic characteristic::声学特征；音响特性¦acoustic control::声控¦acoustic frequency::声频	
elaboration	ɪ,læbə'reʃən	ɪˌlæbə'reɪʃn	n:: 精心之作； 详尽阐述		
