adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
obstinate	'ɑbstɪnət	'ɒbstɪnət	adj::顽固的；倔强的；难以控制的		He was the most obstinate man I’ve ever met.::他是我遇到过的最固执的人。¦Don’t be so obstinate!::别这么固执！¦an obstinate refusal to obey::固执地拒绝服从
obstruct	əb'strʌkt	əb'strʌkt	v::妨碍；阻塞；遮断		A small aircraft was obstructing the runway.::一架小型飞机堵住了跑道。¦The column obstructed our view of the stage.::柱子挡着，我们看不见舞台。
obtain	əb'ten	əb'teɪn	v::获得；流行	obtain employment::就业，找到工作¦obtain information::获得信息；索取资料或合同¦obtain evidence::取证	Evans was trying to obtain a false passport and other documents.::埃文斯当时正试图获取假护照和其他文件。
occasion	ə'keʒn	ə'keɪʒ(ə)n	n::时机，机会；场合；理由¦v::引起，惹起	on the occasion::在那时；值此…之际¦special occasion::特别的时刻；特别的场合¦on the occasion of::值此…之际¦on occasion::有时；偶尔¦on this occasion::adj. 这一次¦on one occasion::adj. 有一次；曾经， 有一个时候¦on that occasion::在那个时机；在那个时候；在那个场合下¦rise to the occasion::应付自如	His remark was the occasion of a bitter quarrel.::他的话引起了一场激烈的争吵。¦I had occasion to call on him last year.::去年我因事去拜访过他。
occur	ə'kɝ	ə'kɜː	v::发生；出现；存在	occur as::以...的形式出现¦occur for::发生在…时候	A third of accidental deaths occur in the home.::有三分之一的意外死亡发生在家里。¦The explosion occurred at 5.30 a.m.::爆炸发生在清晨5点30分。
odd	ɑd	ɒd	adj::奇数的；古怪的；剩余的；临时的；零散的¦n::奇数；怪人；奇特的事物	odd number::奇数¦odd couple::出人意料互不相配的一对¦at odd::争执；奇数¦odd one out::剔除一个；格格不入¦odd lot::散股；零星交易	It was an odd thing to say.::这话说得很奇怪。¦an odd way to behave::古怪的行为¦They’re an odd couple.::他们是古怪的一对。¦There was something odd about him.::他这人有些奇怪。¦What she did was unforgivable, but the odd thing was he didn’t seem to mind.::她的所作所为是不可原谅的，但奇怪的是他好像并不在意。¦She was holding an extremely odd-looking weapon.::她手持一件非常奇特的武器。
offence	ə'fɛns	ə'fens	n::犯罪；违反；过错；攻击	criminal offence::刑事犯罪¦take offence::生气¦traffic offence::违反交通规章	His solicitor said he committed the offence because he was heavily in debt.::他的律师说他犯罪是因为欠下巨债。
offend	ə'fɛnd	ə'fend	v::冒犯；使…不愉快	offend against::违犯；犯罪	His remarks deeply offended many Scottish people.::他的话严重冒犯了许多苏格兰人。¦The careful language is designed not to offend.::使用谨慎的语言是为了不得罪人。
offset	,ɔf'sɛt	'ɒfset	n::抵消，补偿；平版印刷；支管¦v::抵消；弥补；用平版印刷术印刷	offset printing::胶印，平版印刷；胶版印刷；平板印刷¦frequency offset::频率偏移；频率偏置¦offset press::胶印机¦offset paper::胶版纸；胶版印刷纸；平版机上浆纸¦offset print::胶版印刷¦offset voltage::偏移电压；[光电]补偿电压¦offset printing ink::胶版油墨¦web offset::[印]卷筒纸胶印¦offset surface::偏移曲面（设计软件3D MAX中的一个选项）¦zero offset::零点偏移；零点误差¦offset distance::偏距¦offset current::补偿电流；失调电流¦offset curve::偏移曲线；曲线移动¦offset plate::胶印版¦tool offset::刀具位置偏位¦offset machine::橡皮印刷机；胶版印刷机	Cuts in food prices will be offset by direct payments to farmers.::食品降价将通过直接付款给农民的方式进行补偿。
offspring	'ɔfsprɪŋ	'ɒfsprɪŋ	n::后代，子孙；产物		a young mother trying to control her offspring::一个想管住自己孩子的年轻妈妈
oily	'ɔɪli	'ɒɪlɪ	adj::油的；油质的；油滑的；油腔滑调的	oily skin::油性皮肤；油性肌肤¦oily water::油污水；混油水¦oily waste water::含油废水¦oily sewage::含油污水¦oily soil::油性污渍	He wiped his hands on an oily rag.::他在一块油腻的抹布上擦了擦手。
olive	'ɑlɪv	'ɒlɪv	n::橄榄；橄榄树；橄榄色¦adj::橄榄的；橄榄色的	olive oil::橄榄油¦olive branch::橄榄枝（象征和平）；谈和的建议；小孩¦olive tree::橄榄树；油橄榄树¦olive green::茶青色，橄榄绿¦black olive::黑橄榄；黑齐墩果色；乌榄¦virgin olive oil::初压橄榄油	an olive grove::一片橄榄树林¦They are handsome with dark, shining hair, olive skin and fine brown eyes.::他们很帅，有着乌黑闪亮的头发，黄褐色的皮肤，迷人的棕色眼睛。
omen	'omən	'əʊmən	n::预兆；征兆¦v::预示；有…的前兆；预告	auspicious omen::吉祥；好兆头	The car won’t start. Do you think it’s an omen?::汽车发动不起来。你觉得这是某种预兆吗？
omit	ə'mɪt	ə(ʊ)'mɪt	v::省略；遗漏；删除；疏忽		Please don’t omit any details, no matter how trivial they may seem.::请不要忽略任何细节，不管它多细小。
online	'ɑn'laɪn	ɒn'laɪn	adj::联机的；在线的¦adv::在线地	online shopping::网络购物¦online game::网络游戏¦get online::上网¦shopping online::网上购物¦online help::n. 【计】联机帮助¦online services::在线服务¦online bookstore::在线网上书店¦online gaming::在线游戏¦online banking::网上银行¦online communication::在线交流；线上交流¦online trading platform::网上交易平台¦chatting online::网上聊天¦online publishing::网路出版¦online inquiry::在线调查；线上调查¦america online::美国在线服务公司¦online casino::网上赌博¦always online::永远在线；随时在线	All the city’s schools will be online by the end of the year.::到年底，市里的所有学校都会连接因特网。¦...the cool stuff you find online.::…你在网上找到的好东西。
onlooker	'ɑnlʊkɚ	'ɒnlʊkə	n::旁观者；观众（等于spectator）		A crowd of onlookers had gathered at the scene of the accident.::一群旁观者围聚在事故现场。
only	'onli	'əʊnlɪ	adv::只，仅仅；不料¦adj::唯一的，仅有的；最合适的¦conj::但是；不过；可是	only one::只有一个；唯一¦only for::要是没有¦only when::只有当…才能¦only if::只要……就；只是在……的时候¦only then::直到那时（后面的句子要倒装）¦if only::只要；要是…多好¦only once::只有一次¦only just::刚刚才；恰好¦only too::非常；实在¦if and only if::若且唯若，当且仅当	Naomi was only 17 when she got married.::娜奥米结婚时才17岁。¦There are only a few cars on the island.::这个岛上只有几辆汽车。¦It’s only eight o’clock.::才8点钟。
onward	'ɑnwɚd	'ɒnwəd	adj::向前的；前进的¦adv::向前；在前面		The company offers flights to Amsterdam with onward travel to The Hague.::这家公司开设了飞往阿姆斯特丹并续飞海牙的航班。¦the onward march of science::科学的不断发展¦The bus continued onward.::公交车继续前行。
opening	'opənɪŋ	'əʊp(ə)nɪŋ	n::开始；机会；通路；空缺的职位¦adj::开始的¦v::开放（open的ing形式）；打开；公开	opening up::开放，扩大开放；疏通，打通；开发矿山¦opening ceremony::开学典礼；开幕式；开幕仪式；开幕典礼¦at the opening::开盘价；按开市价盘；开盘指令；开盘委托¦opening day::开幕日；开放日¦grand opening::n. 盛大献映¦opening hours::（图书馆）开放时间；（书店）营业时间¦valve opening::阀门开度¦opening bank::开证银行¦opening time::营业时间¦opening night::首场演出；首演之夜¦opening price::[经]开盘¦opening remarks::开场白¦opening speech::开幕致辞¦opening an account::开户；开立账户¦door opening::门洞；门孔；箱门尺寸¦gate opening::闸门开启高度；导叶开度¦bid opening::开标¦opening angle::开度角；孔径角；张角¦opening rate::开盘汇率；开盘价¦opening session::开幕式；开幕会议	There are very few openings in scientific research.::科学研究领域很少有职位空缺。
operation	,ɑpə'reʃən	ɒpə'reɪʃ(ə)n	n::操作；经营；[外科] 手术；[数][计] 运算	and operation::与操作¦in operation::生效；运转着¦normal operation::正常运行，常规操作¦operation principle::经营理念¦safe operation::安全操作¦operation and management::经营和管理¦operation mode::操作方式¦operation system::操作系统；业务系统；运行系统¦operation and maintenance::使用和维护¦operation management::运营管理；经营管理¦operation cost::营业成本；业务费用；经营费用¦stable operation::稳定运行；稳定操作¦business operation::营业；[经]企业经营活动¦system operation::系统操作¦mode of operation::操作方式；运行方式¦operation method::运算法¦put into operation::使生效；使运转，使开动¦smooth operation::正常运转；平稳运转，稳定运转¦surgical operation::外科手术式的作战；切开手术¦operation time::操作时间；运算时间	Many small businesses fail in the first year of operation.::许多小企业在经营的第一年就倒闭了。
opium	'opɪəm	'əʊpɪəm	n::鸦片；麻醉剂¦adj::鸦片的	opium war::n. [史]鸦片战争（1839-1842年中英间的战争）¦opium poppy::n. 罂粟	Strychnine, arsenic, and opium are poison.::马钱子碱、砷和鸦片都是毒药。¦One day, a friend offered her a pipe and opium.::一天，一个朋友给了她一根烟管和鸦片。¦This reminds us of the 150 kilograms of opium that Siam presented to his court in 1584.::这使我们联想起1584年暹罗国曾经向明朝廷进贡150千克鸦片的史料记载。
opponent	ə'ponənt	ə'pəʊnənt	n::对手；反对者；敌手¦adj::对立的；敌对的		Graf’s opponent in today’s final will be Sukova.::格拉芙今天的决赛对手将是苏科娃。¦He is admired even by his political opponents.::他甚至受到政敌的钦佩。
opportunity	ˌɑpɚˈtunɪti, -ˈtju-	ɒpə'tjuːnɪtɪ	n::时机，机会	seize the opportunity::抓住机遇，抓住机会¦rare opportunity::稀有机会，难得机会¦equal opportunity::机会均等¦opportunity cost::机会成本¦business opportunity::商业机会¦take the opportunity::利用机会，抓住机会¦golden opportunity::绝好的机会¦unique opportunity::唯一机会；极难得的机会¦employment opportunity::就业机会¦investment opportunity::投资机会¦job opportunity::工作机会，就业机会¦opportunity to see::广告能见机率；看见机会¦economic opportunity::经济机会¦land of opportunity::机会之地；机遇之地¦at the first opportunity::一有机会；尽快¦opportunity to perform::实践的机会；表现机会¦photo opportunity::拍照机会；（名人政要等）接受媒体拍照的时间¦opportunity loss::机会损失¦equal employment opportunity::同等就业机会，均等就业机会¦at the earliest opportunity::一有机会；尽快	There are fewer opportunities for new graduates this year.::今年新毕业的大学生就业机会较少。
opposition	'ɑpə'zɪʃən	ɒpə'zɪʃ(ə)n	n::反对；反对派；在野党；敌对	in opposition to::反对；与…相反¦opposition party::反对党；在野党¦binary opposition::二元对立；二项对立；相对关系¦leader of the opposition::反对派领袖；反对党领导	He is confident in his ability to overcome all opposition with his personal charm.::他自信有能力以个人魅力来化解一切反对力量。¦The proposals have aroused the opposition of teachers.::这些建议引起了教师们的反对。¦Strong opposition resulted in rejection of the bill.::在强烈反对下这项议案遭到否决。¦Plans to turn the site into a £600 million leisure complex have met with stiff opposition.::将该处改造成造价六亿英镑的综合性休闲大楼的计划遭到了激烈的反对。¦Much public opposition to the new law remained.::公众对这项新法律仍存在普遍的反对情绪。¦Workers found themselves in opposition to local interests.::工人们发现自己与当地人的利益存在冲突。
oppress	ə'prɛs	ə'pres	v::压迫，压抑；使……烦恼；使……感到沉重		native tribes oppressed by the authorities::受到当局压迫的土著部落
optics	'ɑptɪks	'ɒptɪks	n::[光] 光学	geometrical optics::几何光学¦adaptive optics::自适应光学；适应性光学仪器（天文学使用的镜子，其形状可以改变以补偿光线受大气之扭曲）¦nonlinear optics::非线性光学¦quantum optics::量子光学¦physical optics::物理光学¦geometric optics::几何光学¦integrated optics::集成光学；积体光学；集成光路¦fibre optics::纤维光学（等于fiber optics）¦wave optics::[化]波动光学¦applied optics::应用光学¦precision optics::精密光学部件	The key to success is the combination of transformation optics with another promising new field of science known as plasmonics.::成功的关键是转变的光学与另一个有希望的表面电浆子场组合，被称为新的科学。¦But it was, ironically, not until the invention of the laser in 1960 that understanding the quantum nature of optics became crucial.::但是，具有讽刺意义的是，直到1960年激光发明后，认识光学的量子本质才变得至关重要。¦One essential tool is adaptive optics technology, which, in effect, takes the twinkle out of the stars, thus providing sharper images from telescopes on the ground than would otherwise be possible.::一个重要的工具就是自适应光学技术，实际上就是通过地面上的望远镜将恒星的闪耀去除，从而比采用其他方法能提供更为明显的图像。
optimal	'ɑptəml	'ɒptɪm(ə)l	adj::最佳的；最理想的	optimal design::优化设计；最佳设计¦optimal control::最优控制¦optimal solution::最优解，最佳解¦optimal allocation::最优配置¦optimal process::最优过程¦optimal condition::最适条件；最适当条件¦optimal choice::最佳选择¦optimal performance::最佳操作¦optimal control theory::最优控制理论¦optimal strategy::最优策略，最佳策略¦optimal position::最优位置¦optimal output::最佳产量	
option	'ɑpʃən	'ɒpʃ(ə)n	n::[计] 选项；选择权；买卖的特权	stock option::职工优先认股权¦put option::出售选择权；卖出选择权；卖出期权¦call option::看涨期权；购买选择权¦option pricing model::期权定价模式¦option market::期货买卖¦option contract::n. 期权合约；选择权契约¦the first option::最佳选择，第一选择¦share option::股份认购权（在一定时期内按预定价格买卖股票的权利）¦option to purchase::购买选择权¦soft option::轻松的选择；较为方便的出路¦menu option::菜单选择¦european option::欧式期权；欧式选择权¦american option::现货期权；美式选择权¦purchase option::进货选择权¦default option::[计]缺省选择¦have no option but::不得不，被迫，除…之外别无他法¦alternative option::替代，替代物；比较选择方案¦at one's option::随意¦standard option::标准选择；标准选件¦configuration option::配置选项	There are a number of options available.::有多种选择。¦He had two options.::他有两种选择。¦This was not the only option open to him.::这并非是他的唯一选择。¦Teenage mothers often have no option but to (= have no other choice except to ) live with their parents.::少女妈妈往往别无选择，只能与父母同住。
orchard	'ɔrtʃɚd	'ɔːtʃəd	n::果园；果树林	orchard road::乌节路（新加坡最出名的购物街道）¦seed orchard::种子园，采种园	a cherry orchard::樱桃园
ordeal	ɔr'dil	ɔː'diːəl	n::折磨；严酷的考验；痛苦的经验		He was beginning to wonder if he would survive the ordeal.::他开始怀疑自己能否熬过这场磨难。¦Teresa had a transplant in 1989 and was just recovering from that ordeal when she suffered a brain hemorrhage.::特雷莎在1989年做了一次移植手术，而正当她刚刚从那可怕的磨难中逐渐恢复时，又患了脑溢血。¦Soon the whole terrifying ordeal would be over.::这场恐怖的磨难很快就会过去的。
order	'ɔrdɚ	'ɔːdə	n::命令；顺序；规则；[贸易] 定单¦v::命令；整理；定购	in order::整齐，秩序井然；按顺序；状况良好¦order of::约为，大约；订货；注尺寸顺序¦second order::adj. 二级的，二阶的¦first order::一阶；初指令；第一级¦social order::社会秩序¦market order::[经]市场定购单¦of the order of::大约；达到…的程度¦on order::在定购中（已定而尚未交货的）¦public order::公共秩序；社会治安¦high order::adj. 高阶的；高位的¦put in order::整理，检修¦order form::定货单，订货单¦out of order::发生故障；次序颠倒¦order from::[法]定货单¦purchase order::订购单，采购订单¦of the first order::最高级的¦good order::情况正常；整齐有序¦on the order of::属于…同类的；与…相似的；近似¦order by::以…排序¦new order::新秩序	There seemed to be no logical order to the sections.::这几部分似乎没有逻辑顺序。
ore	ɔr	ɔː	n::矿；矿石	iron ore::铁矿石；铁矿砂¦ore deposit::矿床；矿层¦gold ore::金矿石，金矿¦ore body::矿体¦copper ore::铜矿¦ore dressing::选矿；造矿¦manganese ore::锰矿石，锰矿；硬锰砂¦iron ore mine::铁矿山¦ore grade::矿石品位分级¦ore concentrate::精矿¦tin ore::锡矿（石）；锡矿砂¦raw ore::原矿石，未选的矿石¦ore bearing::含矿的¦sulphide ore::硫化矿¦iron ore concentrate::铁精矿，铁精砂¦zinc ore::锌矿；锌矿砂；锌矿石¦fine ore::粉矿；细矿石¦ore block::矿块；矿段；矿体¦ore fines::粉矿；矿石颗粒¦rich ore::富矿，好矿；富矿石	iron ore::铁矿石¦veins of rich ore::富矿脉
organ	'ɔrɡən	'ɔːg(ə)n	n::[生物] 器官；机构；风琴；管风琴；嗓音	administrative organ::行政机关；管理机构¦organ transplantation::器官移植¦sense organ::感觉器官¦organ transplant::器官移植¦procuratorial organ::检察机关¦target organ::目标器官；靶瀑¦reproductive organ::生殖器；生殖器官¦government organ::n. 官报¦electronic organ::电子琴¦organ system::器官系统¦sex organ::性器官¦sensory organ::感觉器官；感觉器官；感觉瀑¦internal organ::内脏，内脏器官¦pipe organ::管风琴¦hollow organ::中空瀑；中空器官¦part organ::n. 党报¦genital organ::生殖器¦organ pipe::管风琴；[医]风琴管¦floral organ::花器；花瀑¦artificial organ::人工器官；人造脏器；人工瀑	the decision-making organs::决策机关
orient	'orɪənt	'ɔːrɪənt; 'ɒr-	v::使适应；确定方向；使朝东¦n::东方；东方诸国¦adj::东方的	orient express::东方快车	She looked at the street names, trying to orient herself.::她看看街名，试图确定自己的方位。
origin	'ɔrɪdʒɪn	'ɒrɪdʒɪn	n::起源；原点；出身；开端	country of origin::原产地；原产国¦certificate of origin::[商]原产地证书¦place of origin::原产地；起运地点¦origin of life::生命的起源；生命起源¦point of origin::原点，起始点；起火点¦plant origin::植物来源¦ethnic origin::种族本源¦animal origin::动物来源¦fever of unknown origin::无明显病因的发烧¦marine origin::海成；海相成因¦data origin::数据源¦humble origin::卑微的出身¦noise origin::噪声源	The tradition has its origins in the Middle Ages.::这一传统源于中世纪。¦old folk tales of unknown origin::起源不明的古老民间传说
originate	əˈrɪdʒəˌnet	ə'rɪdʒɪneɪt; ɒ-	v::引起；创作	originate from::发源于¦originate in::vt. 起源于（发生于）	The technique was originated by an Italian artist.::这种技艺由一位意大利艺术家首创。
ornament	'ɔrnəmənt	'ɔːnəm(ə)nt	n::装饰；[建][服装] 装饰物；教堂用品¦v::装饰，修饰		a shelf covered with books and ornaments::摆满书籍和装饰品的架子¦a cabinet in which she kept her collection of china ornaments::她放置瓷器摆设收藏品的柜子
orphan	'ɔrfn	'ɔːf(ə)n	adj::孤儿的；无双亲的¦n::孤儿¦v::使成孤儿		The war has left thousands of children as orphans.::这场战争使成千上万的孩子成为孤儿。
orthodox	'ɔrθədɑks	'ɔːθədɒks	adj::正统的；传统的；惯常的；东正教的¦n::正统的人；正统的事物	orthodox church::n. 东正教；希腊正教¦eastern orthodox::东正教¦eastern orthodox church::[宗]东正教（等于Orthodox Eastern Church）¦russian orthodox::俄罗斯东正教¦orthodox eastern church::东正教（是与天主教、新教并立的基督教三大派别之一）¦greek orthodox::希腊正教的¦orthodox judaism::正统派犹太教	orthodox medical treatments::传统疗法¦He challenged the orthodox views on education.::他对传统的教育观念提出了质疑。
ostrich	'ɔstrɪtʃ	'ɒstrɪtʃ	n::鸵鸟；鸵鸟般的人	ostrich skin::鸵鸟皮	
otherwise	'ʌðɚwaɪz	'ʌðəwaɪz	adv::否则；另外；在其他方面¦adj::另外的；其他方面的；原本，本来¦conj::其他；如果不；然后	or otherwise::或相反；或其反面¦and otherwise::等等¦otherwise than::不像；除…外；与…不同	You’ll have to go now, otherwise you’ll miss your bus.::你现在就得走，要不然就赶不上公共汽车了。¦Put your coat on, otherwise you’ll get cold.::穿上外套，不然你会着凉的。
ounce	aʊns	aʊns	n::盎司；少量；雪豹	troy ounce::金衡制盎司	One ounce of almonds contains nearly half the recommended daily amount.::一盎司杏仁大约包含每日需求量的一半。¦I knew every ounce would weigh on me like a little anchor, so I was determined not to include a single item that was unnecessary or superfluous.::我意识到每盎司的重量都会成为一个小小的船锚压迫着我，所以我决定不带任何一样不必要的或多余的东西。
outbreak	'aʊtbrek	'aʊtbreɪk	n::（战争的）爆发；（疾病的）发作¦vi::爆发		a cholera outbreak::霍乱的爆发
outcome	'aʊt'kʌm	'aʊtkʌm	n::结果，结局；成果	possible outcome::可能结果¦therapeutic outcome::治疗结果¦learning outcome::学习结果；学习成果	People who had heard the evidence at the trial were surprised at the outcome.::在审判过程中听过证词的人都对此结果感到吃惊。
outdated	'aʊt'detɪd	aʊt'deɪtɪd	adj::过时的；旧式的¦v::使过时（outdate的过去式和过去分词）		outdated teaching methods::不合时宜的教学方法¦a factory with outdated equipment::设备陈旧的工厂¦His writing style is now boring and outdated.::他的写作风格如今已显得乏味而过时了。
outlaw	'aʊtlɔ	'aʊtlɔː	n::歹徒；罪犯；亡命之徒；被剥夺法律保护者¦v::宣布…为不合法；将…放逐；剥夺…的法律保护		Jesse was an outlaw, a bandit, a criminal.::杰西曾是个逃犯、土匪、罪犯。¦In some states gambling was outlawed.::在一些州赌博被宣布为非法。¦The German government has outlawed some fascist groups.::德国政府已宣布一些法西斯团体为非法。
outlet	'aʊtlɛt	'aʊtlet	n::出口，排放孔；[电] 电源插座；销路；发泄的方法；批发商店	air outlet::排气口¦outlet temperature::出口温度¦outlet pressure::出口压力¦outlet pipe::出口管；排水管，去水管；排气管¦outlet water::废水；排水¦gas outlet::气体出口¦outlet valve::排出阀¦power outlet::电源输出口，插座¦retail outlet::零售商店；零售门路¦discharge outlet::排放口；排水出路¦wall outlet::n. 【电工】壁装电源插座¦electrical outlet::n. 插座¦sales outlet::销售部；销售网点¦outlet line::输出线；出口管线¦oil outlet::出油口¦delivery outlet::输出口¦outlet velocity::出口速度¦outlet opening::排出口；出油口¦drainage outlet::排水出口¦exhaust outlet::排风口；排气口	...the largest retail outlet in the city.::…该市最大的零售专卖店。
outline	'aʊtlaɪn	'aʊtlaɪn	n::轮廓；大纲；概要；略图¦v::概述；略述；描画…轮廓	in outline::◎画…的草图(或轮廓)¦general outline::大纲，概要¦outline form::外形；洞缘形¦outline view::n. 大纲视图¦outline map::略图¦outline plan::纲要计划¦outline drawing::外形图；轮廓图¦outline dimension::外形尺寸	a research proposal outline::研究计划梗概
outlook	'aʊtlʊk	'aʊtlʊk	n::展望；观点；景色¦vt::比……好看；用目光压倒¦vi::朝外看	outlook on::对…的看法；对…眺望¦world outlook::世界观¦outlook for::…的前途；…的远景¦outlook on life::人生观¦market outlook::市场前景；市场展望¦economic outlook::经济前景¦mental outlook::n. 精神境界，精神面貌¦positive outlook::乐观看法¦optimistic outlook::乐观的前景¦microsoft outlook::个人邮件及资讯管理软件¦on the outlook for::◎注视着	Exercise will improve your looks and your outlook.::运动将会改善你的外在形象和人生态度。
output	'aʊtpʊt	'aʊtpʊt	n::输出，输出量；产量；出产¦v::输出	output power::[化]输出功率¦output voltage::输出电压¦output value::n. 输出值，产值¦power output::功率输出；电源输出¦high output::高输出；高产量¦annual output::年产量¦output signal::输出信号¦total output::总产量；总输出量；总功率¦output data::输出数据¦output current::输出电流¦output shaft::输出轴；从动轴¦cardiac output::心输出量¦signal output::信号输出；输出信号¦data output::数据输出¦economic output::经济产出；经济产量，流量¦output torque::输出转矩；输出力矩；输出扭矩¦output file::输出文件¦value of industrial output::工业产值¦production output::生产量¦daily output::日产量	Output is up 30% on last year.::产量比去年提高了30%。
outrageous	aʊt'redʒəs	aʊt'reɪdʒəs	adj::粗暴的；可恶的；令人吃惊的		By diplomatic standards, this was outrageous behaviour.::按外交标准，这是不可接受的行为。
outset	'aʊtsɛt	'aʊtset	n::开始；开端	at the outset::开始；起初¦from the outset::从一开始	It was clear from the outset that there were going to be problems.::从一开始就很清楚会有问题出现的。¦It’s better to get something in writing right at the outset.::最好一开始就有个书面的东西。
outskirts	'aʊt'skɝts	'aʊtskɜːts	n::市郊，郊区		On the extreme northwestern outskirts of the city stands the Buddhist temple.::那所佛教寺院位于市郊的最西北角。¦Why not escape city noises and enter the peace of outskirts with our weekend trip?::为什么不参加我们的周末旅行，走出城市的喧闹，步入郊外的宁静呢？
outstanding	'aʊt'stændɪŋ	aʊt'stændɪŋ	adj::杰出的；显著的；未解决的；未偿付的¦n::未偿贷款	outstanding achievement::业绩；杰出成就¦outstanding performance::出色表现；杰出的表现¦outstanding work::出色的工作¦outstanding student::优秀学生，杰出学生¦outstanding feature::显著特点¦shares outstanding::净发股票；流通在外股票¦outstanding balance::未清余额¦outstanding debt::未偿还的债务¦outstanding claims::未决赔款，货币索取权¦outstanding question::未决问题¦outstanding amount::债务总额，未偿还部分¦outstanding share::流通在外的股票；已发行股票	an outstanding example of a 13th-century castle::13世纪城堡的杰出典范¦an outstanding success::了不起的成功¦His performance was outstanding.::他的表演相当出色。
oven	'ʌvn	'ʌv(ə)n	n::炉，灶；烤炉，烤箱	coke oven::炼焦炉¦microwave oven::微波炉¦oven gas::焦炉煤气¦coke oven gas::焦炉煤气¦drying oven::干燥箱¦electric oven::n. 电烤炉；电烘炉¦oven heating::烘箱加热；加热固化¦vacuum oven::真空干燥箱，真空烘箱；真空电炉¦micro-wave oven::微波炉¦baking oven::n. 烘箱¦gas oven::煤气炉；烤箱¦electromagnetic oven::电磁炉¦air oven::烘箱，烤箱；热空气箱¦toaster oven::烤炉；烤箱¦electronic oven::电烤箱，电子炉¦curing oven::固化炉；硬化炉；熟化炉	Preheat the oven to 200 degrees C.::把烤箱预热至200摄氏度。¦Press the mixture onto the bread and bake in a hot oven for ten minutes.::把混合料抹在面包上，然后在烤箱内高温烘烤10分钟。
overall	,ovə'rɔl	'əʊvərɔːl	adj::全部的；全体的；一切在内的¦adv::全部地；总的说来¦n::工装裤；罩衫	overall situation::大局；总体形势¦overall quality::综合质量；总的质量¦overall development::综合开发¦overall planning::整体规划；全面规划¦overall design::总体设计；总设计¦overall performance::整体性能；总指标¦overall level::总电平¦overall structure::总体结构，整体结构¦overall plan::总体规划¦overall analysis::全分析¦overall system::[计]总体系统¦overall strength::总强度¦overall evaluation::综合评价¦overall strategy::全面战略¦overall efficiency::总效率¦overall budget::总体预算¦overall cost::总成本；全部成本；总值¦overall view::全景；透视图¦overall project::整个项目；全面计划方案¦overall risk::综合险，整体风险	The overall cost of the exhibition was £400,000.::展览会的全部费用是40万英镑。¦The overall result is an increase in population.::总的结果是人口增加。¦An overall winner and a runner-up were chosen.::总冠军和第二名被选了出来。¦We don’t want all the details now, just the overall picture.::现在我们不需要全部细节，只要知道大致的情况。
overcast	,ovɚ'kæst	'əʊvəkɑːst	adj::阴天的；阴暗的；愁闷的¦v::使沮丧；包缝；遮蔽	overcast sky::阴天	a chilly overcast day::一个寒冷的阴天¦The sky was overcast and a light rain began to fall.::天空阴云密布，并下起了小雨。
overcome	,ovɚ'kʌm	əʊvə'kʌm	v::克服；胜过	overcome difficulties::克服困难；战胜困难	He struggled to overcome his shyness.::他努力克服自己的羞怯。¦Her financial problems could no longer be overcome.::她的经济困难再也无法解决。
overcrowd	,əuvə'kraud	əʊvə'kraʊd	v::使过度拥挤；把…塞得过满		Do not overcrowd the fish.::不要过度拥挤的鱼。
overdo	'ovɚ'dʊ	əʊvə'duː	v::把…做得过分；使过于疲劳；对…表演过火；夸张		Analysts believe that worries about the economy are overdone.::分析人士认为对经济的担忧有些过火了。¦Use a few drawings and photographs, but don’t overdo it.::可使用一些图画和照片，但不要太多。
overdue	'ovɚ'dʊ	əʊvə'djuː	adj::过期的；迟到的；未兑的	overdue payment::逾期未支付款；过期付款¦overdue fine::滞纳金；过期罚金	an overdue gas bill::逾期未付的煤气账单¦The library books are overdue.::图书馆的书过期未还。¦The baby was a week overdue (= it was expected to be born a week ago ).::宝宝超过预产期有一周了。
overflow	,ovɚ'flo	əʊvə'fləʊ	v::溢出；泛滥；充溢¦n::充满，洋溢；泛滥；超值；溢值	buffer overflow::缓冲区溢出¦overflow valve::溢流阀¦overflow weir::溢流堰¦overflow with::充满着¦stack overflow::栈溢出；堆叠溢位；堆栈上限溢位¦overflow dam::溢流堰¦overflow tank::溢流罐¦overflow pipe::下导管，溢流管	The drains flooded and water overflowed down the main street.::下水道被淹，水溢到了大街上。¦The river had overflowed its banks.::河水漫堤了。
overgrown	,ovɚ'ɡron	əʊvə'grəʊn; 'əʊvəgrəʊn	adj::蔓生的；生长过快的¦v::生长过度（overgrow的过去分词）		a lawn with overgrown grass::杂草丛生的草地
overhear	,ovɚ'hɪr	əʊvə'hɪə	v::无意中听到；偷听		I overheard part of their conversation.::我碰巧听到了他们谈话的部分内容。¦I couldn’t help overhearing your argument.::我无意中听到了你们的争吵。
overlap	'ovəlæp	əʊvə'læp	n::重叠；重复¦v::部分重叠；部分的同时发生	overlap ratio::纵向重合度；重叠比¦overlap joint::搭接接头；重迭结合¦overlap region::重叠区；重叠区域	a large degree of overlap::很大程度上的重叠¦When the bag is folded, the bottom overlaps one side.::把包折叠起来时，其底部与一边就重合了。¦Overlap the slices carefully so there are no gaps.::把薄片小心地叠放在一起，那样就没有间隙。
