textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
support	sə'pɔrt	sə'pɔːt	v::支持¦n::支持	support oneself::◎养活自己¦support of::支持；赞助¦support for::对…的支持¦technical support::技术支持；技术援助¦support system::支援系统¦decision support::决策支持¦in support::adv. （军备）后备¦financial support::[经]财务支援，财政支援¦in support of::支持；拥护¦decision support system::决策支持系统；判定支援系统¦social support::社会支持¦policy support::政策倾斜，政策支持¦customer support::用户支持¦hydraulic support::液压支架¦support structure::支撑结构¦support team::支持团队；（英国地方教育当局任命的）流动代课教师组¦life support::生命保障；生命补给¦support group::支援团；摇滚音乐会的配角乐团¦support service::支持服务；辅助服务¦project support::项目支持；项目支持组	The bill was supported by a large majority in the Senate.::这项法案得到参议院绝大多数人的支持。¦We strongly support the peace process.::我们大力拥护和平进程。¦Local people have given us a lot of support in our campaign.::当地人对我们的活动给予了大力支持。
Picasso	pi'kæsəu	pi'kæsəu	::毕加索（西班牙画家）	pablo picasso::巴勃罗·毕加索，当代西方最有创造性和影响最深远的艺术家	The painter modeled his style after that of Picasso.::这位画家模仿毕加索的绘画风格。¦She claimed to be the greatest living fan of Picasso.::这位姑娘声称自己是活着的头号毕加索迷。
truck	trʌk	trʌk	n::卡车；货车	heavy truck::重型卡车¦dump truck::自动倾卸卡车¦truck driver::卡车司机¦light truck::轻型货车，轻型卡车；轻型载货汽车¦forklift truck::铲车；叉式举升车辆¦by truck::卡车装运；乘卡车¦truck tire::卡车轮胎；载重汽车轮胎¦garbage truck::垃圾车¦fork-lift truck::叉车，铲车¦truck scale::汽车衡；车重计量；地秤¦truck crane::卡车起重机¦pickup truck::敞蓬小型载货卡车¦lift truck::[机]升降运送车¦tow truck::n. 拖车；牵引车¦cement truck::n. 水泥汽车¦tank truck::油罐车；罐式车¦fire truck::救火车；消防车（等于fire engine）¦radial truck::向心卡车¦fork truck::叉车；叉式运货车¦fork lift truck::叉车，叉式装卸车；堆高机	a truck driver::卡车司机
rabbit	'ræbɪt	'ræbɪt	n::兔；野兔	rabbit hair::兔毛¦rabbit meat::兔肉¦rabbit on::唠叨，喋喋不休¦peter rabbit::彼得兔（卡通人物）¦rabbit food::生吃的蔬菜¦angora rabbit::安哥拉兔¦rabbit ears::兔耳（好奇凡事都想知道）；室内天线	The hound nips at a rabbit.::猎犬在野兔身后紧追不舍。
whose	huz	huːz	pron::谁的；（特指）那个人的		So who are your real friends and whose real friends are you?::而谁是你的真正的朋友，你又是谁的真正的朋友呢？¦That’s the man whose house has burned down. ＃::就是那个男人的房子被烧毁了。
attend	ə'tɛnd	ə'tend	v::出席；参加	attend a meeting::参加会议¦attend school::上学；去上学¦attend class::上课¦attend on::照料；侍候¦attend a lecture::听关于……的讲座；上课¦attend university::上大学¦attend by::伴着	Only 12 people attended the meeting.::只有12个人出席了会议。¦Please let us know if you are unable to attend.::如果不能出席，请通知我们。
valuable	ˈvæljuəbəl; ˈvæljə-	'væljʊəb(ə)l	adj::宝贵的；很有用的	valuable experience::宝贵的经验¦valuable information::有价值的情报¦most valuable player::最有价值球员；最优秀选手¦valuable consideration::n. 与受益价值相等的回报	a valuable painting::一幅名贵的画¦Their most valuable belongings were locked in a safe in the bedroom.::他们最值钱的财物锁在卧室保险箱里。¦Muriel has made a valuable contribution to our company’s success.::缪里尔为我们公司的成功做出了宝贵的贡献。
pink	pɪŋk	pɪŋk	adj::粉红色的¦n::粉红色	in the pink::非常健康；气色红润；精力充沛¦pale pink::浅桃红，苍桃红色¦light pink::淡粉红色¦pink colour::粉色；铬锡红；桃红¦hot pink::桃红色；艳粉色；亮粉¦pink rose::粉红玫瑰；玫瑰彩红麻¦tickle someone pink::[俚语]使某人很高兴¦pink of perfection::十全十美，完美无缺¦pink champagne::玫瑰香槟酒¦pink slip::解雇通知书¦the pink of health::身体很健康，很健壮¦salmon pink::橙红色；浅橙色¦rose pink::淡粉红色¦pink gold::金银铜镍装饰合金¦pink salmon::细鳞大麻哈鱼；粉鲑¦pink elephants::幻觉；不可能的事；离奇的事¦pink noise::粉红噪声，红噪声；格达声噪声	Hannah’s face went pink.::汉娜的脸上泛起了红晕。¦Her room was decorated in bright pinks and purples.::她的房间装饰成明亮的粉红色和紫色。
picnic	'pɪknɪk	'pɪknɪk	n::野餐	have a picnic::去野餐；举行野餐¦no picnic::不容易¦go on a picnic::去野餐，去野炊¦picnic basket::野餐篮¦picnic lunch::便当，野餐¦picnic area::n. 野餐区	We decided to have a picnic down by the lake.::我们决定在湖边野餐。¦a picnic table::野餐桌¦There is free parking for visitors, as well as a restaurant and picnic area (= a special area with tables where people can have a picnic ) .::除了餐厅和野餐区，我们还为游客提供免费停车位。
somebody	'sʌmbədi	'sʌmbədɪ	pron::某人，有人；重要人物	somebody else::别人¦or somebody::诸如此类的人¦somebody up there::上帝，神	There’s somebody waiting to see you.::有人等着要见你。¦Somebody’s car alarm kept me awake all night.::不知谁的汽车警报器吵得我整晚都无法入睡。¦‘Who can we get to babysit?’ ‘I’ll call Suzie or somebody .’::“我们能请谁来看小孩呢？”“我会叫苏齐或别的什么人。”¦She was the first teacher who’d made Paul feel like he was somebody. ＃::她是第一位让保罗觉得自己还有所作为的老师。
anybody	'ɛnɪbɑdi	'enɪbɒdɪ	pron::任何人	anybody else::n. 别人¦if anybody::要是有这样的人，如果有(符合这种要求的)人，倘若(或假如)有谁的话	You should have a try, don't swallow anybody.::不要轻信任何人，你得亲自去试一试。¦She swore me not to tell anybody about my secret.::她向我发誓不把我的秘密告诉任何人。¦We shouldn't slight anybody even if he's a nobody.::我们不应该轻视任何人，即使他是一个小人物。
noise	nɔɪz	nɔɪz	n::声音；噪音	low noise::低噪声，低噪声的¦noise reduction::噪声降低，噪声消减¦noise ratio::噪声比¦noise control::噪声控制¦white noise::白噪声（用以掩盖令人心烦的杂音）¦traffic noise::交通噪音，交通噪声¦noise level::噪声级；噪声电平¦signal to noise ratio::信噪比，信号噪声比¦background noise::背景噪声¦big noise::有影响的人，名人；耸人听闻的声明¦phase noise::相位噪声¦random noise::随机噪声；不规则噪声¦environmental noise::环境噪声¦gaussian noise::高斯噪声¦make a noise::吵闹，喧哗；成为众人谈论或注意的对象¦noise elimination::消声；噪声消除¦noise suppression::噪声抑制¦ambient noise::环境噪声¦impulse noise::脉冲噪声，冲激噪声¦additive noise::相加噪声	What’s that noise?::那是什么声音？¦Try not to make a noise when you go upstairs.::上楼时尽量不要弄出声。¦There was a lot of noise outside.::外面很吵闹。¦Noise levels have been reduced by 20%.::噪音水平下降了20%。
policeman	pə'lismən	pə'liːsmən	n::男警察	traffic policeman::n. 交通警察	He tried to corrupt the policeman with money.::他设法用金钱向警察行贿。¦The thief withered under the stare of the policeman.::小偷在警察的逼视下显得惶恐不安。¦I think he must be a policeman, he keeps fishing for information.::我想他肯定是警察，他不断地转弯抹角地打听消息。
wolf	wʊlf	wʊlf	n::狼	the big bad wolf::n. 大坏蛋；令人恐怖的人或事¦lone wolf::独来独往的人；单独行动者¦grey wolf::大灰狼；苍狼（产于欧亚大陆和北美）¦wolf down::v. 狼吞虎咽地吃¦sea wolf::n. 海盗；狼鱼¦cry wolf::发假警报；谎报军情	a pack of wolves::一群狼
laboratory	ˈlæbrəˌtɔrɪ	ləˈbɒrətrɪ	n::实验室	laboratory test::实验试验¦laboratory equipment::实验室设备；实验室仪器¦laboratory experiment::室内试验；实验室实验¦clinical laboratory::检验科¦research laboratory::研究工作实验室¦laboratory scale::实验室规模¦laboratory data::实验数据；实验室资料¦laboratory animal::试验动物¦testing laboratory::测试实验室¦chemical laboratory::化学试验室¦laboratory examination::n. 实验室试验¦laboratory building::实验楼¦language laboratory::语言实验室¦laboratory system::实验室系统¦laboratory furniture::实验台；实验室设备¦science laboratory::科学实验室；自然实验室¦laboratory apparatus::实验仪器装置¦laboratory animal science::实验动物学¦analytical laboratory::分析试验室¦laboratory technician::化验员；实验室技师	a research laboratory::研究实验室¦tests on laboratory animals::在实验室动物身上做的试验
coat	kot	kəʊt	n::外套；外衣	fur coat::皮毛大衣¦red coat::金线鱼¦black coat::牧师， 教士¦seed coat::种皮¦blue coat::穿蓝制服的¦coat of paint::漆皮；涂漆层¦top coat::轻薄大衣；表面涂层¦thin coat::薄膜¦coat pocket::衣袋¦mink coat::貂皮大衣¦coat of arms::n. 盾徽；盾形纹章¦zinc coat::镀锌；镀锌层¦winter coat::冬衣¦base coat::底漆；打底层；中间涂层¦powder coat::粉末喷涂；粉末敷涂¦dust coat::风衣；粉涂¦surface coat::表被；表面层；表面外膜¦coat hanger::衣架；挂衣钩¦brown coat::二道墁扶，二道抹灰¦gel coat::胶衣，凝胶涂层；凝胶漆	Billy! Put your coat on, it’s cold outside!::比利！穿上外套，外面很冷！¦The kids took off their coats and threw them on the floor.::孩子们脱下外套扔在地板上。¦I need a new winter coat.::我需要一件新的冬衣。¦The lab assistants wear long white coats.::实验室助手穿着白色的长外套。
sleepy	'slipi	'sliːpɪ	adj::困倦的；瞌睡的	feel sleepy::困倦；昏昏欲睡	The warmth from the fire made her feel sleepy.::暖洋洋的炉火使她昏昏欲睡。
pocket	'pɑkɪt	'pɒkɪt	n::衣袋；口袋	in the pocket::[美国俚语](吸毒时)处于心醉神迷的佳境中¦pocket money::零用钱¦back pocket::后兜¦pocket pc::掌上电脑；袖珍型电脑¦coat pocket::衣袋¦out of pocket::赔钱的；白花钱的¦pocket watch::怀表；表袋¦pocket book::小笔记簿¦in pocket::赚钱；赢钱¦pocket knife::小折刀¦air pocket::气穴；（大气中使汽机突然下跌的）气陷¦breast pocket::n. 小袋，胸袋¦pocket flap::袋盖¦line one's pockets::赚大钱；肥私囊¦zipper pocket::拉链口袋¦door pocket::门套；门袋¦side pocket::横袋；大袋¦pocket calculator::袖珍计算器；便携式计算器¦deep pocket::资产；财富，财源¦filter pocket::滤袋	Luke came in with his hands in his pockets.::卢克走了进来，双手插在口袋里。¦The policeman told me to turn out my pockets (= take everything out of them ) .::警察让我把口袋里的东西都掏出来。
alien	ˈeliən,ˈeljən	'eɪlɪən	n::外星人；外侨，外国人	alien from::相异的	alien beings from another planet::来自另一个行星的外星生物¦illegal aliens entering the country.::非法入境的外国人
suit	sut	sju:t; su:t	n::西服；套装	suit oneself::随自己的意愿做事¦a suit of::一套¦follow suit::跟着做；学样¦bathing suit::泳衣¦business suit::西装¦civil suit::民事诉讼¦birthday suit::[口]裸体¦law suit::向法院提出的诉讼¦strong suit::特长；一手同花大牌；长套¦suit yourself::随你便；按自己的意愿行事¦diving suit::潜水衣¦space suit::航天服¦chinese tunic suit::中山装；中山服¦tang suit::唐装¦bring a suit against::控告，对…提起诉讼¦track suit::n. 径赛服；田径服¦following suit::跟牌¦long suit::n. 长处；长牌¦three-piece suit::三件套¦ski suit::滑雪服	a grey lightweight suit::轻薄灰色套装¦a business suit::商务套装¦a tweed suit::粗花呢套装¦She was wearing a black trouser suit.::她穿着一套黑色裤装。
express	ɪk'sprɛs	ɪk'spres; ek-	v::表示；表达	express oneself::表达自己的思想¦express delivery::快递，限时专送¦express way::高速公路；快车道¦american express::美国运通（财富500强公司之一，总部所在地美国）¦express mail::快信¦express highway::高速公路，快速公路¦express train::特别快车，特快列车¦express yourself::表达自己的思想；表现自我¦express or implied::明示或默示；明订或默示¦express company::快递公司¦people express::美国人民捷运航空公司¦by express::通过快递¦express service::快递服务¦air express::（美）航空快递邮包；空运包裹¦express gratitude::表达感谢¦daily express::每日快报¦express mail service::特快专递¦federal express::联邦快递，美国联邦快递公司¦orient express::东方快车¦express concern::表达关注	Parents have expressed their concerns about their children’s safety.::父母对自己孩子的安全表示忧虑。¦She expressed an interest in seeing York.::她表示有兴趣见见约克。¦Many people have expressed their opposition to the proposals.::许多人反对这些提议。¦He first learnt to express himself through movement at hisdance classes.::他最初是在舞蹈班学会通过动作表达情感的。¦Words can’t express (= it is impossible to describe ) how angry we felt.::我们的愤怒无以言表。
not only … but also			::不但...而且		Yes, I can play not only the piano but also the guitar.::会的，我不仅会弹钢琴，还会弹吉他。
circle	'sɝkl	'sɜːk(ə)l	n::圆圈¦v::圈出	in circles::毫无进展，兜圈子¦vicious circle::恶性循环；循环论证法¦economic circle::经济圈；经济周期¦in a circle::成圆圈¦business circle::商界，企业界¦virtuous circle::良性循环¦circle around::环绕四周¦circle of friends::朋友圈；友谊圈的建立¦life circle::生活圈；循环生活；生活周期¦arctic circle::北极圈¦inner circle::核心集团¦small circle::小圆；小回环¦circle of life::生生不息（《狮子王》主题曲）¦full circle::绕圈子地；整圆¦come full circle::兜了个圈回到原地¦perfect circle::完整的圆圈；正圆¦draw a circle::画一个圆¦great circle::大圆；大圆弧¦circle round::环绕；盘旋¦unit circle::单位圆	Draw a circle 10cm in diameter.::画一个直径10厘米的圆形。¦Cut the pastry into circles.::将油酥面团切成圆形。¦Circle the correct answer. ＃::圈出正确的答案。
Britain	'brɪtn	'brɪt(ə)n	n::( Great Britain) 大不列颠	great britain::英国¦battle of britain::不列颠之战（1940年7至10月英德空军的一系列战斗）；伦敦上空的鹰（电影名称）	This is the stud  naturalized from Britain.::这是从不列颠引进的种马。¦England, Scotland and Wales compose the island of Great Britain.::英格兰、苏格兰和威尔士组成大不列颠岛国。
receive	rɪ'siv	rɪ'siːv	v::接受；收到		All the children will receive a small gift.::每个孩子都会收到一份小礼物。¦Lee received 324 votes (= 324 people voted for him ) .::李得到324票。
leader	'lidɚ	'liːdə	n::领导；领袖	market leader::市场领袖¦team leader::组长；团队领导¦group leader::组长；车间班长；团体领袖¦spiritual leader::n. 精神领袖¦political leader::政治领袖¦project leader::项目领导¦community leader::社区领导者；社区领袖；社团建设者；社会活动家¦squad leader::班长；小队长¦majority leader::多数党领袖¦district leader::【美国政治】州议会议员选区的政党领导人¦democratic leader::民主的领导¦excellent leader::优秀干部；优秀领导¦class leader::班长¦platoon leader::n. 排长¦minority leader::少数党领袖¦leader of the opposition::反对派领袖；反对党领导¦floor leader::（美）议会中的政党领袖¦opinion leader::意见领袖；舆论领袖¦loss leader::为招揽顾客而削本出售的商品¦brand leader::畅销品牌	the largest ever gathering of world leaders::全世界领导人史无前例的大聚会
midsummer	,mɪd'sʌmɚ	mɪd'sʌmə	n::仲夏；中夏	a midsummer night's dream::仲夏夜之梦（威廉·莎士比亚的喜剧作品）¦midsummer day::施洗约翰节（每年6月24日）	a perfect midsummer afternoon::美好的仲夏午后
medical	'mɛdɪkl	'medɪk(ə)l	adj::医疗的；医学的	medical treatment::治疗，医疗¦medical equipment::医疗设备；医疗器材¦medical service::医疗服务¦medical care::医疗护理¦medical science::医学科学¦medical college::医学院¦medical insurance::医疗保险¦medical university::医科大学¦medical school::医学院；医学专科学校¦medical staff::医务人员¦medical research::医学研究；医疗研究¦medical ethics::医德；医学伦理学¦medical record::病历卡；病史档案¦medical device::医疗设备；医疗器材；人体医疗配件¦medical technology::医学技术，医疗技术；医学检验¦medical practice::医疗实践¦medical examination::体格检查，健康检查¦medical association::医学会；医疗协会¦medical instruments::医疗仪器；医学器具¦medical apparatus::医疗器械，医疗设备	medical research::医学研究¦medical staff::医务人员¦a medical student::医科学生¦a patient’s medical history::患者的病史
prevent	pri'vɛnt	prɪ'vent	v::阻止；阻挠	prevent from::阻止，制止；妨碍¦prevent and control pollution::防治污染；预防和控制污染	The rules are intended to prevent accidents.::这些规定旨在预防事故。¦We were prevented from entering the site.::我们被阻止进入现场。¦Wrap small ornaments in paper to prevent them being damaged.::把小饰品用纸包上以免损坏。
energy	'ɛnɚdʒi	'enədʒɪ	n::精力，力量	energy consumption::[化]能量损耗¦energy saving::节能，能源节省¦energy conservation::能量守恒；能源节约¦solar energy::太阳能¦new energy::新能源¦high energy::高能量；高能率¦energy efficiency::能源效率；能量效率¦low energy::低能的；低能量¦save energy::节约能源¦renewable energy::再生能源；可更新能源¦electric energy::电能¦potential energy::势能¦energy dissipation::能量耗散¦energy source::安瑞索思（公司名称）¦clean energy::清洁能源¦energy storage::蓄能；能量储存；储能器¦kinetic energy::[物]动能¦heat energy::热能¦energy industry::能源产业，能源工业¦activation energy::[物化]活化能	Where do those kids get their energy from?::那些孩子哪来这么多精力？¦Are you suffering from a lack of energy?::你是不是觉得精力不足？¦The city is full of creative energy.::这座城市充满了创造力。¦I really put a lot of energy into what I do.::我做起事来总是投入很大精力。¦He wants to conserve his energy for next week’s game (= use as little energy as possible now, so that you have more energy to use later ).::他想为下周的比赛保存体力。
position	pə'zɪʃən	pə'zɪʃ(ə)n	n::位置；地方	leading position::基础地位；首要地位¦geographical position::地理位置¦in position::就位；在适当的位置；在原位¦pole position::起始领先位置；跑道内圈¦market position::市场地位；市场定位¦in a position to::能够，可以¦position control::位置控制¦strategic position::战略地位；策略位置¦relative position::相对位置¦body position::体位¦key position::关键部位，要害部位；位置关键帧¦high position::高位，指重要位置；领导地位（身份）¦financial position::财务状况¦current position::目前位置，当前位置；流动财务状况¦social position::社会地位¦in the position of::处在…位置上¦position error::位置误差¦special position::特殊位置；特殊版面；特殊版位¦original position::原初状态；初始位置¦invincible position::不败之地	Our hotel was in a superb central position near St Mark’s Square.::我们的酒店处于极佳的中心位置，在圣马克广场附近。¦the strategic position (= useful or important position ) of Egypt in relation to the Arabian peninsula::埃及相对于阿拉伯半岛的战略位置
burial	'bɛrɪəl	'berɪəl	n::埋葬；安葬	burial depth::埋深，埋藏深度¦burial ground::坟地；废物埋藏场	The priest prepared the body for burial.::牧师为尸体做好了下葬的准备。
honor	ɑnɚ	ˈɒnə(r)	n::( honour) 尊重；表示敬意；荣幸	great honor::无上的荣誉，殊荣¦in honor::为了纪念；向…表示敬意¦in honor of::向…致敬，向…表示敬意；为庆祝…¦have the honor::荣幸地；有幸地¦your honor::阁下；您（对他人的敬称）¦sense of honor::荣誉感¦medal of honor::荣誉勋章¦congressional medal of honor::国会荣誉勋章¦guest of honor::贵宾¦honor roll::中小学优等学生名单¦honor system::荣誉制度¦maid of honor::女傧相；宫女¦honor guard::仪仗队；仪队兵¦word of honor::诺言¦do honor::尊敬对人	The stadium was named in honor of the club’s first chairman.::该体育馆以俱乐部的第一任主席命名以示纪念。¦It is an honor to have you here, sir.::先生，大驾光临，深感荣幸。
ancestor	'ænsɛstɚ	'ænsestə	n::祖宗；祖先	ancestor worship::祖先崇拜；祭祖；敬奉祖先	My ancestors were French.::我的祖先是法国人。
victory	'vɪktəri	'vɪkt(ə)rɪ	n::胜利；成功	victory over::战胜¦win victory::赢得胜利¦landslide victory::以绝对优势取得胜利¦narrow victory::险胜¦pyrrhic victory::付出极大代价而获得的胜利	Union leaders are heading for victory in their battle over workplace rights.::工会领袖们在争取工作场所权利的斗争中正迈向胜利。
enemy	'ɛnəmi	'enəmɪ	n::敌人；仇人	natural enemy::天敌¦behind enemy lines::深入敌后（影片名称）¦public enemy::公敌；要犯¦sworn enemy::n. 不共戴天的敌仇	She’s a dangerous enemy to have.::与她为敌很危险。¦Cats and dogs have always been natural enemies.::猫和狗向来是天敌。¦an old enemy of her father::她父亲的一个宿敌¦the unforgettable sight of the president shaking hands with his sworn enemy::董事长与其死敌握手的难忘情景¦I wouldn’t wish this on my worst enemy.::即使是我的死对头，我也不愿看到他发生这样的事情。
period	'pɪrɪəd	'pɪərɪəd	n::一段时间；时期	period of time::一段时间；时段¦long period::长期的；长周期¦short period::adj. 短周期的；短过期的¦transition period::过渡时期¦construction period::施工期¦time period::时期，期间¦development period::n. 发展期；发育期；开发期¦of the period::当时¦growth period::生长期；成长期；发育期¦spring and autumn period::春秋时代¦warring states period::战国时代¦corresponding period::同期¦in period::在周期内¦production period::生产周期；生产期¦storage period::保藏期，储存期；贮藏期；蓄水期¦initial period::初始期¦operation period::经营期限¦first period::比赛的第一节¦current period::[经]本期¦peak period::波峰周期；尖峰期	Tomorrow’s weather will be dry with sunny periods.::明天天气干燥，间或晴朗。¦The drug was tested over a five-week period.::那种药品进行了为期五周的试验。¦They adopted the system for a trial period (= time in which something is tested to see if it works well ) .::那套系统他们试用了一段时间。
mystery	ˈmɪstri	ˈmɪstri	n::奥秘；神秘事物	murder mystery::谋杀之谜	Twenty years after the event, his death remains a mystery .::事情过去二十年了，他的死仍然是个谜。¦The way her mind worked was always a mystery to him.::她脑子里在想些什么对他来说始终是个谜。¦‘Why did he do it?’ ‘I don’t know. It’s a complete mystery .’::“他为什么这么做？” “我不知道，这完全是个谜。”¦The police never solved the mystery of Gray’s disappearance.::警察一直没有侦破格雷失踪的谜案。¦But why would anyone want to kill Jack? The mystery deepened .::但为什么会有人想杀死杰克呢？疑团越来越深了。¦What happened to the paintings after that is an unsolved mystery .::后来那些画的命运如何是个不解之谜。¦I don’t know how he got the job – it’s one of life’s little mysteries .::我不知道他是怎么得到那份工作的——那永远是个小小的谜。¦How life began on Earth is one of the great mysteries of science.::地球生命的起源是一大科学谜团。
Stonehenge	,ston'hɛndʒ	,stəʊn'hendʒ	::巨石阵		It will completely change the way we think about the landscape around Stonehenge.::它将彻底改变我们对巨石阵周围风景的认识方法。¦For instance, you don't just see a long, flat picture of Stonehenge or the Grand Canal in Venice.::举例来讲，你不仅可以看到巨石阵或威尼斯大运河的一张长长的二维图片。¦You need to understand that Stonehenge is in Crop Circle Country, and that there have been significant Crop Circles in fields right opposite the Henge.::你必须知道巨石阵坐落在麦田圈泛滥的国家，而且那里一直有着具有重大意义的麦田圈，正好就在巨石阵的正对面。
Carla			::卡拉（女名）		Thank you so much, Carla, and thanks for your leadership in this undertaking as well as so much else.::非常感谢，卡拉，谢谢你在这项事业和其他众多事务中发挥的领导作用。¦"The unauthorized use of the image of Carla Bruni caused her moral and economic damage," a court in the island capital Saint Denis de la Reunion said on Thursday.::在该岛首府圣丹尼斯日留尼汪的法院周四表示这代表了“未经授权使用卡拉布鲁尼的图片，在道德名誉和经济上对她造成的损失 ”。
J. K. Rowling			::J. K. 罗琳（英国作家）		
Victor	'vɪktɚ	'vɪktə	::维克托（男名）	victor hugo::维克多雨果（法国小说家）	
Jean		dʒiːn	::琼（女名）	jean baudrillard::n. 让·鲍德里亚（法国哲学家）	Jean knew the only way to be content without her husband's love was to seek an expression of love from God.::琼知道，在没有丈夫的爱的情况下也能得到满足的唯一方式就是寻求上帝表达对她的爱。
Paul Stoker			::保罗 • 斯托克		
prefer	prɪ'fɝ	prɪ'fɜː	v::更喜欢	would prefer::宁愿；更喜欢¦prefer to do::宁可做某事；更喜欢做某事¦prefer doing::喜欢做某事	This type of owl prefers a desert habitat.::这种猫头鹰更喜欢沙漠的生活环境。¦She prefers her coffee black.::她更喜欢喝黑咖啡。¦the government’s preferred option::政府倾向的选择¦Employees said they would prefer more flexible working hours.::员工们说他们希望有更具弹性的工作时间。¦Or, if you prefer, you can email us.::或者，你喜欢的话，可以给我们发电子邮件。
lyrics	'lɪrɪks	'lɪrɪks	n::(pl) 歌词	lyric poetry::抒情诗	...Kurt Weill's Broadway opera with lyrics by Langston Hughes.::…由兰斯顿·休斯作词的库尔特·韦尔的百老汇歌剧。
Australian	ɑ'strelɪən		adj::澳大利亚的；澳大利亚人的¦n::澳大利亚人	australian national university::澳大利亚国立大学¦australian dollar::澳币¦australian shepherd::n. 澳大利亚牧羊犬；澳洲牧羊犬¦australian football::澳式足球¦australian aborigine::澳大利亚原住民	She went solo backpacking for eight months in the Australian outback.::她在澳大利亚内陆独自背包旅行了八个月。¦Whoever they are, they will never know that they are a blood brother or sister to an Australian! ＃::不管他们是谁，他们绝不会知道自己是一个澳大利亚人的血亲兄弟或姐妹。
electronic	ɪˌlɛkˈtrɑnɪk	ɪˌlekˈtrɒnɪk	adj::电子的；电子设备的	electronic commerce::电子商务¦electronic equipment::电子设备¦electronic control::电子控制¦electronic product::电子产品；电子设备制造业¦electronic industry::电子工业¦electronic circuit::电子线路，电子电路¦electronic engineering::n. 电子工程学¦electronic device::电子设施，电子器件；电子仪表¦electronic component::电子元件¦electronic ballast::电子镇流器；电子安定器¦scanning electronic microscope::扫描电子显微镜¦electronic control system::电子控制系统¦electronic structure::电子结构¦electronic map::电子地图；电子海图¦electronic computer::电子计算机；电脑¦electronic media::电子媒体；电子媒介¦electronic warfare::使用电脑控制之武器的战争，电子战争¦electronic document::电子文件¦electronic mail::n. 电子邮件¦electronic music::电子音乐	electronic games::电子游戏¦an electronic organizer (= a small piece of electronic equipment that you can use to record addresses, phone numbers etc )::电子记事本
suppose	sə'poz	sə'pəʊz	v::推断；料想		There were many more deaths than was first supposed.::死亡人数远远超过最初的预料。¦There’s no reason to suppose (= it is unlikely that ) he’s lying.::没有理由认为他在说谎。
smooth	smʊð	smuːð	adj::平滑的；悦耳的	smooth muscle::平滑肌¦smooth surface::光滑表面；光滑面；平滑面¦smooth operation::正常运转；平稳运转，稳定运转¦smooth blasting::光面爆破；平稳爆破¦smooth running::平稳运行¦smooth transition::顺利过渡，平稳过渡¦smooth flow::平滑流；连续流；平滑怜；平稳流动¦smooth finish::光洁度；光面精整；光泽装饰¦smooth over::消除；缓和；减轻¦smooth out::消除；使平滑¦smooth sailing::一帆风顺¦smooth texture::纤维素；细腻组织，均匀组织¦smooth and steady::安稳的，平稳的¦smooth line::平滑线；均匀分布参数线路¦smooth away::消除；解决；克服¦smooth face::讨好的面孔；磨面¦piecewise smooth::分段光滑；分段光滑的¦smooth endoplasmic reticulum::光滑型内质网	Her skin felt smooth and cool.::她的皮肤摸上去又滑又凉。¦a smooth pebble::光滑的卵石¦The stone steps had been worn smooth .::石阶被磨得光溜溜的了。¦He has one of those silky smooth (= very smooth ) voices.::他的嗓音柔和圆润。
spare	spɛr	speə	adj::空闲的；不用的	spare oneself::偷懒¦spare time::n. 消遣时间¦spare part::备件¦spare no effort::不遗余力；抽出；宽容；节省¦spare no pains::不遗余力，全力以赴¦in his spare time::在他闲暇的时候；在他业余时间里¦spare change::零钱¦spare tire::备用轮胎¦spare capacity::备用容量；闲置的生产能力¦spare cash::闲钱；余款¦spare money::余款¦spare wheel::备胎，备用轮胎¦hot spare::热后备；热备件¦spare no expense::不惜工本；不惜费用¦go spare::[英国口语]十分恼火；很担心¦spare parts list::备件单，备用零件清单¦spare tyre::备用轮胎；肥膘	Have you got any spare boxes?::你有没有多余的盒子？¦You could sleep in the spare bedroom.::你可以睡那间空着的客房。¦Do you have any spare cash?::你手头有闲钱吗？¦I’ll go and see if there are any spare seats.::我去看看是否还有空余的座位。¦A decline in beer sales had left the industry with spare capacity (= the ability to produce more than can be sold ) .::啤酒销售量的下降使该行业出现产能闲置。
case	kes	keɪs	n::情况；实情	in case::conj. 万一；假使¦in the case of::至于，在…的情况下¦in case of::万一；如果发生；假设¦in this case::既然这样，假若这样¦case study::个案研究；案例研究¦in any case::无论如何¦in that case::既然那样¦case analysis::个案分析；格分析¦just in case::以防万一¦in some case::在某种情况下¦special case::特例，特殊情况¦in no case::决不¦particular case::特例；特定情况¦test case::[律]判例案件¦case history::n. 病历；个案史¦case in point::恰当的例子¦criminal case::[法]刑事案件，刑事案¦in each case::在不同情况下¦case report::个案报告；[医]病案报告¦use case::使用案例；使用实例	We tend to think of these people as untrustworthy, but that is not the case.::我们往往会认为这些人不可靠，但事实并非如此。
in that case			::既然那样；假使那样的话		‘He didn’t want to talk to Sally.’ ‘In that case why did he agree to meet her?’::“他不想和萨莉说话。”“既然那样，为什么他还同意和她见面？”
