abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
tribute	'trɪbjut	'trɪbjuːt	n:: 贡品； 颂词， 称赞； 礼物::something that you say, do, or give in order to express your respect or admiration for someone	pay tribute::致敬；朝贡	The players wore black armbands as a tribute to their late teammate.::球员们戴着黑纱悼念已故的队友。¦I’d like to pay tribute to (= praise and admire publicly ) the party workers for all their hard work.::我谨向党内工作人员致敬，感谢他们的辛苦努力。	n::礼物；[税收]贡物；颂词::gift, giving, present			 tribut(给予) + e → 给予(皇室)的东西 → 贡品			
endanger	ɪn'dendʒɚ	ɪn'deɪndʒə(r)	vt:: 危及， 危害::to put someone or something in danger of being hurt, damaged, or destroyed		Smoking during pregnancy endangers your baby’s life.::孕期吸烟会危及胎儿生命。	vt::危及；使遭到危险::jeopard, imperil	adj::endangered:: 濒临灭绝的；有生命危险的¦n::endangerment:: 危害，受到危害		 en(使…) + danger(危险) → 危及			
stem	stɛm	stem	n::茎；干；词干::the long thin part of a plant, from which leaves, flowers, or fruit grow¦vt:: 止住， 抑止， 堵住， 阻止::to stop something from happening, spreading, or developing	stem cell::干细胞，骨髓干细胞¦stem from::起源于¦brain stem::脑干¦drill stem::钻柱；钻杆；钻具¦main stem::[美俚]干线；主街¦valve stem::【机】阀杆¦from stem to stern::完全；从头到尾¦stem rust::杆锈；茎锈病¦hemopoietic stem cell::造血干细胞¦stem borer::蛀茎虫；天牛；蔗螟；茶天牛¦rising stem::升杆¦stem seal::阀杆密封；芯轴密封	long-stemmed wine glasses::高脚酒杯	n::干；[植]茎；船首；血统::birth, blood, stock¦vt::阻止；除去…的茎；给…装柄::block, dispute, prohibit, discourage¦vi::阻止；起源于某事物；逆行::prevent from, head off	adj::stemmed:: 去掉茎或梗的；有茎或梗的；装有…柄的¦adj::stemless:: 无茎的；无梗的¦n::stemmer:: 抽梗机，除梗器；抽梗工人¦v::stemmed:: 起源于（stem的过去分词形式）；除去…的茎；给（假花等）装梗					
simplistic	sɪm'plɪstɪk	sɪm'plɪstɪk	adj:: 过分单纯化的， 过分简单化的::treating difficult subjects in a way that is too simple		This is a very simplistic approach to the problem.::这应该对该问题过分简单化的处理办法。							
subordinate	səˈbɔːdɪnɪt (for n. &adj.) ; səˈbɔːdɪˌnet (for v.)	sə'bɔːdɪnət	adj:: 下级的； 次要的::in a less important position than someone else¦n::下属::someone who has a lower position and less authority than someone else in an organization¦vt:: 使处于次要地位， 把…列在下级； 使服从::to put someone or something in a less important position	subordinate body::下属机构；附属机构¦subordinate clause::从句¦subordinate staff::下属人员；从属人员	a subordinate officer::下级官员	n::下属，下级；部属，属下::inferior, underling¦adj::从属的；次要的::dependent, secondary, supporting, minor, peripheral	adj::submissive:: 顺从的；服从的；柔顺的¦adj::subordinating:: 连接主句和从句的；从属的¦adj::subordinative:: 表示从属关系的；从属的¦n::submission:: 投降；提交（物）；服从；（向法官提出的）意见；谦恭¦n::subordination:: 从属；附属；主从关系¦n::submissiveness:: 柔顺；服从¦n::subordinateness:: 下属¦v::subordinating:: 使服从（subordinate的ing形式）；使成为下级¦vi::submit:: 提交；服从¦vt::submit:: 使服从；主张；呈递		 sub(在…下面) + ordin(顺序) + ate → 顺序在下 → 次要的			
trend	trɛnd	trend	vi:: 伸向； 倾向::¦n::倾向；趋势；流行，时尚::a general tendency in the way a situation is changing or developing	market trend::市场趋势；市场趋向¦general trend::一般趋势¦trend analysis::趋势分析¦trend towards::vt. 趋向（倾向）¦downward trend::向下趋势，下跌趋势¦follow the trend::跟随时尚¦economic trend::[经]经济趋势¦trend line::趋势线；走向线；瞧直线¦common trend::共同趋势；总趋向，总走向¦linear trend::线性趋势¦sales trend::销售趋势；销售动向¦trend growth::趋势增长¦buck the trend::反潮流¦trend analysis method::趋势分析法¦trend growth rate::趋势增长率¦trend test::趋势检验；趋向试验¦secular trend::长期趋势	The current trend is towards more part-time employment.::当前的趋势是雇用更多的兼职人员。¦the general trend towards the centralization of political power::政治权力集中化的普遍趋势¦A disturbing trend is that victims of violence are getting younger.::一个令人担心的趋势是，暴力行为的受害者越来越年轻。¦The growing trend is for single mothers to bring up children by themselves.::单身母亲独自抚养孩子的趋势在上升。¦Even so, the underlying trend is positive.::尽管如此，基本趋势仍是乐观的。¦national and international economic trends::国内和国际的经济趋势¦the downward trend in the price of gold::黄金价格的下滑势头¦Successive presidents have tried to reverse this trend , but without success.::连续几任总统都试图扭转这一趋势，但均未成功。	n::[统计]趋势，倾向；[地质]走向::tendency, tide, direction, liability, set¦vi::趋向，伸向::verge on, tend towards			 tend(倾向)加r还是倾向(trend)			
requisition	'rɛkwə'zɪʃən	ˌrekwɪ'zɪʃn	n&vt:: 正式要求； 征用::if someone in authority, especially the army, requisitions a building, vehicle, or food, they officially demand to have it during an  emergency  such as a war	purchase requisition::请购单¦requisition form::请购单¦purchasing requisition::采购申请，进货申请书；请购单	The building was requisitioned as a military hospital for the duration of the war.::这座大楼在战争期间被征用为军用医院。	n::征用；要求；[法]申请书；引渡要求::do, desire, need, demand¦vt::征用；申请领取::commandeer, expropriate	adj::requisite:: 必备的，必不可少的；需要的¦n::requisite:: 必需品					
achievement	ə'tʃivmənt	ə'tʃiːvmənt	n:: 成就， 成绩； 达到， 完成， 实现::something important that you succeed in doing by your own efforts	outstanding achievement::业绩；杰出成就¦academic achievement::学业成就；学业成绩¦achievement motivation::成就动机¦lifetime achievement::终身成就¦school achievement::学业成绩¦achievement test::n. 成绩测验¦need for achievement::成就感需要	His great achievement is to make all the players into a united team.::他的伟大成就在于把所有选手组织成一支团结的队伍。	n::成就；完成；达到::effort, completion, success, execution, accomplishment	adj::achievable:: 可完成的；可有成就的；做得成的¦vi::achieve:: 达到目的；如愿以偿¦vt::achieve:: 达到；完成		来自achieve(v. 达到， 完成)			
mechanic	mə'kænɪk	mə'kænɪk	n:: 机修工； [-s] 力学， 机械学::someone who is skilled at repairing motor vehicles and machinery	mechanic design::机械设计¦car mechanic::n. 汽车修理师	a garage mechanic::汽车修理厂的技工	n::[劳经]技工，机修工::servicemen, technical worker¦adj::手工的::manual, handmade	adj::mechanical:: 机械的；力学的；呆板的；无意识的；手工操作的¦adv::mechanically:: 机械地；呆板地；物理上地		 mechan(机械) + ic → 机修工			
itinerary	aɪ'tɪnərɛri	aɪ'tɪnərəri	n:: 行程表； 旅行路线， 旅行计划::a plan or list of the places you will visit on a journey		The next place on our itinerary was Sedona.::我们旅行计划的下一站是塞多纳。	n::路线，旅程；旅行指南::line, route, thread¦adj::旅程的；巡回的::road	adj::itinerant:: 巡回的；流动的¦n::itinerant:: 巡回者；行商¦n::itineration:: 巡回；巡回传教¦vi::itinerate:: 巡回；巡回传教		 it(走) + iner + ary → 行走 → 旅行路线			
revolution	'rɛvə'lʊʃən	ˌrevə'luːʃn	n:: 革命； 巨变， 大变革::a complete change in ways of thinking, methods of working etc	cultural revolution::文化大革命¦chinese revolution::辛亥革命¦industrial revolution::工业革命，产业革命¦democratic revolution::民主革命¦technological revolution::科技革命；[经]工业技术革命¦french revolution::法国大革命¦green revolution::绿色革命；环保革命¦american revolution::美国独立战争¦october revolution::俄国十月革命¦scientific revolution::科学革命¦social revolution::社会革命¦russian revolution::俄国革命（指发生于1917年的二月革命或十月革命）¦agrarian revolution::农业革命¦period of revolution::回转周期；公转周期¦complete revolution::整转；公转；周转¦glorious revolution::光荣革命¦great proletarian cultural revolution::文化大革命¦computer revolution::计算机革命（通过计算机的发展实现以信息革命为中心的社会变革）¦sexual revolution::性革命；性爱革命¦body of revolution::回转体；旋转体	the French Revolution of 1789::1789年法国大革命	n::革命；[物]旋转；运行；循环::circulation, rotation, rolling, turning, cycle	adj::revolutionary:: 革命的；旋转的；大变革的¦adj::revolved:: 旋转的¦adj::revolutionist:: 革命家的¦n::revolve:: 旋转；循环；旋转舞台¦n::revolutionary:: 革命者¦n::revolver:: 左轮手枪；旋转器¦n::revolved:: 旋转曲面；回转面；转体¦n::revolutionism:: 鼓吹革命；从事革命¦n::revolutionist:: 革命家¦v::revolved:: 旋转（revolve的过去式，过去分词）¦vi::revolve:: 旋转；循环出现；反复考虑¦vi::revolutionize:: 革命化；从事革命¦vi::revolutionise:: 彻底改变（等于revolutionize）¦vt::revolve:: 使…旋转；使…循环；反复考虑¦vt::revolutionize:: 发动革命；彻底改革；宣传革命¦vt::revolutionise:: 彻底改变（等于revolutionize）；使革命化		 re + volu(滚， 卷) + tion → 不断向前席卷而来的 → 革命			
relation	rɪ'leʃən	rɪ'leɪʃn	n:: 关系， 联系； 亲属， 亲戚::a connection between two or more things	in relation to::关于；涉及¦public relation::公共关系¦direct relation::直接联系¦linear relation::线性关系¦quantitative relation::数量关系，定量关系¦internal relation::内在联系；内部联系¦social relation::社会关系¦international relation::国际关系¦logical relation::逻辑关系；逻辑关系式¦labor relation::劳资关系¦dispersion relation::色散关系；分散关系；频散关系¦human relation::人际关系；人的关系¦causal relation::因果关系¦equivalence relation::等价关系¦interpersonal relation::人际关系¦complex relation::n. 复合关系¦with relation to::关于，涉及；与……有关¦power relation::权力关系¦labour relations::劳资关系¦uncertainty relation::不确定关系	The price the meat is sold for bears no relation to (= is not connected to ) the price the farmer receives.::肉的售价和农民拿到的价格无关。	n::[计]关系；叙述；故事；亲属关系::connection, statement, bearing, concern, story	adj::relative:: 相对的；有关系的；成比例的¦adj::related:: 有关系的，有关联的；讲述的，叙述的¦adj::relational:: 相关的；亲属的¦n::relative:: 亲戚；相关物；[语] 关系词；亲缘植物¦n::relationship:: 关系；关联¦n::relativity:: 相对论；相关性；相对性¦n::relatedness:: 关联性；关系；亲缘¦v::related:: 叙述（relate过去式）¦vi::relate:: 涉及；认同；符合；与…有某种联系¦vt::relate:: 叙述；使…有联系					
reliable	rɪ'laɪəbl	rɪ'laɪəbl	adj:: 可靠的， 可信赖的::someone or something that is reliable can be trusted or depended on	reliable quality::质量可靠¦reliable data::可靠数据¦reliable information::可靠的信息¦reliable source::可靠来源¦reliable reputation::信誉可靠	a birth control method that is cheap and reliable::既便宜又可靠的避孕方法¦Miller was a quiet and reliable man.::米勒是个话不多且可靠的人。	adj::可靠的；可信赖的::responsible, tried, honest, safe, sure¦n::可靠的人::true-blue	adv::reliably:: 可靠地；确实地¦n::reliability:: 可靠性¦vi::rely:: 依靠；信赖					
incentive	ɪn'sɛntɪv	ɪn'sentɪv	n:: 刺激； 激励::something that encourages you to work harder, start a new activity etc	incentive mechanism::激励机制¦incentive system::奖励制度，激励制度¦incentive theory::激励理论；诱因论¦incentive plan::奖励计划，奖金计划¦economic incentive::经济激励，经济刺激；经济诱因¦incentive compatibility::激励相容；剌激的协调性¦incentive compensation::奖金¦material incentive::物质剌激，物质鼓励¦incentive pay::奖金，奖励津贴；奖励工资，激励工资¦tax incentive::税收鼓励¦positive incentive::正诱因，正激发	As an added incentive, there’s a bottle of champagne for the best team.::给最优秀的队发一瓶香槟作为额外的鼓励。	n::动机；刺激::motivation, stimulus, reason, excitement, needle¦adj::激励的；刺激的::stimulative, hortatory			 in(在里面) + cent(唱歌) + ive → 在里面唱歌 → 刺激			
relate	rɪ'let	rɪ'leɪt	v:: 有关联； 讲述， 叙述::if two things relate, they are connected in some way	relate with::使相关，使符合	I don’t understand how the two ideas relate.::我不明白这两个观点有什么联系。	vt::叙述；使…有联系::narrate, recount¦vi::涉及；认同；符合；与…有某种联系::deal with, identify	adj::relative:: 相对的；有关系的；成比例的¦adj::related:: 有关系的，有关联的；讲述的，叙述的¦n::relative:: 亲戚；相关物；[语] 关系词；亲缘植物¦n::relationship:: 关系；关联¦n::relation:: 关系；叙述；故事；亲属关系¦n::relatedness:: 关联性；关系；亲缘¦v::related:: 叙述（relate过去式）		 re + lat(搬运) + e → 有关联			
workforce	'wɝkfɔrs	'wɜːkfɔːs	n:: 受雇的或现有的工作人员总数； 劳动人口::The workforce is the total number of people in a country or region who are physically able to do a job and are available for work		...a country where half the workforce is unemployed.::…一个半数劳动力无业的国家。	n::劳动力；工人总数，职工总数::manpower, labour force			 work(工作) + force(队伍) → 劳动人口			
preliminary	prɪ'lɪmɪnɛri	prɪ'lɪmɪnəri	adj::开端的，预备的，初步的::happening before something that is more important, often in order to prepare for it	preliminary study::初步研究¦preliminary analysis::初步分析¦preliminary design::初步设计¦preliminary stage::初始阶段，初期；原始阶段¦preliminary investigation::初步调查¦preliminary test::初步试验；预先测试；初级试验¦preliminary examination::预备考试；预先检查¦preliminary plan::初步设计¦preliminary round::初赛；分组预选赛¦preliminary data::初始数据¦preliminary survey::初步调查；初测¦preliminary treatment::预处理¦preliminary assessment::初步评估；预备评估¦preliminary report::初步报告；预备报告¦preliminary planning::初步规划；初步计划¦preliminary agreement::初步协议¦preliminary review::预审；预先复查；初审¦preliminary scheme::初步规划¦preliminary hearing::n. 调查庭¦preliminary works::初步工程；准备工程	the preliminary stages of the competition::竞赛的预赛阶段¦a preliminary draft::初稿	n::准备；预赛；初步措施::preparation, arrangement, provision¦adj::初步的；开始的；预备的::opening, rudimentary	n::prelim:: 预备考试		 pre(预先) + limin(门槛； 起点) + ary → 预先开始的 → 预备的			
obstacle	'ɑbstəkl	'ɒbstəkl	n:: 障碍， 妨碍物， 干扰::something that makes it difficult to achieve some­thing	obstacle course::n. 超越障碍训练场	The tax puts obstacles in the way of companies trying to develop trade overseas.::这项税收为想在海外发展贸易的公司设置了障碍。¦Women still have to overcome many obstacles to gain equality.::妇女要获得平等仍需克服重重障碍。¦We want to remove all obstacles to travel between the two countries.::我们想要消除在这两个国家之间旅行的所有障碍。¦the single biggest obstacle to a Conservative victory in the next election::保守党在下一届大选中获胜的最大障碍¦There are formidable obstacles on the road to peace.::通往和平的道路上存在难以逾越的障碍。	n::障碍，干扰；妨害物::interference, let, bar, disturbance, dam			 ob(反) + st(=stand站) + acle(表小东西) → 反着站的小物体 → 障碍， 妨碍物			
fickle	'fɪkl	'fɪkl	adj:: 易变的， 无常的::someone who is fickle is always changing their mind about people or things that they like, so that you cannot depend on them – used to show disapproval		an unpredictable and fickle lover::一个捉摸不透、三心二意的情人	adj::浮躁的；易变的；变幻无常的::mobile, variable, liquid, unstable	n::fickleness:: 浮躁；变化无常					
van	væn	væn	n:: 运货车::a vehicle used especially for carrying goods, which is smaller than a truck and has a roof and usually no windows at the sides	van gogh::n. 梵高（荷兰画家）¦van der waals::范德瓦尔斯（荷兰物理学家， 曾获1910年诺贝尔物理学奖）¦vincent van gogh::文森特·梵高（荷兰画家）¦van buren::范布伦（姓氏）；范布伦（美国第八任总统）；范布伦（美国城市）¦jeff van gundy::杰夫范甘迪（美国篮球教练）¦van der waals force::[物]范德华力，范德华引力¦ludwig van beethoven::贝多芬	a delivery van::运货车¦a van driver::小型货车司机	n::先锋；厢式货车；增值网::vanguard, pioneer			 运货车(van)能(can)载多少货物			
worm	wɝm	wɜːm	n:: 虫， 蠕虫； 蜗杆， 螺纹::a long thin creature with no bones and no legs that lives in soil	worm gear::蜗轮；螺旋齿¦worm wheel::蜗轮；螺旋齿轮¦worm drive::蜗杆传动；蜗轮传动¦worm reducer::蜗轮减速机；蜗轮减速器¦worm gearing::蜗轮传动装置¦cylindrical worm::圆柱蜗杆；柱形蜗杆¦worm oneself into::[口语]狡猾地混入；慢慢地爬入，钻进，设法取得¦guinea worm::[医]麦地那龙线虫¦worm shaft::n. 蜗杆轴，蜗轴¦worm and worm gear::蜗杆蜗轮¦silk worm::蚕，茧蛹	...a new computer worm that disables security software.::…一种使安全软件失灵的新型计算机蠕虫病毒。	n::[无脊椎]虫，[基医]蠕虫；[机]蜗杆；螺纹；小人物::nobody, endless screw¦vt::使蠕动；给除虫；使缓慢前进::work¦vi::慢慢前进；蠕行::inch	adj::wormlike:: 像虫的；虫一样蠕动的¦adj::wormy:: 有虫的，虫蛀的；似虫的；卑躬屈膝的					
dizzy	'dɪzi	'dɪzi	adj:: 头晕目眩的， 眩晕的； 人头晕的::feeling unable to stand steadily, for example because you are looking down from a high place or because you are ill	feel dizzy::头晕；感到晕眩	The heat and the champagne made him feel dizzy .::高温和香槟酒使他感到眩晕。¦She started to suffer from dizzy spells (= a short period when you feel dizzy ) .::她开始感到一阵阵的眩晕。	adj::晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的::swimming, foolish, stupid¦vt::使头晕眼花；使混乱；使茫然::cloud, confuse	adv::dizzily:: 使人眼花地；头昏眼花地¦n::dizziness:: 头晕；头昏眼花		 di(二) + zz(打鼾声) + y → 室友打鼾， 吵得睡不着 → 眩晕的			
exceptional	ɪk'sɛpʃənl	ɪk'sepʃənl	adj:: 例外的； 异常的::unusually good	exceptional circumstances::特殊情况；例外情况¦exceptional child::n. 特殊（异常）儿童¦exceptional performance::非同一般的表现¦truly exceptional::无与伦比¦exceptional case::例外事件；特殊情况¦exceptional ability::特殊才能，特殊能力¦exceptional value::例外值	an exceptional student::出类拔萃的学生¦exceptional bravery::非凡的勇气	adj::异常的，例外的::novel, exquisite	adv::exceptionally:: 异常地；特殊地；例外地¦conj::except:: 除了；要不是¦n::exception:: 例外；异议¦prep::except:: 除…之外¦vi::except:: 反对¦vt::except:: 不计；把…除外		来自except(prep. 除…之外)			
constitute	'kɑnstətut	'kɒnstɪtjuːt	v:: 组成； 构成； 设立， 成立::if several people or things constitute something, they are the parts that form it	constitute a crime::构成犯罪；进行犯罪	We must redefine what constitutes a family.::我们必须对家庭的构成重新定义。	vt::组成，构成；建立；任命::install, establish, form, found, build	adj::constituent:: 构成的；选举的¦adj::constitutive:: 基本的；本质的；制定的；构成分子的¦n::constitution:: 宪法；体质；章程；构造¦n::constituent:: 成分；选民；委托人¦n::constitutive:: 要素¦n::constitutionalism:: 立宪；立宪主义，立宪制度¦n::constitutionalist:: 立宪主义者		 con(共同) + stit(站立) + ute → 设立			
legitimacy	lɪ'dʒɪtəməsi	lɪ'dʒɪtɪməsi	n:: 合法性； 正统性::		He continues to cite the article as evidence of his legitimacy.::他不断引用该文章作为自己研究合法性的证据。¦Iraq and Afghanistan were lessons in the impotence of force without legitimacy.::伊拉克和阿富汗正是没有合法授权下动武的教训。¦Freedom of speech and assembly – because true legitimacy can only come from the people, who must never be silenced.::言论和集会自由——因为真正的合法性只可能源于人民，他们永远不应保持沉默。	n::合法；合理；正统::legality, reasonableness	adj::legitimate:: 合法的；正当的；合理的；正统的¦adj::legitimatize:: 合法的；正当的¦adv::legitimately:: 合理地；正当地¦n::legitimation:: 合法化；承认为嫡出¦vt::legitimate:: 使合法；认为正当（等于legitimize）¦vt::legitimize:: 使…合法；立为嫡嗣¦vt::legitimise:: 使合法化（等于legitimize）¦vt::legitimatize:: 使合法化（等于legitimize）					
tick off			::列举；用记号标出::			::列举；用记号标出::specify, enumerate						
mate	met	meɪt	v::交配，配种::if animals mate, they have sex to produce babies¦n:: 配偶； 伙伴； 大副::the sexual partner of an animal	soul mate::情人；性情相投的人；心心相印的伙伴¦running mate::（美）竞选伙伴¦mate with::使紧密配合¦chief mate::大副（等于chief officer）	Rabbits can be mated as early as six months old.::兔子在六个月大时就可以交配了。	n::助手，大副；[生物]配偶；同事；配对物::friend, assistant, brother, aid, fellow¦vt::使配对；使一致；结伴::accord, unify¦vi::[生物]交配；成配偶；紧密配合::copulate, close fit	adj::matching:: 相配的；一致的；相称的¦adj::matey:: 友好的；易为人亲近的¦n::matching:: 匹配¦n::mating:: （动物等的）交配，交尾；配套；（植物等的）杂交¦n::matey:: 伙伴；朋友¦v::matching:: 使…相配（match的ing形式）¦v::mating:: 交配；使配对；使紧密配合（mate的现在分词）		 配偶(mate)相互为对方铺垫子(mat)			
convince	kən'vɪns	kən'vɪns	vt:: 确信； 说服::to make someone feel certain that something is true		Her arguments didn’t convince everyone, but changes were made.::她的论点不能说服每个人，但还是引起了一些变化。	vt::说服；使确信，使信服::assure, reason, satisfy, argue	adj::convinced:: 确信的；深信的¦adj::convincing:: 令人信服的；有说服力的¦adj::convincible:: 可使信服的；可说服的¦adv::convincingly:: 令人信服地；有说服力地¦v::convinced:: 使确信（convince的过去分词）；说服¦v::convincing:: 使相信；使明白（convince的现在分词）		 con(完全) + vinc(征服， 克服) + e → 彻底征服对方 → 说服			
gorge	ɡɔrdʒ	gɔːdʒ	v::狼吞虎咽，::If you gorge on something or gorge yourself on it, you eat lots of it in a very greedy way	gorge dam::峡谷坝	I could spend each day gorging on chocolate.::我可以将每一天都花在狂吃巧克力上。	n::[地理]峡谷；胃；暴食；[机]咽喉；障碍物::stomach, barrier, block, canyon, bottleneck¦vt::使吃饱；吞下；使扩张::swallow down, get sth down¦vi::拚命吃；狼吞虎咽::gobble up, bolt down	n::gormandise:: 讲究饮食；大吃大喝¦n::gormandize:: 大吃大喝；讲究饮食¦vi::gormandise:: 贪食；狼吞虎咽地吃¦vi::gormandize:: 狼吞虎咽¦vt::gormandise:: 贪食；狼吞虎咽地吃¦vt::gormandize:: 狼吞虎咽					
registration	'rɛdʒɪ'streʃən	ˌredʒɪ'streɪʃn	n:: 登记， 注册； 挂号； 登记或注册的项目::the act of recording names and details on an official list	registration form::登记表，注册表¦image registration::[计]图象配准；光栅重合¦household registration::户口登记¦registration certificate::登记证；注册证书；注册证明¦registration fee::注册费，登记费；挂号费；更名费¦business registration::营业登记¦tax registration::税务登记¦registration card::登记卡¦marriage registration::结婚登记¦registration number::n. 汽车牌照号码，（软件）注册号¦household registration system::户口登记制度¦vehicle registration::车辆登记；车辆注册登记¦application for registration::申请注册¦certificate of registration::注册执照¦commercial registration::商业登记¦registration office::挂号处¦business registration certificate::商业登记执照¦voter registration::选民登记¦registration book::n. 汽车登记簿¦registration code::注册码；注册号	Student registration (= for a course of study ) starts the first week in September.::学生注册在9月份的第一个星期开始。¦The registration fee is $75.::注册费是75美元。	n::[专利]登记；注册；挂号::entry, enrollment	adj::registered:: 注册的；记名的；登记过的；（家畜等）附有血统证明的¦n::register:: 登记；注册；记录；寄存器；登记簿¦n::registry:: 注册；登记处；挂号处；船舶的国籍¦n::registrar:: 登记员；注册主任；专科住院医师¦n::registrant:: 登记者¦vi::register:: 登记；注册；挂号¦vt::register:: 登记；注册；记录；挂号邮寄；把…挂号；正式提出					
theory	'θiəri	'θɪəri	n:: 理论， 原理； 学说； 意见， 看法::an idea or set of ideas that is intended to explain something about life or the world, especially an idea that has not yet been proved to be true	in theory::理论上¦basic theory::基本理论¦control theory::控制理论，控制论¦game theory::博弈论，对策论¦system theory::系统论¦management theory::管理理论¦set theory::集合论¦economic theory::经济理论；理论经济学¦deng xiaoping theory::邓小平理论¦fuzzy theory::模糊理论；含模理论¦general theory::一般理论；统一理论¦learning theory::学习理论；学习论¦information theory::信息论；情报理论¦graph theory::图论¦field theory::场论¦reliability theory::可靠性理论¦probability theory::概率论¦political theory::政治学理论¦optimization theory::最优化理论¦wave theory::[物]波动论；波动说	Freudian theory has had a great influence on psychology.::弗洛伊德理论对心理学产生过巨大影响。	n::理论；原理；学说；推测::mechanism, element, speculation, doctrine, guess	adj::theoretical:: 理论的；理论上的；假设的；推理的¦adj::theoretic:: 理论上的；空谈的¦adv::theoretically:: 理论地；理论上¦n::theorem:: [数] 定理；原理¦n::theorist:: 理论家¦n::theoretician:: 理论家，精通于理论的人¦n::theorization:: 理论；理论化¦n::theorizer:: 理论家¦vi::theorize:: 建立理论或学说；推理¦vi::theorise:: 建立理论¦vt::theorize:: 建立理论¦vt::theorise:: 使理论化		 the(看， 考虑) + ory → 做事时要考虑、 参看的东西 → 理论， 原理			
continental	,kɑntɪ'nɛntl	ˌkɒntɪ'nentl	adj::欧洲大陆的；大陆性的::relating to a large mass of land¦n:: 欧洲大陆人::	continental margin::大陆边缘¦continental shelf::n. [地质]大陆架¦continental crust::大陆地壳¦continental europe::欧洲大陆¦continental climate::大陆性气候¦continental breakfast::欧式早餐（仅有咖啡和果酱面包）¦continental bridge::大陆桥，陆桥¦continental airlines::（美国）大陆航空公司¦passive continental margin::不活动大陆边缘，被动大陆边缘¦continental slope::大陆坡¦continental congress::大陆会议¦continental divide::美国大陆洛矶山脉分水岭¦continental collision::大陆碰撞¦continental plate::大陆板块¦continental drift::大陆漂移说¦continental army::[美国历史]大陆军¦continental block::大陆块	the warming-up of continental interiors::内陆地区的变暖	adj::大陆的；大陆性的::mainland¦n::欧洲人::European, EUR	adj::continent:: 自制的，克制的¦n::continent:: 大陆，洲，陆地					
internal	ɪn'tɝnl	ɪn'tɜːnl	adj:: 内部的； 国内的::within a particular country	internal control::内部控制；内控¦internal force::内力¦internal audit::内部审计，内部稽核¦internal structure::内部结构¦internal combustion::内燃¦internal combustion engine::内燃机¦internal medicine::内科医学，内科¦internal control system::内部控制系统¦internal pressure::内压力¦internal affairs::内部事务；内务¦internal environment::内部环境¦internal stress::内应力¦internal standard::[物化]内标准；内部标准¦internal auditing::内部审计¦internal friction::内摩擦；内耗¦internal cause::内因；内在原因¦internal surface::内表面；内层¦internal relation::内在联系；内部联系¦internal energy::内能¦internal resistance::内电阻，内阻抗	We have no interest in interfering in the internal affairs of other countries.::我们对干涉其他国家内政不感兴趣。¦the threat to internal security::对国内安全的威胁¦internal markets::国内市场	adj::[药]内部的；内在的；国内的::inner, inherent, domestic, inside, home	adv::internally:: 内部地；国内地；内在地¦n::intern:: 实习生，实习医师¦n::internalization:: 内在化；成为主观¦vi::intern:: 作实习医师¦vt::intern:: 拘留，软禁¦vt::internalize:: 使（习俗等经吸收同化而）内在化；使藏在心底					
extension	ɪk'stɛnʃən	ɪk'stenʃn	n:: 伸展； 延长部分； 电话分机::the process of making a road, building etc bigger or longer, or the part that is added	brand extension::品牌延伸¦by extension::相关地；引申开来¦extension service::推广服务¦crack extension::裂纹扩展；裂纹扩张¦extension set::分机；增设装置¦research and extension::研究与推广¦extension number::分机号码¦extension of time::延期；延长时间；延长合约期¦file extension::文件扩展名；档案延伸¦extension methods::扩展方法¦university extension::大学附校；大学推广教育¦extension spring::拉簧；牵簧，牵引簧；拉伸弹簧¦extension line::延长线；分机线；引出线¦time extension::时间延长¦credit extension::援权（信用状期限延长）¦extension cord::延长线；分机线绳¦hair extension::接发¦elastic extension::弹性伸长；弹性延伸¦extension telephone::n. 电话分机	a loft extension::增建的阁楼	n::延长；[经]延期；扩大；伸展；电话分机::delay, spread	adj::extensive:: 广泛的；大量的；广阔的¦adj::extended:: 延伸的；扩大的；长期的；广大的¦adj::extensible:: 可延长的；可扩张的¦adj::extendable:: 可延长的；可展开的；可扩张的¦adj::extensional:: 外延的；具体的；事实的¦adj::extendible:: 可伸长的¦adv::extensively:: 广阔地；广大地¦n::extensiveness:: 延伸；大范围¦v::extended:: 延长；扩充（extend的过去分词）¦vi::extend:: 延伸；扩大；伸展；使疏开¦vt::extend:: 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价					
